request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
2,free,1468,94,198.92,0.00,21.68,1881.99,49.95
4,free,1558,93,537.92,29.76,51.30,2075.76,44.80
0,free,386,194,93.37,0.00,10.86,2740.51,70.79
1,free,665,197,102.33,0.00,13.65,3332.77,59.11
5,free,923,160,563.34,219.61,236.79,3084.95,51.86
3,free,933,201,288.71,0.00,16.33,3861.46,52.05
6,free,456,167,774.77,122.87,141.65,3845.91,43.42
9,free,895,134,1892.98,517.05,541.74,3871.95,34.61
12,pro,376,165,2571.45,569.48,585.72,3944.04,41.84
8,pro,1538,183,1340.88,740.03,759.31,5187.94,35.27
7,pro,1159,232,894.61,453.31,470.58,5657.01,41.01
11,free,1310,195,2408.68,1.35,26.04,4739.09,41.15
10,free,548,208,2164.88,245.15,269.84,5291.97,39.30
14,free,763,146,3249.17,399.11,413.74,4753.95,30.71
18,free,1414,116,4328.98,130.84,157.79,4196.40,27.64
26,enterprise,1436,65,6076.00,303.25,337.29,2481.86,26.19
35,free,914,83,6869.27,0.06,23.21,2218.53,37.41
22,pro,1359,110,5105.63,3.71,36.94,4237.96,25.96
30,free,887,78,6497.93,49.49,89.76,3344.85,23.32
39,free,730,72,7300.47,629.12,659.41,2862.18,25.16
13,free,2029,248,3128.43,135.22,160.69,7089.30,34.98
37,free,781,115,7185.68,40.45,66.04,3450.09,33.33
16,free,1860,224,3751.77,466.78,487.29,6890.97,32.51
15,pro,1362,201,3739.25,26.35,46.01,7022.36,28.62
36,pro,681,124,6874.40,351.72,377.32,4048.45,30.63
28,pro,686,151,6379.09,0.16,34.20,4881.42,30.93
20,pro,359,161,4940.31,169.03,202.27,6709.53,24.00
31,free,1647,118,6546.54,0.88,41.14,5103.29,23.12
32,free,1939,193,6570.11,38.62,68.10,5450.36,35.41
48,free,1120,76,8816.62,812.26,847.77,3255.59,23.34
34,free,612,192,6655.89,213.44,236.59,5810.37,33.04
47,free,1033,80,8768.85,5.67,53.04,3717.43,21.52
46,enterprise,1552,81,8744.03,30.50,77.86,3789.62,21.37
49,free,1466,100,9621.62,7.26,42.78,3109.28,32.16
38,free,511,187,7220.29,5.83,31.42,5533.89,33.79
50,free,718,105,9625.96,2.92,38.44,3214.81,32.66
24,free,1177,229,5568.77,4.05,31.71,7279.98,31.46
33,free,324,215,6601.19,268.15,291.29,6398.39,33.60
25,free,883,235,5571.54,1.28,28.95,7474.71,31.44
23,free,1841,240,5488.57,84.25,111.92,7717.31,31.10
17,pro,804,221,4208.06,251.77,278.71,9138.88,24.18
40,enterprise,845,202,7442.07,487.52,517.82,6191.27,32.63
45,free,896,109,8655.54,118.99,166.35,5126.19,21.26
41,free,945,217,7928.60,0.99,31.28,5982.84,36.27
19,pro,1553,241,4447.96,11.87,38.81,9751.63,24.71
27,pro,1835,249,6345.89,33.36,67.41,7968.74,31.25
51,free,1008,197,9898.91,318.82,343.15,4751.87,41.46
43,pro,332,142,8284.62,109.68,153.36,6494.78,21.86
21,pro,1975,241,5057.46,51.88,85.12,10172.91,23.69
29,pro,1922,201,6457.80,89.62,129.88,8910.94,22.56
44,pro,1628,158,8392.27,2.03,45.72,7106.80,22.23
58,free,800,119,11641.06,173.44,207.77,3901.75,30.50
64,pro,392,106,13237.28,5.83,30.69,2576.50,41.14
65,free,1961,84,13840.61,70.82,97.43,2495.62,33.66
67,free,1530,81,14134.70,205.81,236.45,2676.56,30.26
62,free,718,159,12450.49,792.62,817.48,4833.09,32.90
54,free,658,141,11133.69,3.00,50.36,6281.02,22.45
57,enterprise,316,139,11277.62,1.18,54.15,6182.55,22.48
59,pro,1595,184,11665.29,149.22,183.55,5798.08,31.73
63,free,1974,169,13195.18,47.92,72.79,4429.41,38.15
61,enterprise,654,220,12226.90,223.77,241.56,5614.72,39.18
42,pro,355,227,8116.88,277.42,321.11,10355.59,21.92
66,pro,1982,157,14090.69,60.60,89.36,4723.39,33.24
74,free,1186,88,14694.52,340.70,389.47,4211.62,20.89
60,pro,1833,243,11809.12,5.38,39.71,7187.66,33.81
78,free,342,116,15877.38,6.51,33.95,3426.16,33.86
68,enterprise,744,182,14219.92,120.59,151.23,5188.11,35.08
77,pro,1130,124,15173.95,709.94,737.38,4368.15,28.39
69,free,1441,190,14338.12,2.39,33.03,5273.15,36.03
79,pro,371,122,16126.87,179.67,209.36,3887.17,31.39
90,free,1791,84,17323.21,18.22,51.47,2721.61,30.86
81,pro,1380,124,16299.13,7.41,37.11,3773.74,32.86
89,free,846,91,17297.85,43.57,76.83,2940.63,30.95
87,free,1579,102,17210.46,1.99,37.55,3074.53,33.18
