request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
2,free,1468,94,198.92,0.00,21.68,2210.31,42.53
0,pro,386,194,93.37,0.00,10.86,2471.37,78.50
4,free,1558,93,537.92,6.17,26.45,2093.64,44.42
3,free,933,201,288.71,0.00,16.33,3488.96,57.61
5,free,923,160,563.34,1.03,22.63,3435.62,46.57
1,free,665,197,102.33,0.00,13.65,3970.84,49.61
6,free,456,167,774.77,6.05,28.21,3507.96,47.61
9,free,895,134,1892.98,3.04,19.22,2461.54,54.44
12,free,376,165,2571.45,9.81,27.08,3430.27,48.10
8,enterprise,1538,183,1340.88,4.56,29.68,5109.40,35.82
10,pro,548,208,2164.88,7.56,25.28,4324.73,48.10
14,free,763,146,3249.17,8.40,29.41,3335.01,43.78
18,free,1414,116,4328.98,0.61,25.54,2923.45,39.68
7,pro,1159,232,894.61,3.03,25.33,6564.65,35.34
26,enterprise,1436,65,6076.00,1.81,31.52,1971.93,32.96
11,free,1310,195,2408.68,0.55,25.25,5893.86,33.09
22,enterprise,1359,110,5105.63,5.74,33.18,3230.57,34.05
15,pro,1362,201,3739.25,3.49,25.10,5309.82,37.85
30,pro,887,78,6497.93,12.77,44.37,2735.38,28.52
35,free,914,83,6869.27,8.57,39.18,2430.41,34.15
39,enterprise,730,72,7300.47,3.50,32.51,2389.64,30.13
16,free,1860,224,3751.77,1.94,25.91,6174.83,36.28
31,free,1647,118,6546.54,2.83,34.64,3704.58,31.85
20,free,359,161,4940.31,8.67,37.34,5440.86,29.59
17,pro,804,221,4208.06,6.34,28.75,6178.18,35.77
36,pro,681,124,6874.40,3.45,34.05,3595.81,34.48
37,free,781,115,7185.68,1.80,34.27,3625.11,31.72
19,free,1553,241,4447.96,1.97,22.87,6720.29,35.86
13,free,2029,248,3128.43,1.26,29.83,8095.86,30.63
48,free,1120,76,8816.62,4.32,36.88,2435.33,31.21
47,free,1033,80,8768.85,2.26,37.48,2614.95,30.59
46,enterprise,1552,81,8744.03,3.88,41.15,2865.38,28.27
28,pro,686,151,6379.09,5.67,38.42,5259.95,28.71
45,free,896,109,8655.54,1.48,29.32,3074.11,35.46
21,free,1975,241,5057.46,2.49,28.20,6894.39,34.96
49,free,1466,100,9621.62,0.75,29.84,2736.40,36.54
24,free,1177,229,5568.77,7.93,33.09,7186.46,31.87
29,pro,1922,201,6457.80,1.81,31.81,6347.81,31.66
43,pro,332,142,8284.62,11.65,42.43,4520.99,31.41
50,pro,718,105,9625.96,0.47,32.05,3346.93,31.37
25,free,883,235,5571.54,5.16,30.32,7411.45,31.71
34,free,612,192,6655.89,11.51,37.80,6327.10,30.35
32,free,1939,193,6570.11,3.79,38.26,6561.08,29.42
