request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
6,free,2548,73,193.69,55.54,89.94,3590.31,20.33
19,free,1636,72,1111.99,4.33,51.44,3959.78,18.18
3,free,3885,107,72.18,0.00,45.85,5139.85,20.82
13,free,593,67,782.11,7.36,50.16,4619.27,14.50
31,free,3938,99,1636.64,16.19,75.41,8521.32,11.62
103,enterprise,2982,66,5117.01,13.53,81.12,5791.92,11.40
30,pro,2839,110,1624.48,28.35,87.57,9528.52,11.54
57,enterprise,3441,95,2819.41,10.76,91.04,8510.24,11.16
77,pro,2586,87,3793.49,258.87,326.18,8169.44,10.65
100,free,1435,77,5070.52,48.39,141.51,7165.80,10.75
61,enterprise,1757,100,3056.72,255.25,342.19,9218.66,10.85
86,free,2530,90,4235.67,24.46,103.33,8269.04,10.88
79,pro,2315,94,4031.72,20.64,87.95,8560.41,10.98
22,pro,2100,161,1276.41,12.81,46.59,11619.98,13.86
75,pro,3924,109,3757.74,28.87,96.84,9410.05,11.58
7,pro,2356,190,223.65,114.69,152.60,13032.06,14.58
9,pro,1044,167,473.25,85.72,124.11,13319.18,12.54
12,free,1676,163,642.86,146.60,189.40,13315.15,12.24
95,free,3636,108,4668.82,0.73,90.58,9805.43,11.01
115,free,1352,95,5946.55,3.00,84.95,8597.94,11.05
56,free,3502,142,2817.41,12.75,93.03,12438.14,11.42
44,pro,2820,171,2098.07,71.71,129.23,13586.21,12.59
60,pro,3609,156,2952.28,3.59,48.18,13020.98,11.98
120,free,2034,109,6243.54,115.86,207.58,9904.41,11.01
48,free,1684,181,2204.16,8.09,54.53,14521.99,12.46
25,free,3086,208,1392.88,6.20,57.51,16233.07,12.81
15,pro,3080,220,934.81,4.22,48.53,16863.24,13.05
17,free,2097,216,1052.02,64.31,111.41,16746.04,12.90
27,free,714,196,1586.47,17.88,66.36,16508.23,11.87
52,free,3887,193,2535.58,262.01,301.57,16111.41,11.98
36,pro,1295,220,1718.60,10.51,50.72,17193.50,12.80
67,free,3976,181,3533.67,2.74,54.26,15506.06,11.67
14,free,3203,237,812.29,126.74,171.05,18375.89,12.90
1,free,957,261,25.58,0.00,16.57,19313.09,13.51
2,free,3420,271,49.73,0.00,41.20,19339.27,14.01
10,free,3594,242,541.22,17.74,56.13,19179.47,12.62
81,free,910,181,4074.78,112.21,185.35,15799.61,11.46
97,free,855,171,4915.14,96.29,156.63,14988.18,11.41
131,free,1840,151,6763.69,12.00,103.63,13373.65,11.29
82,pro,2525,193,4105.57,81.42,154.56,16663.02,11.58
24,free,1557,249,1392.19,6.89,58.20,19507.19,12.76
101,free,3481,182,5074.64,55.90,123.49,15824.74,11.50
130,pro,1166,162,6735.31,40.38,132.01,14235.95,11.38
55,enterprise,4011,217,2799.64,30.52,110.80,18251.81,11.89
8,enterprise,3932,261,335.22,223.74,262.13,20787.43,12.56
85,free,1949,197,4226.58,33.54,112.42,16904.20,11.65
39,free,3542,233,1825.12,5.39,72.09,19365.86,12.03
73,free,3608,210,3628.86,10.61,69.56,17713.64,11.86
87,free,575,202,4302.61,28.06,101.54,17091.72,11.82
70,enterprise,3904,220,3591.94,10.97,72.19,18334.46,12.00
49,free,573,243,2405.40,85.66,138.51,19667.63,12.36
126,free,1990,183,6426.37,176.64,262.97,15883.35,11.52
5,free,2336,310,140.83,68.92,109.04,22356.71,13.87
46,enterprise,3488,262,2186.01,26.24,72.68,20825.17,12.58
105,pro,3290,216,5167.16,98.57,173.25,18241.94,11.84
21,pro,756,297,1264.36,24.85,58.63,22443.47,13.23
106,pro,538,229,5218.67,47.05,121.73,19051.85,12.02
47,free,757,282,2192.21,20.03,66.48,22200.75,12.70
74,pro,2529,255,3673.63,112.98,180.95,20921.59,12.19
121,free,524,221,6302.87,56.52,148.24,18357.71,12.04
114,pro,3048,227,5945.63,3.92,85.87,18779.50,12.09
107,free,745,240,5232.24,33.49,108.17,19756.07,12.15
4,enterprise,2128,337,134.48,7.30,31.76,24876.67,13.55
125,free,1906,231,6380.67,100.94,193.56,18692.58,12.36
28,pro,2551,297,1594.77,9.58,58.06,23544.54,12.61
26,free,2770,300,1519.00,85.35,133.83,23805.69,12.60
68,free,3252,273,3554.98,47.93,109.15,22004.39,12.41
50,pro,2167,296,2406.49,84.58,137.42,23281.86,12.71
58,free,1483,291,2910.27,45.60,90.20,22806.91,12.76
119,free,819,254,6207.60,148.46,240.99,19889.00,12.77
32,free,1581,317,1642.53,10.30,69.52,24755.00,12.81
11,free,3444,344,602.17,187.29,230.09,26225.73,13.12
92,free,3112,282,4413.45,4.45,88.32,22435.37,12.57
99,free,1045,283,5043.29,75.61,168.73,22348.94,12.66
65,free,3224,309,3460.15,76.26,127.78,24177.56,12.78
64,pro,592,316,3309.32,2.66,89.60,24416.82,12.94
78,free,3997,302,3969.34,83.01,150.32,23791.12,12.69
