request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
6,free,2548,73,193.69,6.29,39.24,3740.05,19.52
13,free,593,67,782.11,1.82,35.47,3433.99,19.51
19,pro,1636,72,1111.99,2.90,43.71,3918.73,18.37
3,free,3885,107,72.18,0.00,45.85,6087.77,17.58
31,free,3938,99,1636.64,24.28,75.76,8150.60,12.15
57,enterprise,3441,95,2819.41,35.67,95.69,7705.98,12.33
30,free,2839,110,1624.48,36.43,87.92,9202.26,11.95
103,enterprise,2982,66,5117.01,31.85,113.79,6109.53,10.80
77,pro,2586,87,3793.49,23.18,87.15,7468.93,11.65
9,pro,1044,167,473.25,2.37,29.28,11142.77,14.99
12,free,1676,163,642.86,1.85,36.64,11150.18,14.62
61,pro,1757,100,3056.72,4.74,71.01,9093.79,11.00
100,free,1435,77,5070.52,0.93,78.34,7103.69,10.84
79,pro,2315,94,4031.72,43.79,115.82,8249.29,11.39
86,pro,2530,90,4235.67,15.98,101.20,8485.85,10.61
75,pro,3924,109,3757.74,1.06,65.14,9648.94,11.30
115,free,1352,95,5946.55,38.85,121.54,8426.63,11.27
95,free,3636,108,4668.82,29.21,102.31,9969.42,10.83
22,enterprise,2100,161,1276.41,5.00,47.13,13533.64,11.90
56,free,3502,142,2817.41,37.66,97.69,12050.00,11.78
7,pro,2356,190,223.65,9.28,44.97,14776.31,12.86
44,pro,2820,171,2098.07,4.70,56.89,13522.22,12.65
120,free,2034,109,6243.54,77.40,165.36,9730.44,11.20
60,pro,3609,156,2952.28,13.73,68.94,13575.08,11.49
27,pro,714,196,1586.47,29.29,76.65,15367.58,12.75
48,free,1684,181,2204.16,0.29,49.92,15061.18,12.02
17,free,2097,216,1052.02,20.25,62.87,16954.63,12.74
25,free,3086,208,1392.88,3.80,48.62,17021.34,12.22
15,pro,3080,220,934.81,10.22,55.34,17668.77,12.45
14,free,3203,237,812.29,5.28,43.17,18016.37,13.15
36,pro,1295,220,1718.60,20.10,63.86,18225.78,12.07
52,free,3887,193,2535.58,8.49,73.13,17722.38,10.89
81,pro,910,181,4074.78,0.72,72.76,16241.27,11.14
67,free,3976,181,3533.67,4.09,76.31,17011.12,10.64
8,free,3932,261,335.22,3.12,48.92,20352.68,12.82
1,free,957,261,25.58,0.00,16.57,20805.60,12.54
10,pro,3594,242,541.22,13.23,53.53,20289.96,11.93
97,enterprise,855,171,4915.14,4.18,80.24,15967.96,10.71
2,free,3420,271,49.73,0.00,41.20,20915.43,12.96
131,free,1840,151,6763.69,10.12,104.62,14311.25,10.55
39,free,3542,233,1825.12,1.11,48.35,19509.47,11.94
55,enterprise,4011,217,2799.64,1.09,55.43,18900.63,11.48
101,free,3481,182,5074.64,31.63,111.04,16625.63,10.95
82,pro,2525,193,4105.57,37.86,103.76,17829.07,10.83
130,free,1166,162,6735.31,38.49,133.00,15390.36,10.53
24,free,1557,249,1392.19,4.49,49.31,20925.48,11.90
141,enterprise,1057,110,7265.03,5015.97,5108.21,15153.43,7.26
49,enterprise,573,243,2405.40,10.69,65.94,20174.21,12.05
73,free,3608,210,3628.86,7.26,68.59,19167.05,10.96
85,pro,1949,197,4226.58,25.07,110.29,18714.93,10.53
126,free,1990,183,6426.37,67.87,155.38,16895.31,10.83
142,free,1418,111,7276.21,5445.31,5540.14,16048.17,6.92
87,free,575,202,4302.61,34.26,126.25,19213.82,10.51
105,pro,3290,216,5167.16,13.73,82.41,19040.31,11.34
70,free,3904,220,3591.94,18.05,97.51,20788.87,10.58
21,free,756,297,1264.36,11.68,49.68,24597.57,12.07
148,free,3683,115,7636.78,7363.18,7458.51,18361.51,6.26
28,pro,2551,297,1594.77,20.98,68.35,24409.23,12.17
26,enterprise,2770,300,1519.00,10.01,53.38,24574.29,12.21
114,pro,3048,227,5945.63,39.76,122.46,20236.18,11.22
5,free,2336,310,140.83,0.95,30.04,26047.99,11.90
46,enterprise,3488,262,2186.01,1.08,60.10,24097.96,10.87
146,free,1963,121,7607.51,7202.53,7297.48,18771.05,6.45
107,pro,745,240,5232.24,17.33,89.99,21214.88,11.31
47,free,757,282,2192.21,12.23,61.86,24307.79,11.60
106,pro,538,229,5218.67,12.13,95.13,21586.09,10.61
68,enterprise,3252,273,3554.98,19.34,83.48,23514.38,11.61
121,free,524,221,6302.87,21.45,106.20,20980.72,10.53
50,free,2167,296,2406.49,9.61,64.85,24928.19,11.87
74,pro,2529,255,3673.63,15.82,97.24,24119.23,10.57
11,free,3444,344,602.17,8.09,42.55,27266.44,12.62
125,free,1906,231,6380.67,28.40,119.57,21957.35,10.52
175,free,3465,68,9193.51,13386.10,13476.46,19477.38,3.49
4,enterprise,2128,337,134.48,7.30,36.40,28599.24,11.78
119,free,819,254,6207.60,27.45,113.35,22641.34,11.22
58,pro,1483,291,2910.27,3.34,55.75,26389.90,11.03
163,pro,3921,92,8144.29,12686.89,12782.71,21441.62,4.29
99,free,1045,283,5043.29,5.53,71.56,24968.19,11.33
32,free,1581,317,1642.53,18.39,69.87,28890.88,10.97
64,pro,592,316,3309.32,19.39,80.78,27239.89,11.60
92,free,3112,282,4413.45,1.69,72.40,26426.55,10.67
0,free,2524,400,23.34,0.00,32.24,31159.93,12.84
78,free,3997,302,3969.34,39.27,106.16,27312.40,11.06
63,free,1150,328,3298.80,29.92,91.30,28337.12,11.57
65,free,3224,309,3460.15,3.07,60.69,28535.62,10.83
158,free,3179,136,7920.23,12024.15,12117.05,24455.24,5.56
109,free,1634,289,5277.23,36.58,121.15,27390.64,10.55
72,pro,1674,317,3625.77,10.36,71.69,29425.20,10.77
113,free,1742,305,5933.29,52.11,134.80,27249.25,11.19
150,pro,4057,193,7688.61,8285.37,8374.42,25585.02,7.54
140,free,1271,226,7184.48,4989.73,5084.47,26534.50,8.52
133,pro,3917,253,6957.99,3567.40,3659.50,26776.96,9.45
191,pro,2285,82,9845.16,16601.96,16690.82,23974.25,3.42
35,free,3537,377,1717.32,21.38,65.14,32561.19,11.58
33,free,2323,357,1650.30,10.62,62.10,32675.91,10.93
34,free,1079,374,1663.97,1.77,45.47,33200.42,11.26
179,enterprise,2414,123,9469.77,13854.61,13950.63,25524.48,4.82
88,enterprise,2721,324,4318.51,18.37,110.36,30770.63,10.53
53,free,1073,379,2688.73,3.71,60.41,32593.96,11.63
170,pro,647,151,8889.49,12810.79,12900.53,26560.82,5.69
91,free,849,355,4391.63,13.20,77.55,31257.23,11.36
38,pro,2214,402,1805.07,0.22,49.77,34026.79,11.81
83,free,4062,345,4185.72,23.60,92.20,32405.51,10.65
122,free,1024,318,6321.47,2.85,87.60,30269.76,10.51
124,free,4034,319,6348.58,60.50,151.66,30435.00,10.48
186,free,607,119,9661.78,16431.51,16520.04,27181.80,4.38
76,free,1668,371,3784.36,32.31,96.28,33473.64,11.08
89,free,2300,347,4324.46,12.41,104.40,32936.64,10.54
151,pro,2765,218,7696.85,8830.51,8924.76,29661.82,7.35
90,enterprise,1047,351,4330.80,6.07,98.06,33306.17,10.54
108,pro,3136,364,5242.86,6.71,79.37,32432.30,11.22
162,pro,2348,187,8124.71,12563.19,12655.60,29584.98,6.32
152,pro,942,237,7722.68,9231.36,9320.53,30600.46,7.74
69,free,2543,369,3584.53,25.46,104.92,34904.75,10.57
96,free,2933,370,4812.86,31.37,106.45,35049.04,10.56
20,pro,700,454,1235.08,2.29,40.97,38812.73,11.70
200,free,2988,127,10064.15,18606.74,18695.76,30221.17,4.20
45,free,515,410,2163.88,23.20,82.22,38122.90,10.75
94,free,2930,403,4648.94,3.11,78.82,36570.11,11.02
18,free,2474,481,1082.25,0.74,41.24,40502.38,11.88
171,free,2530,208,8905.46,13029.18,13124.69,32970.76,6.31
123,pro,2990,373,6347.41,61.66,152.83,35624.21,10.47
213,free,1242,110,10606.55,21768.93,21859.49,31695.64,3.47
196,free,4073,169,9971.35,17363.33,17452.29,32821.83,5.15
205,free,1644,139,10376.64,19634.84,19724.44,32416.54,4.29
23,free,1169,484,1372.14,17.94,56.63,41741.11,11.60
128,free,2902,401,6578.65,3.10,92.83,36625.54,10.95
84,pro,2717,411,4222.69,28.96,114.18,39011.88,10.54
165,free,3627,234,8555.92,12327.18,12423.10,34746.99,6.73
181,free,948,211,9494.20,14713.27,14803.00,33947.30,6.22
98,free,1186,423,5010.95,19.77,95.32,38466.30,11.00
51,free,3587,440,2474.73,7.54,69.34,41137.70,10.70
190,pro,833,184,9786.84,16591.72,16685.94,34013.75,5.41
93,free,742,433,4647.82,4.22,79.94,39285.69,11.02
16,free,3252,485,937.94,7.10,52.22,43024.36,11.27
164,pro,2214,245,8434.18,12397.00,12492.82,35650.13,6.87
207,free,3772,147,10401.87,20147.35,20237.90,33687.97,4.36
80,free,2027,445,4042.20,33.30,105.34,40257.41,11.05
111,enterprise,1347,431,5596.44,16.54,91.00,38771.51,11.12
37,free,3674,471,1796.42,0.45,47.60,42635.28,11.05
29,pro,1230,503,1614.45,1.31,48.67,43217.21,11.64
102,pro,626,438,5097.94,8.34,87.74,39845.32,10.99
176,pro,2428,234,9257.19,13538.73,13633.97,35923.66,6.51
129,free,1677,422,6637.67,33.81,125.37,38581.17,10.94
197,free,1741,185,9978.60,17814.27,17908.31,35332.53,5.24
42,pro,3437,477,2029.22,5.24,56.88,43433.37,10.98
182,free,843,224,9542.23,14838.57,14933.64,36051.19,6.21
237,pro,3547,89,11733.95,25903.02,25997.68,34329.67,2.59
62,free,2595,457,3112.62,15.11,83.43,43044.71,10.62
41,pro,2588,487,1982.15,3.40,52.31,44321.29,10.99
173,free,564,253,9061.96,13255.71,13351.34,37426.94,6.76
183,free,1868,228,9599.40,16262.54,16353.66,36994.85,6.16
243,free,1069,75,12140.16,27907.64,27997.68,34731.29,2.16
54,pro,964,495,2783.42,17.31,71.65,44181.13,11.20
59,free,1490,501,2916.32,2.98,61.44,44054.22,11.37
211,pro,2563,166,10475.40,21160.52,21251.42,36495.14,4.55
127,free,1992,444,6446.32,47.92,135.43,40612.07,10.93
43,pro,4081,487,2071.16,4.70,60.31,45306.13,10.75
210,pro,675,179,10474.39,20807.35,20898.44,37051.24,4.83
132,free,2556,398,6809.75,2977.48,3071.93,40754.62,9.77
118,free,1925,457,6153.08,6.47,90.13,41746.22,10.95
216,enterprise,2109,161,10745.73,22436.80,22527.89,37346.04,4.31
248,enterprise,727,69,12362.38,29513.84,29609.24,35998.23,1.92
224,free,652,144,10995.31,23998.95,24093.83,37599.09,3.83
232,free,3180,125,11475.14,25308.43,25404.26,37167.04,3.36
168,free,654,303,8651.18,12683.41,12774.82,40273.22,7.52
40,free,888,510,1860.52,6.40,58.62,47298.01,10.78
139,free,3500,390,7086.19,5064.32,5159.47,42072.34,9.27
180,pro,656,278,9480.94,14035.49,14131.49,40333.40,6.89
189,pro,1957,249,9745.14,16538.83,16633.43,40069.20,6.21
104,free,3949,472,5122.44,26.42,108.36,44742.90,10.55
