request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
6,free,2548,73,193.69,6.29,39.24,3740.05,19.52
13,free,593,67,782.11,1.82,35.47,3433.99,19.51
19,pro,1636,72,1111.99,2.90,43.71,3918.73,18.37
3,free,3885,107,72.18,0.00,45.85,6087.77,17.58
31,free,3938,99,1636.64,24.28,75.76,8150.60,12.15
57,enterprise,3441,95,2819.41,35.67,95.69,7705.98,12.33
30,pro,2839,110,1624.48,36.43,87.92,9205.13,11.95
103,enterprise,2982,66,5117.01,31.85,113.79,6109.53,10.80
77,pro,2586,87,3793.49,23.18,87.15,7461.91,11.66
9,pro,1044,167,473.25,2.37,29.28,11142.77,14.99
12,free,1676,163,642.86,1.85,36.64,11151.03,14.62
61,enterprise,1757,100,3056.72,4.74,71.01,9098.55,10.99
100,pro,1435,77,5070.52,0.93,78.34,7098.64,10.85
79,pro,2315,94,4031.72,43.79,115.82,8221.12,11.43
86,free,2530,90,4235.67,15.98,101.20,8488.82,10.60
75,pro,3924,109,3757.74,1.06,65.14,9647.99,11.30
115,free,1352,95,5946.55,38.85,121.54,8421.40,11.28
95,free,3636,108,4668.82,29.21,102.31,9964.87,10.84
56,free,3502,142,2817.41,37.66,97.69,11980.81,11.85
22,pro,2100,161,1276.41,5.00,47.13,13532.38,11.90
7,pro,2356,190,223.65,9.28,44.97,14775.80,12.86
44,pro,2820,171,2098.07,4.70,56.89,13511.67,12.66
120,free,2034,109,6243.54,77.40,165.36,9719.23,11.21
60,pro,3609,156,2952.28,13.73,68.94,13554.63,11.51
27,pro,714,196,1586.47,29.29,76.65,15346.40,12.77
48,free,1684,181,2204.16,0.29,49.92,14949.42,12.11
17,pro,2097,216,1052.02,20.25,62.87,16825.19,12.84
25,free,3086,208,1392.88,3.80,48.62,16976.05,12.25
15,pro,3080,220,934.81,10.22,55.34,17619.65,12.49
14,pro,3203,237,812.29,5.28,43.17,17992.98,13.17
36,pro,1295,220,1718.60,20.10,63.86,18061.22,12.18
81,pro,910,181,4074.78,0.72,72.76,16069.74,11.26
52,free,3887,193,2535.58,8.49,73.13,17736.79,10.88
8,enterprise,3932,261,335.22,3.12,48.92,20176.78,12.94
67,free,3976,181,3533.67,4.09,76.31,17025.39,10.63
2,free,3420,271,49.73,0.00,41.20,20735.30,13.07
97,free,855,171,4915.14,4.18,80.24,15871.53,10.77
1,free,957,261,25.58,0.00,16.57,20818.52,12.54
10,free,3594,242,541.22,13.23,53.53,20302.88,11.92
131,free,1840,151,6763.69,10.12,104.62,14210.31,10.63
39,free,3542,233,1825.12,1.11,48.35,19324.38,12.06
55,free,4011,217,2799.64,1.09,55.43,18714.82,11.60
101,free,3481,182,5074.64,31.63,111.04,16439.82,11.07
281,enterprise,3765,72,13943.60,865.19,960.51,7752.81,9.29
82,free,2525,193,4105.57,37.86,103.76,17711.87,10.90
130,free,1166,162,6735.31,38.49,133.00,15269.44,10.61
24,free,1557,249,1392.19,4.49,49.31,20800.46,11.97
290,enterprise,1289,76,14423.99,1185.75,1273.99,7966.06,9.54
49,free,573,243,2405.40,10.69,65.94,20164.54,12.05
179,enterprise,2414,123,9469.77,2146.25,2235.18,13100.18,9.39
73,free,3608,210,3628.86,7.26,68.59,19036.57,11.03
85,pro,1949,197,4226.58,25.07,110.29,18691.25,10.54
126,free,1990,183,6426.37,67.87,155.38,16715.89,10.95
87,free,575,202,4302.61,34.26,126.25,19176.72,10.53
105,pro,3290,216,5167.16,13.73,82.41,19029.47,11.35
70,pro,3904,220,3591.94,18.05,97.51,20734.95,10.61
21,free,756,297,1264.36,11.68,49.68,24419.01,12.16
28,free,2551,297,1594.77,20.98,68.35,24395.26,12.17
26,free,2770,300,1519.00,10.01,53.38,24561.07,12.21
5,free,2336,310,140.83,0.95,30.04,25959.16,11.94
114,pro,3048,227,5945.63,39.76,122.46,20224.02,11.22
46,enterprise,3488,262,2186.01,1.08,60.10,24006.97,10.91
47,pro,757,282,2192.21,12.23,61.86,24127.98,11.69
107,free,745,240,5232.24,17.33,89.99,21204.30,11.32
106,pro,538,229,5218.67,12.13,95.13,21401.20,10.70
320,enterprise,3502,109,15811.73,1121.14,1210.21,10892.62,10.01
68,free,3252,273,3554.98,19.34,83.48,23505.74,11.61
121,free,524,221,6302.87,21.45,106.20,20793.80,10.63
50,pro,2167,296,2406.49,9.61,64.85,24920.38,11.88
216,enterprise,2109,161,10745.73,1409.54,1504.39,16649.26,9.67
74,pro,2529,255,3673.63,15.82,97.24,23999.01,10.63
11,free,3444,344,602.17,8.09,42.55,27254.23,12.62
125,free,1906,231,6380.67,28.40,119.57,21769.99,10.61
4,enterprise,2128,337,134.48,7.30,36.40,28457.41,11.84
119,free,819,254,6207.60,27.45,113.35,22618.70,11.23
266,enterprise,1768,155,13440.48,1357.75,1448.21,15437.09,10.04
58,free,1483,291,2910.27,3.34,55.75,26205.54,11.10
99,free,1045,283,5043.29,5.53,71.56,24937.39,11.35
465,enterprise,1821,84,22506.48,63.47,153.75,7563.15,11.11
32,free,1581,317,1642.53,18.39,69.87,28695.62,11.05
64,pro,592,316,3309.32,19.39,80.78,27205.27,11.62
92,free,3112,282,4413.45,1.69,72.40,26245.54,10.74
78,free,3997,302,3969.34,39.27,106.16,27105.73,11.14
141,pro,1057,110,7265.03,13579.07,13673.73,23812.40,4.62
0,free,2524,400,23.34,0.00,32.24,31115.98,12.86
63,free,1150,328,3298.80,29.92,91.30,28285.50,11.60
65,free,3224,309,3460.15,3.07,60.69,28350.66,10.90
330,enterprise,2319,155,16128.52,1748.68,1839.18,15854.66,9.78
109,pro,1634,289,5277.23,36.58,121.15,27204.95,10.62
146,pro,1963,121,7607.51,13366.49,13460.16,24874.67,4.86
72,free,1674,317,3625.77,10.36,71.69,29237.77,10.84
113,free,1742,305,5933.29,52.11,134.80,27179.58,11.22
339,enterprise,3929,164,16301.45,2503.81,2593.24,17172.14,9.55
505,enterprise,3681,87,24572.42,1417.61,1507.64,9170.41,9.49
33,free,2323,357,1650.30,10.62,62.10,32389.31,11.02
35,free,3537,377,1717.32,21.38,65.14,32368.56,11.65
233,enterprise,1762,231,11509.33,1215.16,1309.79,22898.80,10.09
34,free,1079,374,1663.97,1.77,45.47,33021.35,11.33
88,enterprise,2721,324,4318.51,18.37,110.36,30459.37,10.64
191,pro,2285,82,9845.16,17549.84,17642.37,25116.53,3.26
332,enterprise,1867,175,16165.53,2203.40,2296.16,18807.13,9.30
53,free,1073,379,2688.73,3.71,60.41,32486.07,11.67
91,free,849,355,4391.63,13.20,77.55,31141.26,11.40
38,pro,2214,402,1805.07,0.22,49.77,33906.74,11.86
83,free,4062,345,4185.72,23.60,92.20,32225.49,10.71
122,free,1024,318,6321.47,2.85,87.60,30089.74,10.57
124,free,4034,319,6348.58,60.50,151.66,30253.89,10.54
89,free,2300,347,4324.46,12.41,104.40,32578.57,10.65
170,pro,647,151,8889.49,14028.35,14121.91,28013.55,5.39
321,enterprise,884,217,15844.97,1308.60,1399.02,21081.75,10.29
76,free,1668,371,3784.36,32.31,96.28,33327.45,11.13
90,free,1047,351,4330.80,6.07,98.06,32943.49,10.65
108,enterprise,3136,364,5242.86,6.71,79.37,32267.98,11.28
222,enterprise,3898,268,10947.69,1221.46,1316.52,26609.94,10.07
69,free,2543,369,3584.53,25.46,104.92,34527.76,10.69
150,pro,4057,193,7688.61,13460.89,13552.12,31096.36,6.21
303,enterprise,1691,259,15055.92,906.85,994.99,24060.89,10.76
96,free,2933,370,4812.86,31.37,106.45,34849.15,10.62
162,pro,2348,187,8124.71,13692.73,13786.38,31537.31,5.93
45,free,515,410,2163.88,23.20,82.22,37708.47,10.87
20,pro,700,454,1235.08,2.29,40.97,38745.29,11.72
565,enterprise,585,142,27578.70,93.94,185.82,13226.44,10.74
587,enterprise,1964,123,28669.78,1399.85,1488.82,12416.34,9.91
94,pro,2930,403,4648.94,3.11,78.82,36536.78,11.03
18,free,2474,481,1082.25,0.74,41.24,40182.68,11.97
690,enterprise,2671,88,33716.87,25.96,115.39,7902.97,11.14
123,pro,2990,373,6347.41,61.66,152.83,35428.49,10.53
84,enterprise,2717,411,4222.69,28.96,114.18,38548.20,10.66
681,enterprise,2584,108,33270.11,203.49,293.22,9848.45,10.97
23,free,1169,484,1372.14,17.94,56.63,41763.58,11.59
51,pro,3587,440,2474.73,7.54,69.34,40671.51,10.82
285,enterprise,3363,301,14217.55,781.90,877.51,28928.69,10.40
128,enterprise,2902,401,6578.65,3.10,92.83,36649.96,10.94
363,enterprise,2958,256,17254.47,2525.34,2616.51,25974.14,9.86
152,pro,942,237,7722.68,13791.78,13882.13,35505.93,6.67
98,pro,1186,423,5010.95,19.77,95.32,38496.07,10.99
190,pro,833,184,9786.84,17540.03,17628.26,33950.48,5.42
16,free,3252,485,937.94,7.10,52.22,42864.93,11.31
181,pro,948,211,9494.20,14832.69,14925.92,34392.84,6.13
111,enterprise,1347,431,5596.44,16.54,91.00,38318.75,11.25
93,free,742,433,4647.82,4.22,79.94,39326.74,11.01
133,pro,3917,253,6957.99,13827.05,13918.15,37016.58,6.83
200,pro,2988,127,10064.15,21746.66,21842.54,33931.49,3.74
37,free,3674,471,1796.42,0.45,47.60,42488.78,11.09
80,enterprise,2027,445,4042.20,33.30,105.34,40301.95,11.04
29,pro,1230,503,1614.45,1.31,48.67,42744.13,11.77
165,pro,3627,234,8555.92,13636.73,13731.27,36016.89,6.50
237,pro,3547,89,11733.95,24677.26,24772.89,33219.96,2.68
102,free,626,438,5097.94,8.34,87.74,39889.17,10.98
176,pro,2428,234,9257.19,14222.14,14316.28,35939.28,6.51
129,pro,1677,422,6637.67,33.81,125.37,38626.34,10.93
42,pro,3437,477,2029.22,5.24,56.88,43303.16,11.02
164,pro,2214,245,8434.18,13570.57,13664.52,36992.50,6.62
582,enterprise,1821,181,28547.28,330.28,421.73,16993.94,10.65
62,free,2595,457,3112.62,15.11,83.43,42554.17,10.74
41,pro,2588,487,1982.15,3.40,52.31,44196.29,11.02
672,enterprise,3369,139,32801.15,62.39,158.18,13377.29,10.39
59,free,1490,501,2916.32,2.98,61.44,43486.80,11.52
334,enterprise,3662,293,16230.97,2323.49,2416.38,30227.67,9.69
196,pro,4073,169,9971.35,21612.94,21702.78,36698.80,4.61
185,enterprise,777,392,9627.94,2165.95,2254.58,37130.63,10.56
183,pro,1868,228,9599.40,16837.15,16926.41,37159.17,6.14
43,pro,4081,487,2071.16,4.70,60.31,44816.85,10.87
54,free,964,495,2783.42,17.31,71.65,44243.09,11.19
127,free,1992,444,6446.32,47.92,135.43,40673.43,10.92
211,pro,2563,166,10475.40,22637.47,22727.64,37430.81,4.43
118,free,1925,457,6153.08,6.47,90.13,41808.41,10.93
250,pro,555,123,12475.05,25035.78,25124.92,35958.58,3.42
40,free,888,510,1860.52,6.40,58.62,46793.62,10.90
