request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
6,free,2548,73,193.69,6.29,39.24,3740.05,19.52
13,free,593,67,782.11,1.82,35.47,3433.99,19.51
19,pro,1636,72,1111.99,2.90,43.71,3918.73,18.37
3,free,3885,107,72.18,0.00,45.85,6087.77,17.58
31,free,3938,99,1636.64,24.28,75.76,8150.60,12.15
57,enterprise,3441,95,2819.41,35.67,95.69,7705.98,12.33
30,pro,2839,110,1624.48,36.43,87.92,9205.39,11.95
103,enterprise,2982,66,5117.01,31.85,113.79,6109.53,10.80
77,pro,2586,87,3793.49,23.18,87.15,7464.85,11.65
9,free,1044,167,473.25,2.37,29.28,11142.77,14.99
12,free,1676,163,642.86,1.85,36.64,11150.41,14.62
61,enterprise,1757,100,3056.72,4.74,71.01,9106.13,10.98
100,free,1435,77,5070.52,0.93,78.34,7100.05,10.85
79,free,2315,94,4031.72,43.79,115.82,8230.55,11.42
86,free,2530,90,4235.67,15.98,101.20,8497.58,10.59
75,free,3924,109,3757.74,1.06,65.14,9650.36,11.29
115,pro,1352,95,5946.55,38.85,121.54,8436.85,11.26
95,free,3636,108,4668.82,29.21,102.31,9972.26,10.83
56,free,3502,142,2817.41,37.66,97.69,11990.01,11.84
22,enterprise,2100,161,1276.41,5.00,47.13,13538.38,11.89
7,pro,2356,190,223.65,9.28,44.97,14780.50,12.85
44,pro,2820,171,2098.07,4.70,56.89,13535.09,12.63
120,free,2034,109,6243.54,77.40,165.36,9746.84,11.18
175,free,3465,68,9193.51,593.73,688.46,7047.02,9.65
60,pro,3609,156,2952.28,13.73,68.94,13589.14,11.48
27,pro,714,196,1586.47,29.29,76.65,15384.58,12.74
48,free,1684,181,2204.16,0.29,49.92,14954.52,12.10
17,pro,2097,216,1052.02,20.25,62.87,16833.60,12.83
191,free,2285,82,9845.16,680.23,771.81,8131.31,10.08
25,free,3086,208,1392.88,3.80,48.62,17050.09,12.20
15,pro,3080,220,934.81,10.22,55.34,17696.96,12.43
14,free,3203,237,812.29,5.28,43.17,18044.59,13.13
243,pro,1069,75,12140.16,22.69,117.73,7150.65,10.49
248,enterprise,727,69,12362.38,370.87,465.38,6928.43,9.96
163,pro,3921,92,8144.29,2685.58,2780.72,11433.84,8.05
237,pro,3547,89,11733.95,59.32,148.49,8014.40,11.11
36,pro,1295,220,1718.60,20.10,63.86,18072.68,12.17
81,pro,910,181,4074.78,0.72,72.76,16081.07,11.26
52,free,3887,193,2535.58,8.49,73.13,17706.43,10.90
8,pro,3932,261,335.22,3.12,48.92,20184.69,12.93
67,free,3976,181,3533.67,4.09,76.31,16990.87,10.65
2,free,3420,271,49.73,0.00,41.20,20743.11,13.06
1,free,957,261,25.58,0.00,16.57,20779.63,12.56
10,free,3594,242,541.22,13.23,53.53,20263.99,11.94
269,free,612,72,13542.31,841.09,930.29,7270.85,9.90
97,enterprise,855,171,4915.14,4.18,80.24,15965.99,10.71
131,free,1840,151,6763.69,10.12,104.62,14306.46,10.55
39,enterprise,3542,233,1825.12,1.11,48.35,19331.14,12.05
260,pro,2496,82,13100.45,307.65,402.44,8064.56,10.17
213,free,1242,110,10606.55,651.79,743.01,10640.09,10.34
281,free,3765,72,13943.60,697.48,792.40,7506.61,9.59
55,enterprise,4011,217,2799.64,1.09,55.43,18717.58,11.59
101,free,3481,182,5074.64,31.63,111.04,16442.58,11.07
142,free,1418,111,7276.21,4339.81,4428.43,14250.77,7.79
141,enterprise,1057,110,7265.03,3961.51,4055.87,14374.15,7.65
290,free,1289,76,14423.99,383.44,473.75,7271.95,10.45
82,pro,2525,193,4105.57,37.86,103.76,17816.66,10.83
130,free,1166,162,6735.31,38.49,133.00,15376.32,10.54
315,free,2817,73,15610.05,23.10,112.39,6547.11,11.15
24,free,1557,249,1392.19,4.49,49.31,20910.41,11.91
49,free,573,243,2405.40,10.69,65.94,20201.21,12.03
73,free,3608,210,3628.86,7.26,68.59,19149.56,10.97
85,pro,1949,197,4226.58,25.07,110.29,18651.87,10.56
268,free,2092,85,13489.09,1325.70,1420.38,9389.37,9.05
186,free,607,119,9661.78,2600.49,2691.26,13387.06,8.89
148,free,3683,115,7636.78,4533.78,4628.91,15426.41,7.45
126,free,1990,183,6426.37,67.87,155.38,16713.46,10.95
87,free,575,202,4302.61,34.26,126.25,19141.20,10.55
352,pro,2475,74,16822.35,148.71,238.41,6777.39,10.92
265,free,3661,92,13328.15,1676.00,1771.05,10398.65,8.85
105,pro,3290,216,5167.16,13.73,82.41,19061.99,11.33
70,enterprise,3904,220,3591.94,18.05,97.51,20699.19,10.63
288,pro,1417,94,14347.01,1643.37,1732.47,10061.34,9.34
364,pro,2105,79,17360.17,525.44,616.29,7697.09,10.26
350,free,2715,93,16788.95,369.72,460.55,8818.99,10.55
21,free,756,297,1264.36,11.68,49.68,24435.67,12.15
368,free,1688,86,17565.50,410.97,501.61,8226.98,10.45
28,pro,2551,297,1594.77,20.98,68.35,24441.10,12.15
5,free,2336,310,140.83,0.95,30.04,25927.74,11.96
26,enterprise,2770,300,1519.00,10.01,53.38,24607.59,12.19
46,enterprise,3488,262,2186.01,1.08,60.10,23976.46,10.93
114,pro,3048,227,5945.63,39.76,122.46,20271.32,11.20
47,free,757,282,2192.21,12.23,61.86,24154.23,11.67
107,pro,745,240,5232.24,17.33,89.99,21255.88,11.29
320,enterprise,3502,109,15811.73,428.80,523.97,10725.35,10.16
106,free,538,229,5218.67,12.13,95.13,21550.10,10.63
280,free,3322,111,13837.21,2704.20,2799.19,13218.69,8.40
68,enterprise,3252,273,3554.98,19.34,83.48,23567.93,11.58
121,free,524,221,6302.87,21.45,106.20,20943.42,10.55
416,free,1787,76,20208.73,33.28,127.45,7167.21,10.60
50,pro,2167,296,2406.49,9.61,64.85,24985.95,11.85
439,free,1897,64,21300.85,149.35,243.83,6231.25,10.27
431,pro,3124,71,20818.38,62.76,157.26,6808.95,10.43
74,pro,2529,255,3673.63,15.82,97.24,23983.08,10.63
11,free,3444,344,602.17,8.09,42.55,27332.23,12.59
125,free,1906,231,6380.67,28.40,119.57,21907.79,10.54
4,enterprise,2128,337,134.48,7.30,36.40,28458.07,11.84
400,free,1210,99,19241.01,49.80,145.56,9351.54,10.59
119,free,819,254,6207.60,27.45,113.35,22716.31,11.18
461,free,682,71,22284.97,17.63,112.77,6757.36,10.51
274,free,755,113,13628.00,4814.98,4909.36,15508.99,7.29
58,pro,1483,291,2910.27,3.34,55.75,26321.34,11.06
307,pro,848,116,15258.53,3598.36,3687.46,14028.38,8.27
419,free,3967,97,20300.26,219.65,310.62,9129.36,10.63
376,free,736,115,17916.57,715.20,808.80,11598.15,9.92
99,free,1045,283,5043.29,5.53,71.56,25059.78,11.29
465,enterprise,1821,84,22506.48,100.13,190.37,7687.77,10.93
32,free,1581,317,1642.53,18.39,69.87,28735.50,11.03
311,free,1614,118,15484.35,3806.46,3902.23,14893.68,7.92
480,free,958,76,23253.82,189.99,284.31,7314.85,10.39
64,pro,592,316,3309.32,19.39,80.78,27339.56,11.56
146,pro,1963,121,7607.51,12140.84,12229.52,23041.37,5.25
92,free,3112,282,4413.45,1.69,72.40,26328.29,10.71
341,free,873,119,16501.44,3076.68,3171.49,14259.08,8.35
179,enterprise,2414,123,9469.77,10321.51,10412.64,21631.84,5.69
78,free,3997,302,3969.34,39.27,106.16,27224.97,11.09
0,free,2524,400,23.34,0.00,32.24,31268.43,12.79
452,pro,3749,98,21938.26,173.38,268.85,9465.52,10.35
250,pro,555,123,12475.05,7680.80,7771.80,18995.63,6.48
63,free,1150,328,3298.80,29.92,91.30,28453.76,11.53
497,free,2343,84,24171.20,57.94,147.54,7673.72,10.95
65,free,3224,309,3460.15,3.07,60.69,28412.48,10.88
299,free,2081,123,14942.47,5582.07,5675.61,17172.89,7.16
232,free,3180,125,11475.14,9317.70,9408.54,20830.51,6.00
504,free,3264,79,24560.24,497.02,588.78,7838.00,10.08
109,pro,1634,289,5277.23,36.58,121.15,27246.23,10.61
373,pro,1944,131,17738.10,3075.06,3164.25,14939.25,8.77
200,pro,2988,127,10064.15,10741.06,10835.19,22733.14,5.59
72,free,1674,317,3625.77,10.36,71.69,29268.64,10.83
333,free,3850,129,16197.30,4607.91,4702.04,16794.66,7.68
462,free,2920,111,22339.63,438.79,533.71,10927.60,10.16
113,free,1742,305,5933.29,52.11,134.80,27389.83,11.14
474,enterprise,3048,111,23031.24,17.60,108.60,10294.92,10.78
489,free,2106,96,23776.96,514.17,607.63,9604.57,10.00
241,free,2157,134,12038.82,9117.44,9207.81,21472.67,6.24
345,pro,3063,132,16663.51,4406.64,4501.50,16883.90,7.82
505,free,3681,87,24572.42,1035.52,1127.61,9124.13,9.54
235,free,716,136,11695.10,9551.53,9641.72,22093.84,6.16
158,free,3179,136,7920.23,13244.78,13339.83,26095.74,5.21
35,free,3537,377,1717.32,21.38,65.14,32536.54,11.59
33,free,2323,357,1650.30,10.62,62.10,32608.88,10.95
560,free,2890,72,27261.26,114.69,208.26,6997.92,10.29
549,enterprise,1696,77,26792.53,263.37,358.56,7505.27,10.26
236,free,3848,141,11704.17,9822.81,9912.80,22631.52,6.23
205,free,1644,139,10376.64,11140.58,11229.93,23970.03,5.80
437,pro,3498,139,21142.16,375.06,464.41,13204.51,10.53
512,pro,2171,93,24987.16,712.87,805.32,9359.51,9.94
453,free,2258,136,22088.37,68.80,158.67,12430.83,10.94
34,free,1079,374,1663.97,1.77,45.47,33011.20,11.33
488,free,3818,113,23768.59,639.75,730.09,10934.83,10.33
442,free,3756,144,21347.17,348.77,438.89,13646.10,10.55
88,free,2721,324,4318.51,18.37,110.36,30716.22,10.55
224,free,652,144,10995.31,10643.87,10738.21,24246.13,5.94
53,pro,1073,379,2688.73,3.71,60.41,32748.74,11.57
91,free,849,355,4391.63,13.20,77.55,31412.54,11.30
207,free,3772,147,10401.87,11520.36,11615.06,25411.57,5.78
475,pro,3418,135,23050.08,13.11,107.93,12763.36,10.58
38,pro,2214,402,1805.07,0.22,49.77,34183.01,11.76
518,free,1285,110,25338.67,453.80,546.11,10662.02,10.32
484,pro,1084,138,23439.06,160.68,250.56,12733.75,10.84
486,free,2736,131,23690.27,36.53,130.56,12511.72,10.47
83,free,4062,345,4185.72,23.60,92.20,32191.77,10.72
122,free,1024,318,6321.47,2.85,87.60,30056.02,10.58
467,free,3190,143,22683.80,194.66,288.86,13810.95,10.35
124,free,4034,319,6348.58,60.50,151.66,30216.85,10.56
536,pro,1935,117,26122.75,3.84,94.20,10696.93,10.94
618,enterprise,2741,77,29949.41,153.66,244.83,7238.31,10.64
476,pro,2807,152,23111.76,28.07,119.28,14085.79,10.79
89,free,2300,347,4324.46,12.41,104.40,32950.49,10.53
170,pro,647,151,8889.49,13988.97,14083.17,28385.47,5.32
76,free,1668,371,3784.36,32.31,96.28,33505.40,11.07
