request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
6,free,2548,73,193.69,6.29,39.24,3740.05,19.52
13,pro,593,67,782.11,1.82,35.47,3433.99,19.51
19,pro,1636,72,1111.99,2.90,43.71,3918.73,18.37
3,free,3885,107,72.18,0.00,45.85,6087.77,17.58
31,free,3938,99,1636.64,24.28,75.76,8150.60,12.15
57,enterprise,3441,95,2819.41,35.67,95.69,7705.98,12.33
30,pro,2839,110,1624.48,36.43,87.92,9201.12,11.96
103,enterprise,2982,66,5117.01,31.85,113.79,6109.53,10.80
77,pro,2586,87,3793.49,23.18,87.15,7461.78,11.66
9,free,1044,167,473.25,2.37,29.28,11142.77,14.99
12,free,1676,163,642.86,1.85,36.64,11149.90,14.62
61,enterprise,1757,100,3056.72,4.74,71.01,9094.10,11.00
100,free,1435,77,5070.52,0.93,78.34,7100.21,10.84
79,pro,2315,94,4031.72,43.79,115.82,8226.97,11.43
86,free,2530,90,4235.67,15.98,101.20,8484.76,10.61
75,pro,3924,109,3757.74,1.06,65.14,9638.93,11.31
115,free,1352,95,5946.55,38.85,121.54,8401.64,11.31
95,free,3636,108,4668.82,29.21,102.31,9947.66,10.86
22,free,2100,161,1276.41,5.00,47.13,13543.56,11.89
56,free,3502,142,2817.41,37.66,97.69,12003.16,11.83
7,pro,2356,190,223.65,9.28,44.97,14787.50,12.85
44,pro,2820,171,2098.07,4.70,56.89,13497.51,12.67
120,free,2034,109,6243.54,77.40,165.36,9705.96,11.23
60,free,3609,156,2952.28,13.73,68.94,13536.51,11.52
27,pro,714,196,1586.47,29.29,76.65,15331.73,12.78
48,free,1684,181,2204.16,0.29,49.92,14987.03,12.08
17,pro,2097,216,1052.02,20.25,62.87,16870.49,12.80
25,free,3086,208,1392.88,3.80,48.62,16952.83,12.27
15,pro,3080,220,934.81,10.22,55.34,17595.59,12.50
14,free,3203,237,812.29,5.28,43.17,17974.70,13.19
36,pro,1295,220,1718.60,20.10,63.86,18136.01,12.13
81,pro,910,181,4074.78,0.72,72.76,16150.98,11.21
52,free,3887,193,2535.58,8.49,73.13,17730.84,10.88
67,free,3976,181,3533.67,4.09,76.31,17019.21,10.64
8,free,3932,261,335.22,3.12,48.92,20264.85,12.88
141,enterprise,1057,110,7265.03,3260.36,3351.56,13335.04,8.25
97,free,855,171,4915.14,4.18,80.24,15817.60,10.81
1,free,957,261,25.58,0.00,16.57,20812.00,12.54
10,free,3594,242,541.22,13.23,53.53,20296.36,11.92
2,free,3420,271,49.73,0.00,41.20,20828.37,13.01
131,free,1840,151,6763.69,10.12,104.62,14152.92,10.67
39,free,3542,233,1825.12,1.11,48.35,19422.62,12.00
55,enterprise,4011,217,2799.64,1.09,55.43,18815.63,11.53
101,pro,3481,182,5074.64,31.63,111.04,16540.63,11.00
248,enterprise,727,69,12362.38,3233.19,3321.66,9343.83,7.38
82,pro,2525,193,4105.57,37.86,103.76,17641.29,10.94
130,free,1166,162,6735.31,38.49,133.00,15196.96,10.66
24,free,1557,249,1392.19,4.49,49.31,20726.69,12.01
49,free,573,243,2405.40,10.69,65.94,20100.70,12.09
73,free,3608,210,3628.86,7.26,68.59,18955.64,11.08
85,free,1949,197,4226.58,25.07,110.29,18700.48,10.53
