request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
13,free,593,67,391.05,8.26,44.03,4302.19,15.57
6,pro,2548,73,96.85,15.52,42.07,5270.03,13.85
19,pro,1636,72,556.00,5.42,44.40,4957.29,14.52
3,free,3885,107,36.09,0.00,45.85,7842.61,13.64
103,enterprise,2982,66,2558.51,27.46,120.48,6245.58,10.57
57,enterprise,3441,95,1409.70,45.61,100.19,7928.11,11.98
77,pro,2586,87,1896.74,2.49,60.71,7459.65,11.66
31,free,3938,99,818.32,3.04,50.21,8748.72,11.32
100,free,1435,77,2535.26,50.71,143.73,7264.12,10.60
86,free,2530,90,2117.84,72.59,139.03,7955.35,11.31
30,free,2839,110,812.24,9.11,56.28,9734.51,11.30
61,enterprise,1757,100,1528.36,3.23,81.71,9105.33,10.98
79,pro,2315,94,2015.86,5.82,97.09,8617.84,10.91
75,pro,3924,109,1878.87,20.36,78.58,9420.59,11.57
115,free,1352,95,2973.27,11.50,99.87,8448.65,11.24
95,free,3636,108,2334.41,127.06,200.84,9598.99,11.25
120,free,2034,109,3121.77,45.61,125.09,9795.47,11.13
12,pro,1676,163,321.43,77.88,113.65,12928.97,12.61
56,free,3502,142,1408.71,46.61,101.18,11932.62,11.90
22,enterprise,2100,161,638.20,1.18,41.62,12783.50,12.59
9,pro,1044,167,236.62,35.22,74.40,13897.75,12.02
60,pro,3609,156,1476.14,55.45,133.94,13807.75,11.30
7,pro,2356,190,111.83,61.84,102.06,15486.85,12.27
44,pro,2820,171,1049.03,40.36,85.80,14900.06,11.48
27,pro,714,196,793.24,7.98,54.64,15690.91,12.49
48,free,1684,181,1102.08,5.49,72.39,15697.53,11.53
97,free,855,171,2457.57,3.90,77.69,14490.10,11.80
67,free,3976,181,1766.84,0.25,85.10,15736.34,11.50
17,pro,2097,216,526.01,35.41,74.39,17028.27,12.68
81,pro,910,181,2037.39,75.55,168.35,15767.90,11.48
15,pro,3080,220,467.41,3.46,49.38,17606.31,12.50
25,free,3086,208,696.44,0.87,40.03,17564.86,11.84
52,free,3887,193,1267.79,139.86,193.48,17160.60,11.25
101,free,3481,182,2537.32,48.65,141.67,16458.22,11.06
126,free,1990,183,3213.19,33.68,124.00,15817.22,11.57
87,free,575,202,2151.31,39.12,105.56,17190.48,11.75
82,pro,2525,193,2052.78,63.92,142.11,17335.96,11.13
14,free,3203,237,406.15,64.72,110.64,19012.14,12.47
36,free,1295,220,859.30,9.22,63.30,18580.12,11.84
85,pro,1949,197,2113.29,3.41,81.60,17581.93,11.20
10,free,3594,242,270.61,1.23,40.42,19679.19,12.30
55,enterprise,4011,217,1399.82,7.83,61.45,18894.36,11.48
73,free,3608,210,1814.43,22.43,92.37,18551.88,11.32
1,free,957,261,12.79,0.00,16.57,20429.54,12.78
39,free,3542,233,912.56,10.04,71.68,19529.77,11.93
2,free,3420,271,24.87,0.00,41.20,20565.84,13.18
70,enterprise,3904,220,1795.97,40.89,110.84,19265.73,11.42
8,enterprise,3932,261,167.61,104.23,143.42,21072.77,12.39
24,free,1557,249,696.10,1.21,40.38,20632.54,12.07
49,free,573,243,1202.70,38.68,111.22,20228.53,12.01
105,pro,3290,216,2583.58,2.39,95.41,18875.22,11.44
114,pro,3048,227,2972.82,11.96,100.33,18621.88,12.19
121,free,524,221,3151.44,15.95,95.43,18640.98,11.86
106,free,538,229,2609.34,46.42,119.48,19256.16,11.89
46,enterprise,3488,262,1093.00,14.57,81.47,21404.93,12.24
125,free,1906,231,3190.34,56.52,146.85,19394.32,11.91
107,pro,745,240,2616.12,39.64,112.70,20038.69,11.98
74,pro,2529,255,1836.82,0.04,69.99,21437.07,11.90
5,free,2336,310,70.42,36.86,74.65,23399.29,13.25
21,free,756,297,632.18,7.20,47.64,22904.92,12.97
47,free,757,282,1096.11,11.46,78.37,22634.55,12.46
28,pro,2551,297,797.39,3.83,50.49,23003.87,12.91
26,free,2770,300,759.50,41.72,88.37,23233.09,12.91
119,free,819,254,3103.80,63.58,143.06,21001.43,12.09
58,enterprise,1483,291,1455.13,0.18,54.76,22844.20,12.74
68,free,3252,273,1777.49,59.37,129.32,22586.62,12.09
92,free,3112,282,2206.72,120.34,187.54,22450.78,12.56
50,pro,2167,296,1203.24,38.14,110.68,23517.74,12.59
99,free,1045,283,2521.65,64.32,157.34,23036.57,12.28
32,free,1581,317,821.26,0.09,47.26,24781.08,12.79
4,enterprise,2128,337,67.24,8.92,41.19,25605.33,13.16
78,free,3997,302,1984.67,37.01,128.27,23744.15,12.72
65,free,3224,309,1730.08,37.01,121.86,24250.75,12.74
109,pro,1634,289,2638.61,17.15,90.21,23366.16,12.37
64,pro,592,316,1654.66,19.01,78.36,24367.12,12.97
113,free,1742,305,2966.64,18.13,106.50,23601.10,12.92
63,free,1150,328,1649.40,24.27,83.62,25103.24,13.07
11,free,3444,344,301.09,98.23,134.00,26484.16,12.99
72,free,1674,317,1812.88,23.98,93.92,25204.47,12.58
88,free,2721,324,2159.25,31.17,97.62,25641.55,12.64
33,free,2323,357,825.15,43.37,97.45,27313.37,13.07
122,free,1024,318,3160.74,6.65,86.13,25150.54,12.64
124,free,4034,319,3174.29,72.57,162.90,25265.92,12.63
83,free,4062,345,2092.86,23.84,102.03,26867.51,12.84
91,free,849,355,2195.81,131.25,198.45,26901.69,13.20
34,free,1079,374,831.99,36.54,90.61,28342.27,13.20
89,free,2300,347,2162.23,28.19,94.64,27097.67,12.81
35,free,3537,377,858.66,9.86,63.94,28497.09,13.23
90,enterprise,1047,351,2165.40,25.02,91.47,27350.57,12.83
0,free,2524,400,11.67,0.00,32.24,29568.06,13.53
69,free,2543,369,1792.27,44.59,114.54,28361.61,13.01
96,pro,2933,370,2406.43,55.04,128.82,27771.10,13.32
53,free,1073,379,1344.36,63.29,116.91,28926.19,13.10
76,free,1668,371,1892.18,7.05,65.27,28579.41,12.98
108,enterprise,3136,364,2621.43,34.33,107.39,28170.80,12.92
38,pro,2214,402,902.54,20.06,81.71,30011.23,13.39
45,free,515,410,1081.94,7.46,52.89,30627.95,13.39
123,pro,2990,373,3173.71,73.16,163.48,28707.15,12.99
94,pro,2930,403,2324.47,2.60,69.80,29843.57,13.50
84,enterprise,2717,411,2111.35,5.36,83.55,30804.60,13.34
20,pro,700,454,617.54,21.84,62.29,32699.61,13.88
131,free,1840,151,3381.85,20982.27,21041.88,30082.58,5.02
51,free,3587,440,1237.36,4.02,76.56,32283.39,13.63
130,free,1166,162,3367.66,20363.00,20424.82,30273.99,5.35
142,free,1418,111,3638.11,23379.25,23439.81,30074.45,3.69
141,enterprise,1057,110,3632.52,23152.73,23216.12,30180.55,3.64
98,pro,1186,423,2505.48,80.49,173.51,31514.72,13.42
93,free,742,433,2323.91,3.16,70.35,31769.06,13.63
80,enterprise,2027,445,2021.10,0.58,91.84,32400.84,13.73
111,enterprise,1347,431,2798.22,106.11,186.55,31688.29,13.60
128,enterprise,2902,401,3289.32,1403.92,1495.10,31433.87,12.76
102,free,626,438,2548.97,37.00,130.02,32386.64,13.52
18,free,2474,481,541.12,20.29,59.27,34399.65,13.98
62,free,2595,457,1556.31,117.36,176.71,33384.46,13.69
37,free,3674,471,898.21,24.39,86.03,34187.65,13.78
23,free,1169,484,686.07,11.24,50.40,34938.78,13.85
16,free,3252,485,468.97,1.90,47.81,35484.56,13.67
42,pro,3437,477,1014.61,7.90,59.39,35190.69,13.55
146,pro,1963,121,3803.76,24636.46,24699.45,32401.54,3.73
118,free,1925,457,3076.54,84.99,175.32,33260.61,13.74
127,free,1992,444,3223.16,23.70,114.03,33223.56,13.36
43,pro,4081,487,1035.58,53.82,99.26,35411.57,13.75
148,free,3683,115,3818.39,25279.11,25342.56,32645.30,3.52
112,pro,3612,467,2887.99,16.34,96.78,33882.26,13.78
41,pro,2588,487,991.08,31.43,82.93,35823.46,13.59
29,pro,1230,503,807.23,14.13,61.30,36071.21,13.94
104,enterprise,3949,472,2561.22,24.75,117.77,34495.92,13.68
54,free,964,495,1391.71,15.94,69.56,35959.59,13.77
59,pro,1490,501,1458.16,73.43,151.92,35961.06,13.93
66,pro,796,506,1761.34,5.75,90.60,36142.64,14.00
40,free,888,510,930.26,92.25,143.74,37285.34,13.68
163,free,3921,92,4072.15,28843.80,28904.70,34468.62,2.67
110,pro,2921,499,2706.02,198.30,278.75,36008.99,13.86
116,free,2186,498,2975.34,9.43,97.80,35739.67,13.93
71,free,4053,511,1804.37,32.49,102.43,36966.68,13.82
175,free,3465,68,4596.76,30338.85,30401.46,34460.73,1.97
117,free,577,503,3067.34,76.90,171.34,36161.01,13.91
158,free,3179,136,3960.12,26832.11,26896.07,35423.11,3.84
133,pro,3917,253,3478.99,21241.99,21304.88,36608.25,6.91
140,pro,1271,226,3592.24,23160.40,23221.92,37316.34,6.06
150,pro,4057,193,3844.30,25415.59,25479.60,37591.46,5.13
191,free,2285,82,4922.58,32428.72,32488.10,37226.46,2.20
151,free,2765,218,3848.42,25507.33,25567.13,38628.52,5.64
179,pro,2414,123,4734.89,30889.96,30953.16,38171.75,3.22
170,pro,647,151,4444.74,29575.45,29636.41,38580.14,3.91
186,free,607,119,4830.89,31632.81,31694.10,38897.81,3.06
162,pro,2348,187,4062.36,28105.69,28169.44,39729.03,4.71
152,pro,942,237,3861.34,25654.63,25718.39,40568.96,5.84
200,pro,2988,127,5032.07,34196.28,34254.44,41770.90,3.04
171,free,2530,208,4452.73,29640.25,29705.81,42489.89,4.90
165,free,3627,234,4277.96,29186.47,29248.48,43254.29,5.41
129,free,1677,422,3318.84,19179.10,19240.64,44679.69,9.45
190,pro,833,184,4893.42,32163.72,32222.53,43111.47,4.27
164,pro,2214,245,4217.09,29100.06,29164.66,44256.37,5.54
196,pro,4073,169,4985.68,33729.34,33790.09,44109.93,3.83
