request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
6,free,2548,73,96.85,10.43,49.28,4777.66,15.28
13,free,593,67,391.05,2.99,28.45,4644.75,14.42
19,pro,1636,72,556.00,0.26,40.96,5217.07,13.80
103,pro,2982,66,2558.51,2.15,78.51,5901.57,11.18
3,free,3885,107,36.09,0.00,45.85,8520.92,12.56
31,free,3938,99,818.32,12.86,61.64,8011.57,12.36
100,free,1435,77,2535.26,15.36,99.42,6925.15,11.12
57,enterprise,3441,95,1409.70,7.47,66.05,8141.19,11.67
77,pro,2586,87,1896.74,9.97,83.57,7890.76,11.03
30,pro,2839,110,812.24,18.93,67.71,9008.96,12.21
61,enterprise,1757,100,1528.36,4.93,59.30,8567.35,11.67
86,free,2530,90,2117.84,9.07,79.47,7977.88,11.28
79,free,2315,94,2015.86,8.35,84.54,8838.90,10.63
75,pro,3924,109,1878.87,27.84,101.44,9974.68,10.93
115,free,1352,95,2973.27,27.80,120.19,8880.28,10.70
95,free,3636,108,2334.41,2.37,86.78,10241.04,10.55
120,free,2034,109,3121.77,68.04,158.62,9999.91,10.90
12,free,1676,163,321.43,0.19,39.75,13074.91,12.47
56,free,3502,142,1408.71,8.46,67.05,12361.31,11.49
9,pro,1044,167,236.62,3.81,29.39,13573.85,12.30
22,enterprise,2100,161,638.20,0.20,41.24,13308.63,12.10
7,pro,2356,190,111.83,0.53,26.13,15385.76,12.35
60,pro,3609,156,1476.14,1.05,60.07,14114.66,11.05
44,pro,2820,171,1049.03,15.76,70.87,15741.34,10.86
27,pro,714,196,793.24,11.90,57.66,16757.90,11.70
97,enterprise,855,171,2457.57,16.27,93.05,15347.38,11.14
48,free,1684,181,1102.08,17.83,77.16,16744.28,10.81
81,pro,910,181,2037.39,5.58,71.58,16129.32,11.22
52,free,3887,193,1267.79,2.34,54.95,16931.96,11.40
67,free,3976,181,1766.84,8.29,72.99,16627.87,10.89
101,free,3481,182,2537.32,13.30,97.36,16360.66,11.12
17,pro,2097,216,526.01,16.22,57.11,18893.57,11.43
25,free,3086,208,696.44,4.64,49.74,18873.36,11.02
15,free,3080,220,467.41,3.05,38.93,19139.20,11.49
82,pro,2525,193,2052.78,1.14,76.86,17834.68,10.82
85,pro,1949,197,2113.29,13.61,84.02,17848.11,11.04
87,free,575,202,2151.31,23.68,96.59,18117.27,11.15
130,free,1166,162,3367.66,2405.41,2495.15,16992.82,9.53
36,pro,1295,220,859.30,13.71,60.27,19683.06,11.18
55,enterprise,4011,217,1399.82,17.35,75.93,19145.93,11.33
10,free,3594,242,270.61,11.50,51.01,20344.62,11.90
73,free,3608,210,1814.43,0.03,61.31,18893.24,11.12
126,free,1990,183,3213.19,75.18,170.70,17594.44,10.40
1,free,957,261,12.79,0.00,16.57,21566.08,12.10
14,free,3203,237,406.15,8.12,55.90,21350.03,11.10
39,free,3542,233,912.56,7.01,62.12,20950.44,11.12
141,enterprise,1057,110,3632.52,8221.03,8314.12,18511.69,5.94
142,free,1418,111,3638.11,8215.44,8308.53,18600.31,5.97
131,pro,1840,151,3381.85,5078.23,5169.01,18980.15,7.96
2,free,3420,271,24.87,0.00,41.20,22536.09,12.03
70,enterprise,3904,220,1795.97,10.08,82.79,20812.99,10.57
105,pro,3290,216,2583.58,0.64,81.47,20129.08,10.73
49,free,573,243,1202.70,18.27,67.43,21527.91,11.29
106,pro,538,229,2609.34,25.34,114.81,20679.06,11.07
24,free,1557,249,696.10,4.98,50.09,22762.88,10.94
121,pro,524,221,3151.44,38.38,128.96,20316.49,10.88
8,pro,3932,261,167.61,6.06,54.16,23385.56,11.16
114,pro,3048,227,2972.82,28.26,120.64,21253.62,10.68
107,pro,745,240,2616.12,18.56,108.03,21674.19,11.07
148,pro,3683,115,3818.39,10128.44,10220.67,20760.90,5.54
146,pro,1963,121,3803.76,9966.26,10055.70,20941.77,5.78
125,free,1906,231,3190.34,6.07,98.03,22058.26,10.47
74,pro,2529,255,1836.82,3.01,69.90,23611.30,10.80
46,free,3488,262,1093.00,26.90,86.23,24438.31,10.72
68,free,3252,273,1777.49,6.46,71.20,24427.13,11.18
21,free,756,297,632.18,5.47,44.16,25663.45,11.57
5,free,2336,310,70.42,5.74,40.04,26266.30,11.80
119,free,819,254,3103.80,2.71,86.02,23325.29,10.89
28,pro,2551,297,797.39,7.75,53.51,26093.24,11.38
26,free,2770,300,759.50,2.05,45.63,26316.58,11.40
58,free,1483,291,1455.13,20.62,81.87,25933.32,11.22
47,free,757,282,1096.11,23.80,83.13,26313.13,10.72
50,pro,2167,296,1203.24,17.72,66.89,26426.94,11.20
92,free,3112,282,2206.72,41.17,116.48,25457.28,11.08
99,free,1045,283,2521.65,28.97,113.03,25602.89,11.05
163,pro,3921,92,4072.15,15889.26,15982.63,24391.35,3.77
32,free,1581,317,821.26,9.91,58.69,27765.29,11.42
175,free,3465,68,4596.76,17641.66,17736.49,24033.79,2.83
4,enterprise,2128,337,67.24,8.92,43.22,28763.66,11.72
78,free,3997,302,1984.67,13.65,77.94,27487.08,10.99
109,free,1634,289,2638.61,26.44,109.00,27017.53,10.70
11,free,3444,344,301.09,0.54,42.95,29589.22,11.63
64,free,592,316,1654.66,4.88,67.08,28328.46,11.15
72,enterprise,1674,317,1812.88,1.58,62.86,28756.63,11.02
65,free,3224,309,1730.08,10.56,75.97,29185.86,10.59
158,free,3179,136,3960.12,14937.87,15029.17,27415.38,4.96
88,enterprise,2721,324,2159.25,15.74,88.64,29308.50,11.05
113,free,1742,305,2966.64,34.43,126.81,28565.21,10.68
133,pro,3917,253,3478.99,5350.89,5440.94,28355.32,8.92
63,free,1150,328,1649.40,4.87,65.29,30349.91,10.81
33,enterprise,2323,357,825.15,6.03,54.80,31464.37,11.35
140,free,1271,226,3592.24,7262.52,7358.03,28743.27,7.86
122,free,1024,318,3160.74,29.08,119.66,29245.16,10.87
191,pro,2285,82,4922.58,20608.73,20702.53,28367.51,2.89
89,free,2300,347,2162.23,12.76,85.67,31397.00,11.05
124,free,4034,319,3174.29,22.12,114.07,30402.16,10.49
150,pro,4057,193,3844.30,11746.50,11839.82,29852.70,6.47
90,free,1047,351,2165.40,9.59,82.50,31758.52,11.05
179,enterprise,2414,123,4734.89,17977.77,18072.31,29521.98,4.17
0,free,2524,400,11.67,0.00,32.24,34434.27,11.62
91,free,849,355,2195.81,1.50,73.23,32434.66,10.95
83,free,4062,345,2092.86,7.54,86.32,32718.08,10.54
170,pro,647,151,4444.74,16362.88,16457.69,30650.87,4.93
186,free,607,119,4830.89,19459.42,19550.44,30369.92,3.92
35,free,3537,377,858.66,14.35,60.91,34421.69,10.95
34,free,1079,374,831.99,4.44,49.09,34740.76,10.77
108,enterprise,3136,364,2621.43,13.25,102.72,33040.69,11.02
96,pro,2933,370,2406.43,6.12,80.17,33885.38,10.92
76,free,1668,371,1892.18,14.54,88.13,34503.33,10.75
69,free,2543,369,1792.27,13.78,86.49,34927.79,10.56
53,free,1073,379,1344.36,18.19,81.18,35663.33,10.63
162,pro,2348,187,4062.36,15825.11,15918.64,33362.86,5.61
123,pro,2990,373,3173.71,16.11,106.69,34309.47,10.87
151,free,2765,218,3848.42,12941.95,13037.90,33642.54,6.48
38,pro,2214,402,902.54,17.03,72.14,36802.02,10.92
45,free,515,410,1081.94,2.99,58.99,37643.46,10.89
200,pro,2988,127,5032.07,22598.11,22690.66,34288.18,3.70
152,pro,942,237,3861.34,13689.80,13782.43,35550.06,6.67
84,enterprise,2717,411,2111.35,15.56,85.96,37574.05,10.94
94,pro,2930,403,2324.47,12.31,96.73,38353.81,10.51
171,free,2530,208,4452.73,17126.14,17220.84,36598.39,5.68
128,free,2902,401,3289.32,1585.18,1674.99,38075.00,10.53
213,free,1242,110,5303.27,26072.22,26164.48,36152.97,3.04
205,free,1644,139,5188.32,23442.23,23535.41,36418.13,3.82
165,free,3627,234,4277.96,16082.52,16175.15,37545.07,6.23
20,pro,700,454,617.54,6.48,47.95,41268.19,11.00
102,free,626,438,2548.97,1.65,85.71,39819.61,11.00
196,pro,4073,169,4985.68,21904.95,21997.67,37447.71,4.51
190,pro,833,184,4893.42,20554.70,20648.13,37744.84,4.87
181,pro,948,211,4747.10,18541.30,18632.33,37896.69,5.57
51,free,3587,440,1237.36,1.21,63.20,41472.88,10.61
164,pro,2214,245,4217.09,16051.49,16143.39,38518.39,6.36
98,free,1186,423,2505.48,0.14,86.00,40301.07,10.50
207,free,3772,147,5200.93,24270.82,24362.24,37776.23,3.89
62,free,2595,457,1556.31,31.35,88.04,41510.89,11.01
111,enterprise,1347,431,2798.22,31.96,116.18,40310.16,10.69
93,free,742,433,2323.91,12.87,97.28,41255.65,10.50
176,pro,2428,234,4628.59,17733.41,17825.55,39247.87,5.96
197,free,1741,185,4989.30,22086.78,22179.11,39067.74,4.74
37,free,3674,471,898.21,21.36,76.47,43244.55,10.89
18,free,2474,481,541.12,1.10,41.99,43695.43,11.01
80,free,2027,445,2021.10,3.10,79.29,42339.27,10.51
183,pro,1868,228,4799.70,18668.22,18760.78,39618.41,5.75
16,free,3252,485,468.97,1.49,37.37,43954.66,11.03
129,pro,1677,422,3318.84,1716.97,1809.89,41197.58,10.24
182,free,843,224,4771.12,18687.86,18782.05,40074.68,5.59
118,free,1925,457,3076.54,29.97,113.27,41976.54,10.89
237,pro,3547,89,5866.98,30853.08,30948.95,39466.21,2.26
173,free,564,253,4530.98,17332.02,17425.74,41002.28,6.17
29,pro,1230,503,807.23,23.95,72.73,44870.26,11.21
243,free,1069,75,6070.08,32655.32,32748.23,39649.70,1.89
127,free,1992,444,3223.16,65.20,160.73,42498.72,10.45
211,pro,2563,166,5237.70,25331.82,25423.54,40537.61,4.09
23,free,1169,484,686.07,15.01,60.11,45231.23,10.70
42,pro,3437,477,1014.61,0.50,50.18,44902.69,10.62
139,free,3500,390,3543.09,6552.62,6644.16,42413.24,9.20
54,free,964,495,1391.71,25.46,84.04,44652.92,11.09
210,pro,675,179,5237.20,24745.92,24838.68,41174.31,4.35
112,free,3612,467,2887.99,26.41,113.09,43677.38,10.69
216,enterprise,2109,161,5372.87,26461.45,26552.47,41223.71,3.91
132,free,2556,398,3404.88,5152.13,5247.75,43200.37,9.21
104,free,3949,472,2561.22,23.00,103.83,44097.07,10.70
40,free,888,510,930.26,12.18,58.58,45746.12,11.15
59,free,1490,501,1458.16,17.59,78.85,45231.21,11.08
41,pro,2588,487,991.08,24.04,73.72,45907.72,10.61
232,free,3180,125,5737.57,29542.78,29635.66,41197.08,3.03
43,pro,4081,487,1035.58,29.22,84.33,45961.31,10.60
224,free,652,144,5497.65,28199.35,28292.63,41620.18,3.46
248,enterprise,727,69,6181.19,34869.93,34962.46,41304.67,1.67
180,pro,656,278,4740.47,17990.14,18082.27,43467.56,6.40
225,pro,1211,157,5615.09,28308.84,28399.98,42744.93,3.67
110,pro,2921,499,2706.02,7.35,85.96,45683.57,10.92
168,pro,654,303,4325.59,16289.64,16382.09,44064.01,6.88
235,free,716,136,5847.55,30444.26,30535.85,42812.89,3.18
66,pro,796,506,1761.34,13.79,78.49,47027.08,10.76
189,pro,1957,249,4872.57,20376.02,20470.25,44267.17,5.62
117,free,577,503,3067.34,39.17,122.48,46135.27,10.90
236,free,3848,141,5852.08,30543.42,30636.98,43687.61,3.23
135,free,2223,447,3487.28,6063.62,6153.71,46930.02,9.52
138,pro,2807,440,3536.91,6558.81,6650.34,46932.23,9.38
71,free,4053,511,1804.37,1.68,74.38,48699.26,10.49
241,free,2157,134,6019.41,31471.55,31567.98,44484.22,3.01
116,enterprise,2186,498,2975.34,45.58,133.32,47720.12,10.44
260,pro,2496,82,6550.22,36256.32,36352.91,44241.42,1.85
147,free,2320,398,3814.80,9995.68,10089.32,47219.81,8.43
153,free,2717,362,3871.88,13933.07,14023.50,47203.70,7.67
269,free,612,72,6771.15,37589.22,37686.28,44595.97,1.61
193,pro,1033,275,4928.27,21367.36,21458.37,46708.67,5.89
268,free,2092,85,6744.54,37492.01,37585.54,45409.15,1.87
265,free,3661,92,6664.08,37212.39,37302.67,45512.83,2.02
177,free,1070,329,4683.01,17877.94,17968.83,48177.56,6.83
