request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
6,free,2548,73,96.85,10.43,49.28,4777.66,15.28
13,free,593,67,391.05,2.99,28.45,4644.75,14.42
19,free,1636,72,556.00,0.26,40.96,5214.95,13.81
103,free,2982,66,2558.51,2.15,78.51,5901.57,11.18
3,free,3885,107,36.09,0.00,45.85,8520.92,12.56
31,free,3938,99,818.32,12.86,61.64,8014.51,12.35
100,free,1435,77,2535.26,15.36,99.42,6925.85,11.12
57,free,3441,95,1409.70,7.47,66.05,8140.97,11.67
77,pro,2586,87,1896.74,9.97,83.57,7881.71,11.04
30,pro,2839,110,812.24,18.93,67.71,9005.50,12.21
61,enterprise,1757,100,1528.36,4.93,59.30,8560.41,11.68
86,free,2530,90,2117.84,9.07,79.47,7970.94,11.29
79,pro,2315,94,2015.86,8.35,84.54,8824.21,10.65
75,free,3924,109,1878.87,27.84,101.44,9949.59,10.96
115,free,1352,95,2973.27,27.80,120.19,8855.18,10.73
95,free,3636,108,2334.41,2.37,86.78,10212.28,10.58
120,free,2034,109,3121.77,68.04,158.62,9956.61,10.95
12,free,1676,163,321.43,0.19,39.75,13030.76,12.51
56,free,3502,142,1408.71,8.46,67.05,12349.42,11.50
9,pro,1044,167,236.62,3.81,29.39,13525.28,12.35
22,enterprise,2100,161,638.20,0.20,41.24,13260.95,12.14
7,pro,2356,190,111.83,0.53,26.13,15315.06,12.41
60,pro,3609,156,1476.14,1.05,60.07,14042.82,11.11
44,pro,2820,171,1049.03,15.76,70.87,15677.79,10.91
248,enterprise,727,69,6181.19,4658.88,4753.61,11209.99,6.16
27,free,714,196,793.24,11.90,57.66,16685.03,11.75
97,free,855,171,2457.57,16.27,93.05,15313.76,11.17
48,free,1684,181,1102.08,17.83,77.16,16672.53,10.86
52,free,3887,193,1267.79,2.34,54.95,16856.44,11.45
81,pro,910,181,2037.39,5.58,71.58,16094.72,11.25
67,free,3976,181,1766.84,8.29,72.99,16505.46,10.97
101,free,3481,182,2537.32,13.30,97.36,16319.52,11.15
17,pro,2097,216,526.01,16.22,57.11,18748.10,11.52
15,pro,3080,220,467.41,3.05,38.93,18988.67,11.59
25,free,3086,208,696.44,4.64,49.74,18811.73,11.06
82,pro,2525,193,2052.78,1.14,76.86,17675.54,10.92
179,enterprise,2414,123,4734.89,4097.95,4187.67,15115.81,8.14
85,pro,1949,197,2113.29,13.61,84.02,17761.41,11.09
87,free,575,202,2151.31,23.68,96.59,18059.89,11.19
36,pro,1295,220,859.30,13.71,60.27,19506.86,11.28
55,enterprise,4011,217,1399.82,17.35,75.93,19082.88,11.37
10,free,3594,242,270.61,11.50,51.01,20247.93,11.95
73,free,3608,210,1814.43,0.03,61.31,18795.94,11.17
126,free,1990,183,3213.19,75.18,170.70,17545.06,10.43
1,free,957,261,12.79,0.00,16.57,21357.08,12.22
39,free,3542,233,912.56,7.01,62.12,20731.97,11.24
14,free,3203,237,406.15,8.12,55.90,21313.75,11.12
2,pro,3420,271,24.87,0.00,41.20,22426.52,12.08
105,free,3290,216,2583.58,0.64,81.47,19883.46,10.86
70,enterprise,3904,220,1795.97,10.08,82.79,20788.58,10.58
49,free,573,243,1202.70,18.27,67.43,21409.12,11.35
106,pro,538,229,2609.34,25.34,114.81,20559.16,11.14
121,free,524,221,3151.44,38.38,128.96,20196.56,10.94
24,free,1557,249,696.10,4.98,50.09,22744.44,10.95
8,enterprise,3932,261,167.61,6.06,54.16,23367.87,11.17
320,enterprise,3502,109,7905.87,5993.29,6084.87,15999.60,6.81
114,pro,3048,227,2972.82,28.26,120.64,20948.61,10.84
107,pro,745,240,2616.12,18.56,108.03,21541.44,11.14
216,enterprise,2109,161,5372.87,4405.59,4498.67,19186.86,8.39
74,pro,2529,255,1836.82,3.01,69.90,23271.03,10.96
125,free,1906,231,3190.34,6.07,98.03,22047.23,10.48
46,enterprise,3488,262,1093.00,26.90,86.23,24428.66,10.73
68,free,3252,273,1777.49,6.46,71.20,24278.00,11.24
21,free,756,297,632.18,5.47,44.16,25513.34,11.64
197,enterprise,1741,185,4989.30,4561.37,4650.38,21156.22,8.74
5,free,2336,310,70.42,5.74,40.04,26139.52,11.86
119,free,819,254,3103.80,2.71,86.02,23198.05,10.95
28,pro,2551,297,797.39,7.75,53.51,25965.25,11.44
465,enterprise,1821,84,11253.24,8020.86,8111.84,15670.67,5.36
26,free,2770,300,759.50,2.05,45.63,26186.11,11.46
58,enterprise,1483,291,1455.13,20.62,81.87,25789.37,11.28
47,free,757,282,1096.11,23.80,83.13,26313.81,10.72
50,pro,2167,296,1203.24,17.72,66.89,26292.84,11.26
92,free,3112,282,2206.72,41.17,116.48,25312.41,11.14
99,pro,1045,283,2521.65,28.97,113.03,25452.61,11.12
32,free,1581,317,821.26,9.91,58.69,27608.22,11.48
4,free,2128,337,67.24,8.92,43.22,28621.96,11.77
109,free,1634,289,2638.61,26.44,109.00,26568.93,10.88
78,free,3997,302,1984.67,13.65,77.94,27350.41,11.04
330,enterprise,2319,155,8064.26,7454.70,7546.33,21604.02,7.17
11,free,3444,344,301.09,0.54,42.95,29403.62,11.70
64,pro,592,316,1654.66,4.88,67.08,28140.56,11.23
72,free,1674,317,1812.88,1.58,62.86,28619.62,11.08
65,free,3224,309,1730.08,10.56,75.97,29184.51,10.59
113,free,1742,305,2966.64,34.43,126.81,28079.54,10.86
88,enterprise,2721,324,2159.25,15.74,88.64,29087.65,11.14
63,free,1150,328,1649.40,4.87,65.29,29858.25,10.99
690,enterprise,2671,88,16858.43,6677.05,6771.52,15003.25,5.87
33,free,2323,357,825.15,6.03,54.80,31240.34,11.43
122,free,1024,318,3160.74,29.08,119.66,29102.08,10.93
635,enterprise,3687,108,15360.62,7251.20,7343.19,17176.88,6.29
587,enterprise,1964,123,14334.89,7034.99,7126.53,18290.94,6.72
758,enterprise,2595,94,18453.56,6106.16,6197.49,14730.94,6.38
89,free,2300,347,2162.23,12.76,85.67,31174.98,11.13
565,enterprise,585,142,13789.35,6693.35,6782.73,19547.86,7.26
332,enterprise,1867,175,8082.77,8644.06,8738.94,25298.26,6.92
124,free,4034,319,3174.29,22.12,114.07,30397.36,10.49
90,free,1047,351,2165.40,9.59,82.50,31537.44,11.13
222,enterprise,3898,268,5473.85,4343.89,4433.23,28503.00,9.40
0,free,2524,400,11.67,0.00,32.24,34256.30,11.68
881,enterprise,3782,80,21904.15,5041.46,5133.18,12363.82,6.47
91,free,849,355,2195.81,1.50,73.23,32252.73,11.01
35,free,3537,377,858.66,14.35,60.91,33904.78,11.12
83,free,4062,345,2092.86,7.54,86.32,32704.03,10.55
321,enterprise,884,217,7922.49,7504.40,7596.47,27393.57,7.92
108,free,3136,364,2621.43,13.25,102.72,32813.08,11.09
34,pro,1079,374,831.99,4.44,49.09,34713.60,10.77
807,enterprise,3817,105,19848.70,6296.82,6388.35,15859.79,6.62
76,free,1668,371,1892.18,14.54,88.13,33976.53,10.92
96,free,2933,370,2406.43,6.12,80.17,33684.24,10.98
672,enterprise,3369,139,16400.57,6947.42,7040.31,19690.10,7.06
996,enterprise,1348,71,24835.55,4959.67,5050.32,11420.23,6.22
69,free,2543,369,1792.27,13.78,86.49,34879.99,10.58
53,free,1073,379,1344.36,18.19,81.18,35609.75,10.64
317,enterprise,1029,258,7890.46,5867.67,5956.63,29189.64,8.84
38,pro,2214,402,902.54,17.03,72.14,36265.19,11.09
123,pro,2990,373,3173.71,16.11,106.69,34099.71,10.94
582,enterprise,1821,181,14273.64,6484.61,6580.73,23622.90,7.66
45,free,515,410,1081.94,2.99,58.99,37112.58,11.05
1033,enterprise,3143,74,25861.90,5999.78,6094.66,12975.27,5.70
777,enterprise,610,152,19025.81,6082.04,6172.75,20108.15,7.56
84,enterprise,2717,411,2111.35,15.56,85.96,37331.53,11.01
957,enterprise,3717,125,23808.07,4881.13,4973.37,16269.95,7.68
949,enterprise,1228,137,23715.53,4258.73,4349.75,16754.21,8.18
94,pro,2930,403,2324.47,12.31,96.73,38202.00,10.55
930,enterprise,2258,148,23269.99,4226.10,4317.82,17716.43,8.35
285,enterprise,3363,301,7108.77,5437.92,5532.70,33982.80,8.86
951,enterprise,1728,142,23737.49,4692.00,4783.02,17654.66,8.04
20,pro,700,454,617.54,6.48,47.95,40780.46,11.13
1264,enterprise,3425,64,31784.25,3924.23,4015.42,9791.66,6.54
988,enterprise,1695,132,24607.99,5096.72,5187.23,17150.41,7.70
363,enterprise,2958,256,8627.24,9147.37,9243.59,33402.29,7.66
1206,enterprise,1953,77,30242.71,4554.18,4647.73,11786.81,6.53
102,free,626,438,2548.97,1.65,85.71,39574.74,11.07
51,free,3587,440,1237.36,1.21,63.20,41264.62,10.66
98,pro,1186,423,2505.48,0.14,86.00,40090.37,10.55
111,pro,1347,431,2798.22,31.96,116.18,39840.18,10.82
683,enterprise,1105,205,16660.33,6780.21,6875.15,26123.96,7.85
62,free,2595,457,1556.31,31.35,88.04,41255.60,11.08
93,free,742,433,2323.91,12.87,97.28,41030.45,10.55
708,enterprise,770,215,17289.14,6616.32,6708.38,26252.74,8.19
37,free,3674,471,898.21,21.36,76.47,42798.98,11.00
18,free,2474,481,541.12,1.10,41.99,43251.64,11.12
524,enterprise,1859,260,12774.65,7436.55,7527.04,31084.01,8.36
784,enterprise,2247,198,19235.38,6002.18,6096.87,24694.78,8.02
16,free,3252,485,468.97,1.49,37.37,43514.74,11.15
80,free,2027,445,2021.10,3.10,79.29,42100.92,10.57
510,enterprise,1580,269,12457.34,7393.36,7483.47,31856.28,8.44
526,enterprise,1633,261,12859.53,7506.63,7597.83,31696.43,8.23
118,free,1925,457,3076.54,29.97,113.27,41757.57,10.94
185,enterprise,777,392,4813.97,4647.14,4736.70,40135.32,9.77
1399,enterprise,2089,65,34855.01,3982.15,4075.92,10128.90,6.42
1133,enterprise,1047,124,28415.29,5287.56,5378.88,16625.14,7.46
334,enterprise,3662,293,8115.49,9275.69,9371.53,37059.39,7.91
135,enterprise,2223,447,3487.28,1387.23,1476.83,41828.27,10.69
29,pro,1230,503,807.23,23.95,72.73,44599.97,11.28
622,enterprise,1534,247,15118.31,7348.73,7439.55,30299.53,8.15
127,free,1992,444,3223.16,65.20,160.73,42237.06,10.51
23,free,1169,484,686.07,15.01,60.11,44964.06,10.76
42,pro,3437,477,1014.61,0.50,50.18,44635.52,10.69
54,free,964,495,1391.71,25.46,84.04,44384.11,11.15
112,free,3612,467,2887.99,26.41,113.09,43295.00,10.79
104,free,3949,472,2561.22,23.00,103.83,43717.02,10.80
1092,enterprise,1575,139,27325.99,5858.52,5951.31,18952.26,7.33
302,enterprise,3737,364,7521.40,5556.98,5648.25,38879.02,9.36
59,free,1490,501,1458.16,17.59,78.85,44965.93,11.14
1082,enterprise,1574,147,27207.85,5417.99,5511.07,19261.22,7.63
40,free,888,510,930.26,12.18,58.58,45561.55,11.19
41,pro,2588,487,991.08,24.04,73.72,45613.59,10.68
43,pro,4081,487,1035.58,29.22,84.33,45664.72,10.66
610,enterprise,2839,265,14800.88,6919.02,7015.05,31994.04,8.28
1304,enterprise,2880,113,32635.65,4036.60,4130.54,14723.18,7.67
1002,enterprise,1684,188,24934.25,5498.25,5589.67,22656.21,8.30
318,enterprise,1964,365,7890.55,5871.35,5963.77,39723.43,9.19
787,enterprise,2463,234,19315.10,6206.56,6300.88,28324.77,8.26
1345,enterprise,615,117,33776.93,3303.18,3394.61,14034.30,8.34
149,enterprise,606,432,3837.74,4622.34,4712.74,44118.29,9.79
641,enterprise,1347,273,15497.97,7670.53,7760.39,32593.37,8.38
110,pro,2921,499,2706.02,7.35,85.96,45526.02,10.96
145,enterprise,2322,470,3794.26,1976.69,2066.58,44578.22,10.54
223,enterprise,2521,419,5496.59,4592.19,4682.62,42918.25,9.76
66,pro,796,506,1761.34,13.79,78.49,46712.79,10.83
1558,enterprise,3303,72,38873.91,3155.62,3250.09,9987.59,7.21
1109,enterprise,2241,171,27884.30,5452.91,5544.30,21141.96,8.09
117,free,577,503,3067.34,39.17,122.48,45989.27,10.94
1029,enterprise,4056,190,25796.27,5711.37,5804.50,23641.96,8.04
313,enterprise,1334,397,7774.29,5577.90,5669.04,41924.84,9.47
