request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
6,free,2548,73,96.85,10.43,49.28,4777.66,15.28
13,free,593,67,391.05,2.99,28.45,4644.75,14.42
19,pro,1636,72,556.00,0.26,40.96,5218.83,13.80
103,enterprise,2982,66,2558.51,2.15,78.51,5920.49,11.15
3,free,3885,107,36.09,0.00,45.85,8502.62,12.58
31,free,3938,99,818.32,12.86,61.64,8048.58,12.30
100,free,1435,77,2535.26,15.36,99.42,6969.09,11.05
57,enterprise,3441,95,1409.70,7.47,66.05,8186.15,11.60
77,pro,2586,87,1896.74,9.97,83.57,7900.45,11.01
30,pro,2839,110,812.24,18.93,67.71,9057.21,12.15
61,enterprise,1757,100,1528.36,4.93,59.30,8585.89,11.65
86,free,2530,90,2117.84,9.07,79.47,7996.42,11.26
79,pro,2315,94,2015.86,8.35,84.54,8798.20,10.68
175,free,3465,68,4596.76,277.75,367.74,6452.59,10.54
75,free,3924,109,1878.87,27.84,101.44,9969.26,10.93
115,free,1352,95,2973.27,27.80,120.19,8874.86,10.70
95,free,3636,108,2334.41,2.37,86.78,10187.05,10.60
191,free,2285,82,4922.58,113.23,206.34,7755.17,10.57
120,free,2034,109,3121.77,68.04,158.95,9992.83,10.91
12,free,1676,163,321.43,0.19,39.75,13066.17,12.47
9,pro,1044,167,236.62,3.81,29.39,13549.02,12.33
56,free,3502,142,1408.71,8.46,67.05,12457.09,11.40
22,enterprise,2100,161,638.20,0.20,41.24,13296.60,12.11
163,pro,3921,92,4072.15,1702.68,1793.46,10064.89,9.14
248,enterprise,727,69,6181.19,2297.81,2388.57,8574.63,8.05
269,free,612,72,6771.15,1767.56,1862.25,8598.69,8.37
281,free,3765,72,6971.80,1895.10,1986.13,8422.05,8.55
7,pro,2356,190,111.83,0.53,26.13,15347.81,12.38
60,pro,3609,156,1476.14,1.05,60.07,14076.90,11.08
315,free,2817,73,7805.03,1699.32,1790.83,8300.83,8.79
352,pro,2475,74,8411.17,1184.68,1275.87,7872.46,9.40
44,pro,2820,171,1049.03,15.76,70.87,15662.13,10.92
290,free,1289,76,7211.99,2657.46,2748.16,9517.99,7.98
243,free,1069,75,6070.08,3727.12,3820.24,10689.59,7.02
439,free,1897,64,10650.43,163.63,258.40,6251.34,10.24
416,free,1787,76,10104.37,9.88,100.64,6958.84,10.92
364,free,2105,79,8680.09,1434.16,1524.92,8660.00,9.12
431,pro,3124,71,10409.19,640.16,730.86,7038.85,10.09
27,free,714,196,793.24,11.90,57.66,16732.29,11.71
48,free,1684,181,1102.08,17.83,77.16,16659.93,10.86
97,free,855,171,2457.57,16.27,93.05,15437.87,11.08
52,free,3887,193,1267.79,2.34,54.95,16907.48,11.42
81,pro,910,181,2037.39,5.58,71.58,16217.38,11.16
67,free,3976,181,1766.84,8.29,72.99,16578.73,10.92
461,free,682,71,11142.49,705.65,797.79,7296.19,9.73
480,free,958,76,11626.91,221.22,313.36,7282.47,10.44
101,free,3481,182,2537.32,13.30,97.36,16441.27,11.07
17,pro,2097,216,526.01,16.22,57.11,18856.76,11.45
25,free,3086,208,696.44,4.64,49.74,18798.61,11.06
15,pro,3080,220,467.41,3.05,38.93,19105.38,11.52
82,pro,2525,193,2052.78,1.14,76.86,17803.15,10.84
85,pro,1949,197,2113.29,13.61,84.02,17826.71,11.05
504,free,3264,79,12280.12,241.34,336.14,7791.76,10.14
260,pro,2496,82,6550.22,6127.53,6219.80,13774.67,5.95
87,free,575,202,2151.31,23.68,96.59,18186.57,11.11
36,pro,1295,220,859.30,13.71,60.27,19652.50,11.19
560,free,2890,72,13630.63,155.02,247.93,6881.17,10.46
10,free,3594,242,270.61,11.50,51.01,20318.83,11.91
55,enterprise,4011,217,1399.82,17.35,75.93,19210.02,11.30
73,free,3608,210,1814.43,0.03,61.31,18867.83,11.13
126,free,1990,183,3213.19,74.83,170.03,17529.98,10.44
549,enterprise,1696,77,13396.27,469.53,559.93,7394.74,10.41
465,enterprise,1821,84,11253.24,1861.36,1952.35,9613.93,8.74
497,free,2343,84,12085.60,1302.00,1393.17,9060.39,9.27
1,free,957,261,12.79,0.00,16.57,21536.39,12.12
14,free,3203,237,406.15,8.12,55.90,21292.75,11.13
268,free,2092,85,6744.54,7190.26,7281.45,15053.31,5.65
39,free,3542,233,912.56,7.01,62.12,20921.31,11.14
368,free,1688,86,8782.75,5354.29,5443.99,13098.96,6.57
642,free,2368,71,15557.83,548.03,636.91,6958.13,10.20
70,pro,3904,220,1795.97,10.08,82.79,20764.17,10.60
2,free,3420,271,24.87,0.00,41.20,22581.30,12.00
605,pro,1013,80,14762.97,630.88,719.85,7843.19,10.20
105,free,3290,216,2583.58,0.64,81.47,20101.55,10.75
49,free,573,243,1202.70,18.27,67.43,21531.94,11.29
618,enterprise,2741,77,14974.71,395.13,490.88,7776.72,9.90
505,enterprise,3681,87,12286.21,2469.61,2561.79,10543.00,8.25
106,pro,538,229,2609.34,25.34,114.81,20714.90,11.05
24,free,1557,249,696.10,4.98,50.09,22722.68,10.96
121,free,524,221,3151.44,38.38,129.28,20334.14,10.87
8,pro,3932,261,167.61,6.06,54.16,23347.08,11.18
237,pro,3547,89,5866.98,9592.66,9686.07,17949.14,4.96
636,pro,1654,89,15399.01,154.03,246.79,8511.25,10.46
114,free,3048,227,2972.82,28.26,120.64,21219.15,10.70
107,pro,745,240,2616.12,18.56,108.03,21698.72,11.06
706,free,3456,75,17237.46,102.63,195.34,7093.38,10.57
715,free,1090,75,17451.73,73.79,166.58,7066.57,10.61
265,free,3661,92,6664.08,9619.56,9708.81,17921.42,5.13
723,free,3668,72,17563.24,198.77,294.97,7096.39,10.15
682,pro,1123,85,16635.61,75.55,170.85,8213.53,10.35
732,pro,2005,79,17733.26,162.18,252.00,7303.47,10.82
350,free,2715,93,8394.48,8335.50,8425.23,16733.12,5.56
125,free,1906,231,3190.34,6.07,97.68,22038.12,10.48
690,enterprise,2671,88,16858.43,43.34,138.88,8464.96,10.40
738,pro,3859,77,17963.59,211.68,304.47,7399.10,10.41
74,free,2529,255,1836.82,3.01,69.90,23568.66,10.82
512,pro,2171,93,12493.58,4266.09,4359.30,13005.36,7.15
46,enterprise,3488,262,1093.00,26.90,86.23,24420.99,10.73
746,pro,2964,82,18217.74,37.02,127.47,7456.20,11.00
288,pro,1417,94,7173.50,9889.70,9981.99,18656.48,5.04
489,free,2106,96,11888.48,5559.55,5649.01,14239.93,6.74
68,free,3252,273,1777.49,6.46,71.20,24442.27,11.17
21,free,756,297,632.18,5.47,44.16,25678.53,11.57
5,free,2336,310,70.42,5.74,40.04,26323.53,11.78
119,free,819,254,3103.80,2.71,86.02,23384.54,10.86
836,free,2533,64,20775.08,15.93,106.76,5810.50,11.01
745,free,3285,91,18200.75,144.82,237.93,8701.77,10.46
28,pro,2551,297,797.39,7.75,53.51,26163.22,11.35
26,free,2770,300,759.50,2.05,45.63,26390.70,11.37
831,pro,2567,70,20627.06,55.21,147.66,6617.18,10.58
58,enterprise,1483,291,1455.13,20.62,81.87,25954.72,11.21
47,free,757,282,1096.11,23.80,83.13,26315.16,10.72
419,free,3967,97,10150.13,8288.55,8382.67,17402.43,5.57
92,free,3112,282,2206.72,41.17,116.48,25477.93,11.07
50,pro,2167,296,1203.24,17.72,66.89,26513.04,11.16
758,free,2595,94,18453.56,455.82,550.47,9283.30,10.13
816,free,1390,79,20228.47,96.42,189.87,7508.39,10.52
452,free,3749,98,10969.13,8009.46,8100.01,16898.93,5.80
99,pro,1045,283,2521.65,28.97,113.03,25618.79,11.05
832,free,864,79,20638.23,104.94,200.46,7635.31,10.35
794,pro,2457,93,19461.75,33.31,129.42,8908.39,10.44
698,pro,3261,98,17035.69,2347.08,2442.08,11524.19,8.50
32,free,1581,317,821.26,9.91,58.69,27777.48,11.41
854,free,2880,77,21182.62,366.56,461.45,7558.59,10.19
400,pro,1210,99,9620.51,9952.28,10046.66,19211.50,5.15
4,pro,2128,337,67.24,8.92,43.22,28882.48,11.67
595,pro,704,101,14544.62,5311.32,5405.09,14740.43,6.85
109,pro,1634,289,2638.61,26.44,109.00,26918.83,10.74
78,free,3997,302,1984.67,13.65,77.94,27632.67,10.93
707,free,1398,103,17280.16,2659.84,2752.59,12337.18,8.35
747,free,602,103,18217.93,2119.94,2210.59,11480.71,8.97
888,pro,1049,79,22149.87,366.09,456.30,7548.78,10.47
11,free,3444,344,301.09,0.54,42.95,29581.49,11.63
735,pro,2361,103,17864.50,2207.39,2303.26,12049.54,8.55
64,free,592,316,1654.66,4.88,67.08,28319.70,11.16
942,free,2383,68,23493.15,21.53,116.89,6517.65,10.43
752,free,3177,103,18318.09,2193.71,2287.97,11784.26,8.74
881,enterprise,3782,80,21904.15,655.99,751.63,8299.94,9.64
694,free,3922,106,16954.69,3655.15,3745.73,13296.01,7.97
807,pro,3817,105,19848.70,663.10,757.36,10434.50,10.06
841,free,2847,98,20916.43,229.57,322.66,9460.44,10.36
857,free,3524,92,21236.33,462.56,558.21,9255.45,9.94
606,pro,3877,106,14783.94,5805.49,5898.32,15782.21,6.72
72,free,1674,317,1812.88,1.58,62.86,28940.64,10.95
65,free,3224,309,1730.08,10.56,75.97,29240.34,10.57
591,pro,3384,108,14385.21,6481.96,6574.89,16649.34,6.49
896,free,1973,94,22359.14,247.03,336.75,8806.88,10.67
905,free,2097,92,22606.79,78.34,172.53,8578.91,10.72
955,free,3092,81,23749.43,66.70,160.84,7526.12,10.76
113,free,1742,305,2966.64,34.43,126.81,28398.90,10.74
88,enterprise,2721,324,2159.25,15.74,88.64,29280.77,11.07
1009,pro,2396,66,25172.66,55.80,150.74,6373.28,10.36
996,enterprise,1348,71,24835.55,13.59,108.40,6806.19,10.43
779,enterprise,557,108,19096.98,2784.73,2875.30,12617.28,8.56
63,free,1150,328,1649.40,4.87,65.29,30168.18,10.87
681,free,2584,108,16635.05,5198.82,5293.36,15182.52,7.11
901,free,1218,102,22549.59,56.57,146.30,9347.67,10.91
635,free,3687,108,15360.62,6437.24,6530.87,16612.90,6.50
1013,pro,3875,72,25320.00,3.39,98.68,6896.68,10.44
33,free,2323,357,825.15,6.03,54.80,31439.59,11.36
1010,pro,2558,74,25289.27,73.42,166.86,7056.06,10.49
122,free,1024,318,3160.74,29.08,119.98,29463.83,10.79
1035,free,3564,71,25977.21,151.20,242.55,6655.65,10.67
1020,pro,2370,78,25436.40,62.53,156.04,7200.00,10.83
124,free,4034,319,3174.29,15.52,106.43,29543.64,10.80
923,pro,1410,104,23130.32,193.92,283.92,9686.92,10.74
1042,free,2222,72,26143.40,76.36,167.31,6673.84,10.79
320,enterprise,3502,109,7905.87,14828.78,14923.35,25089.70,4.34
974,pro,2770,92,24319.35,11.49,105.22,8676.22,10.60
938,free,3523,101,23415.05,3.72,99.63,9660.84,10.45
1033,free,3143,74,25861.90,448.81,540.42,7233.80,10.23
773,pro,1693,109,18941.02,3810.40,3905.71,14229.91,7.66
141,pro,1057,110,3632.52,19196.70,19290.44,29546.68,3.72
916,free,973,105,22911.65,573.93,667.81,10452.48,10.05
1076,free,610,67,27097.78,52.42,146.46,6359.36,10.54
89,free,2300,347,2162.23,12.76,85.67,31395.81,11.05
976,free,1262,97,24384.79,133.51,227.29,9260.17,10.47
937,free,904,107,23400.29,509.97,603.86,10325.93,10.36
90,free,1047,351,2165.40,9.59,82.50,31764.11,11.05
213,free,1242,110,5303.27,18888.70,18981.98,28969.81,3.80
518,free,1285,110,12669.34,11645.51,11735.72,21725.94,5.06
1099,free,1651,76,27521.31,31.25,123.40,6934.71,10.96
1041,pro,3778,86,26135.42,258.54,352.92,8358.53,10.29
848,free,3713,110,21115.98,3469.52,3559.74,13558.39,8.11
997,free,3961,105,24845.22,191.51,282.38,9829.16,10.68
0,free,2524,400,11.67,0.00,32.24,34669.93,11.54
91,free,849,355,2195.81,1.50,73.23,32673.97,10.86
83,enterprise,4062,345,2092.86,7.54,86.32,32786.18,10.52
1023,pro,2340,101,25625.00,48.95,139.82,9323.69,10.83
1125,pro,3322,70,28223.38,50.15,146.75,6750.48,10.37
35,free,3537,377,858.66,14.35,60.91,34149.81,11.04
1148,free,3726,65,28887.60,62.12,157.46,6170.96,10.53
