request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
6,free,2548,73,96.85,10.43,49.28,4777.66,15.28
13,free,593,67,391.05,2.99,28.45,4650.49,14.41
19,pro,1636,72,556.00,0.26,40.96,5214.95,13.81
103,enterprise,2982,66,2558.51,2.15,78.51,5901.57,11.18
3,free,3885,107,36.09,0.00,45.85,8505.71,12.58
31,free,3938,99,818.32,12.86,61.64,8001.63,12.37
100,pro,1435,77,2535.26,15.36,99.42,6909.64,11.14
57,enterprise,3441,95,1409.70,7.47,66.05,8125.26,11.69
30,pro,2839,110,812.24,18.93,67.71,8992.02,12.23
77,pro,2586,87,1896.74,9.97,83.57,7937.11,10.96
61,enterprise,1757,100,1528.36,4.93,59.30,8570.58,11.67
86,free,2530,90,2117.84,9.07,79.47,7981.11,11.28
79,free,2315,94,2015.86,8.35,84.54,8804.09,10.68
75,pro,3924,109,1878.87,27.84,101.44,10016.90,10.88
115,free,1352,95,2973.27,47.65,135.09,9080.48,10.46
95,free,3636,108,2334.41,2.37,86.78,10194.08,10.59
120,free,2034,109,3121.77,68.04,158.62,9956.70,10.95
12,free,1676,163,321.43,0.19,39.75,13027.40,12.51
56,free,3502,142,1408.71,8.46,67.05,12335.66,11.51
9,pro,1044,167,236.62,3.81,29.39,13627.47,12.25
22,pro,2100,161,638.20,0.20,41.24,13254.74,12.15
7,pro,2356,190,111.83,0.53,26.13,15446.59,12.30
60,pro,3609,156,1476.14,1.05,60.07,14176.80,11.00
248,enterprise,727,69,6181.19,3652.66,3746.28,10130.15,6.81
44,pro,2820,171,1049.03,15.76,70.87,15634.83,10.94
27,pro,714,196,793.24,11.90,57.66,16639.58,11.78
48,free,1684,181,1102.08,17.83,77.16,16622.27,10.89
97,free,855,171,2457.57,16.27,93.05,15297.66,11.18
52,free,3887,193,1267.79,2.34,54.95,16804.16,11.49
81,pro,910,181,2037.39,5.58,71.58,16075.56,11.26
67,free,3976,181,1766.84,8.29,72.99,16720.74,10.82
101,free,3481,182,2537.32,13.30,97.36,16291.93,11.17
290,enterprise,1289,76,7211.99,4841.76,4936.69,12034.91,6.31
25,pro,3086,208,696.44,4.64,49.74,18741.25,11.10
17,pro,2097,216,526.01,16.22,57.11,18994.23,11.37
179,enterprise,2414,123,4734.89,3725.19,3816.15,14878.00,8.27
15,free,3080,220,467.41,3.05,38.93,19240.54,11.43
85,pro,1949,197,2113.29,13.61,84.02,17681.40,11.14
82,pro,2525,193,2052.78,1.14,76.86,17937.17,10.76
87,pro,575,202,2151.31,23.68,96.59,18008.84,11.22
55,enterprise,4011,217,1399.82,17.35,75.93,19027.41,11.40
10,pro,3594,242,270.61,11.50,51.01,20158.65,12.00
73,free,3608,210,1814.43,0.03,61.31,18705.16,11.23
36,pro,1295,220,859.30,13.71,60.27,19789.07,11.12
126,free,1990,183,3213.19,74.31,169.57,17460.18,10.48
14,free,3203,237,406.15,8.12,55.90,21222.88,11.17
1,free,957,261,12.79,0.00,16.57,21674.89,12.04
39,free,3542,233,912.56,7.01,62.12,21060.30,11.06
2,free,3420,271,24.87,0.00,41.20,22348.26,12.13
70,enterprise,3904,220,1795.97,10.08,82.79,20687.21,10.63
49,free,573,243,1202.70,18.27,67.43,21303.46,11.41
105,pro,3290,216,2583.58,0.64,81.47,20236.90,10.67
106,pro,538,229,2609.34,25.34,114.81,20465.48,11.19
216,enterprise,2109,161,5372.87,3447.08,3536.33,17789.66,9.05
121,free,524,221,3151.44,38.38,128.96,20081.90,11.00
320,enterprise,3502,109,7905.87,5442.97,5533.63,15327.47,7.11
439,enterprise,1897,64,10650.43,6782.39,6873.67,12582.91,5.09
24,free,1557,249,696.10,4.98,50.09,22632.06,11.00
8,enterprise,3932,261,167.61,6.06,54.16,23254.11,11.22
107,pro,745,240,2616.12,18.56,108.03,21426.95,11.20
114,free,3048,227,2972.82,28.26,120.90,21358.10,10.63
125,free,1906,231,3190.34,5.48,97.15,21913.98,10.54
46,free,3488,262,1093.00,26.90,86.23,24292.18,10.79
266,enterprise,1768,155,6720.24,4099.71,4194.56,18757.92,8.26
74,pro,2529,255,1836.82,3.01,69.90,23714.43,10.75
68,free,3252,273,1777.49,6.46,71.20,24120.72,11.32
21,free,756,297,632.18,5.47,44.16,25353.81,11.71
5,pro,2336,310,70.42,5.74,40.04,26029.61,11.91
119,enterprise,819,254,3103.80,2.71,86.02,23088.56,11.00
28,free,2551,297,797.39,7.75,53.51,25857.76,11.49
26,free,2770,300,759.50,2.05,45.63,26080.77,11.50
58,free,1483,291,1455.13,20.62,81.87,25585.69,11.37
618,enterprise,2741,77,14974.71,5015.24,5109.27,12270.76,6.28
47,free,757,282,1096.11,23.80,83.13,26159.84,10.78
92,free,3112,282,2206.72,41.17,116.48,25097.92,11.24
50,pro,2167,296,1203.24,17.72,66.89,26192.69,11.30
99,free,1045,283,2521.65,28.97,113.03,25223.93,11.22
32,free,1581,317,821.26,9.91,58.69,27366.45,11.58
4,enterprise,2128,337,67.24,8.92,43.22,28536.63,11.81
78,free,3997,302,1984.67,13.65,77.94,27269.09,11.07
11,free,3444,344,301.09,0.54,42.95,29122.52,11.81
64,pro,592,316,1654.66,4.88,67.08,27856.81,11.34
109,pro,1634,289,2638.61,26.44,109.00,27153.24,10.64
332,enterprise,1867,175,8082.77,5781.32,5875.37,22274.30,7.86
72,pro,1674,317,1812.88,1.58,62.86,28550.02,11.10
881,enterprise,3782,80,21904.15,1329.19,1421.51,8736.74,9.16
65,free,3224,309,1730.08,10.56,75.97,29024.15,10.65
681,enterprise,2584,108,16635.05,4013.31,4107.75,14194.99,7.61
88,enterprise,2721,324,2159.25,15.74,88.64,28769.41,11.26
587,enterprise,1964,123,14334.89,5102.80,5197.79,16702.32,7.36
113,free,1742,305,2966.64,34.43,127.08,28718.77,10.62
33,enterprise,2323,357,825.15,6.03,54.80,30898.59,11.55
63,free,1150,328,1649.40,4.87,65.29,30510.41,10.75
122,free,1024,318,3160.74,29.08,119.66,29052.93,10.95
807,enterprise,3817,105,19848.70,2971.78,3066.11,12885.27,8.15
