request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
13,free,593,67,312.84,16.52,48.68,4885.75,13.71
6,free,2548,73,77.48,24.83,64.48,5364.41,13.61
19,free,1636,72,444.80,64.14,107.23,5794.71,12.43
3,free,3885,107,28.87,0.00,45.85,7992.27,13.39
103,enterprise,2982,66,2046.80,57.58,150.11,6177.39,10.68
100,free,1435,77,2028.21,13.59,81.24,6882.84,11.19
31,free,3938,99,654.65,3.73,50.11,8476.85,11.68
77,free,2586,87,1517.39,25.47,106.15,8065.18,10.79
86,free,2530,90,1694.27,33.61,96.37,7915.28,11.37
57,free,3441,95,1127.76,52.47,113.58,8533.29,11.13
61,enterprise,1757,100,1222.69,23.34,86.61,8842.88,11.31
30,pro,2839,110,649.79,8.59,54.97,9440.75,11.65
79,pro,2315,94,1612.69,10.85,98.15,8701.73,10.80
115,free,1352,95,2378.62,7.77,89.05,8510.35,11.16
75,pro,3924,109,1503.10,39.77,120.44,10065.78,10.83
95,free,3636,108,1867.53,105.27,197.26,10049.97,10.75
120,free,2034,109,2497.42,51.55,142.46,9731.26,11.20
56,pro,3502,142,1126.97,53.27,114.38,12487.28,11.37
22,pro,2100,161,510.56,63.07,111.32,13111.23,12.28
12,pro,1676,163,257.14,72.22,104.38,13611.12,11.98
9,free,1044,167,189.30,54.94,99.03,14093.74,11.85
60,pro,3609,156,1180.91,65.12,128.39,13898.24,11.22
7,pro,2356,190,89.46,12.84,52.50,15486.41,12.27
44,pro,2820,171,839.23,54.58,108.25,15110.57,11.32
48,free,1684,181,881.66,12.15,65.81,15880.38,11.40
97,free,855,171,1966.05,54.29,138.33,14967.08,11.43
67,free,3976,181,1413.47,11.26,78.81,15676.55,11.55
25,free,3086,208,557.15,16.48,64.73,16838.01,12.35
101,free,3481,182,2029.86,11.94,79.59,15521.62,11.73
27,pro,714,196,634.59,3.64,52.21,16944.75,11.57
17,pro,2097,216,420.81,19.01,63.61,17357.52,12.44
81,pro,910,181,1629.91,59.24,130.81,16204.35,11.17
15,pro,3080,220,373.93,22.03,65.89,17625.28,12.48
52,free,3887,193,1014.23,106.44,174.99,17021.08,11.34
85,pro,1949,197,1690.63,37.24,100.01,16593.33,11.87
87,free,575,202,1721.05,6.83,69.59,16909.27,11.95
82,pro,2525,193,1642.23,46.93,118.50,17195.60,11.22
126,free,1990,183,2570.55,62.27,154.56,16430.65,11.14
36,free,1295,220,687.44,17.32,70.11,18374.06,11.97
73,free,3608,210,1451.55,40.74,114.51,17907.22,11.73
70,enterprise,3904,220,1436.78,6.89,63.71,18078.68,12.17
14,free,3203,237,324.92,4.45,36.61,19483.75,12.16
55,free,4011,217,1119.86,0.81,69.36,18763.59,11.56
24,free,1557,249,556.88,16.76,65.01,19676.39,12.65
105,pro,3290,216,2066.86,37.52,130.05,18296.14,11.81
1,free,957,261,10.23,0.00,16.57,20521.11,12.72
10,pro,3594,242,216.49,27.75,71.84,20384.67,11.87
121,pro,524,221,2521.15,27.82,118.73,18157.19,12.17
39,enterprise,3542,233,730.05,5.33,62.03,20026.35,11.63
114,pro,3048,227,2378.25,8.13,89.42,18550.21,12.24
106,pro,538,229,2087.47,16.91,109.45,19176.21,11.94
2,free,3420,271,19.89,0.00,41.20,21448.08,12.64
49,free,573,243,962.16,38.99,98.74,20628.57,11.78
8,enterprise,3932,261,134.09,68.84,110.15,21825.57,11.96
74,pro,2529,255,1469.45,22.83,96.60,20980.44,12.15
119,free,819,254,2483.04,65.93,156.84,20188.90,12.58
125,free,1906,231,2552.27,80.55,172.84,20133.27,11.47
46,enterprise,3488,262,874.40,19.41,73.07,21898.91,11.96
107,free,745,240,2092.89,49.22,130.98,20805.25,11.54
68,free,3252,273,1421.99,2.73,70.29,22104.45,12.35
5,free,2336,310,56.33,45.97,85.62,24016.42,12.91
47,pro,757,282,876.89,16.92,70.59,23237.88,12.14
58,free,1483,291,1164.11,16.13,77.24,23201.04,12.54
92,enterprise,3112,282,1765.38,95.85,175.40,22658.32,12.45
99,free,1045,283,2017.32,3.02,87.07,22580.51,12.53
21,free,756,297,505.75,3.19,46.28,24488.70,12.13
50,pro,2167,296,962.60,38.55,98.31,24208.46,12.23
28,pro,2551,297,637.91,0.31,48.88,24563.41,12.09
32,free,1581,317,657.01,1.37,47.75,24657.68,12.86
26,enterprise,2770,300,607.60,30.62,79.19,24794.60,12.10
113,free,1742,305,2373.31,13.07,94.36,23266.47,13.11
4,pro,2128,337,53.79,6.18,30.62,25823.26,13.05
78,enterprise,3997,302,1587.74,35.80,123.10,24538.48,12.31
88,pro,2721,324,1727.40,0.47,63.24,24461.09,13.25
72,enterprise,1674,317,1450.31,41.98,115.74,24770.22,12.80
109,pro,1634,289,2110.89,31.22,112.98,24134.60,11.97
65,free,3224,309,1384.06,10.87,84.83,24990.43,12.36
122,free,1024,318,2528.59,20.38,111.29,24018.70,13.24
64,free,592,316,1323.73,71.20,145.16,25475.73,12.40
63,pro,1150,328,1319.52,75.41,149.37,26213.40,12.51
11,free,3444,344,240.87,3.37,47.46,27457.27,12.53
33,free,2323,357,660.12,44.65,97.44,27149.12,13.15
69,free,2543,369,1433.81,9.85,66.67,27147.40,13.59
124,free,4034,319,2539.43,93.39,185.68,26076.26,12.23
34,free,1079,374,665.59,39.18,91.97,28181.03,13.27
35,free,3537,377,686.93,17.84,70.63,28341.60,13.30
83,free,4062,345,1674.29,14.87,86.44,27853.98,12.39
89,free,2300,347,1729.79,30.94,107.20,27987.27,12.40
90,free,1047,351,1732.32,28.41,104.66,28234.19,12.43
91,free,849,355,1756.65,4.08,80.33,28457.41,12.47
76,free,1668,371,1513.74,29.12,109.80,28836.32,12.87
53,pro,1073,379,1075.49,45.18,113.73,29401.65,12.89
96,free,2933,370,1925.15,47.65,139.65,28682.04,12.90
0,free,2524,400,9.34,0.00,32.24,30838.49,12.97
108,enterprise,3136,364,2097.14,44.97,126.73,29006.64,12.55
94,pro,2930,403,1859.58,1.65,81.20,29883.86,13.49
123,pro,2990,373,2538.96,93.85,186.14,29524.22,12.63
38,pro,2214,402,722.03,13.34,70.04,31405.01,12.80
45,free,515,410,865.55,28.25,81.92,31363.15,13.07
130,free,1166,162,2694.13,19977.82,20038.14,29675.37,5.46
98,pro,1186,423,2004.38,15.96,100.00,31052.68,13.62
111,enterprise,1347,431,2238.58,73.90,147.81,30848.49,13.97
141,enterprise,1057,110,2906.01,23641.28,23700.93,30181.06,3.64
102,free,626,438,2039.17,2.62,70.27,31229.62,14.03
131,free,1840,151,2705.48,21659.67,21718.22,30770.16,4.91
147,pro,3561,77,5073.02,23542.67,23607.79,28440.34,2.71
93,pro,742,433,1859.13,2.10,81.65,31675.86,13.67
84,enterprise,2717,411,1689.08,0.08,71.65,32011.53,12.84
