request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
13,free,593,67,312.84,11.02,46.47,4582.97,14.62
6,free,2548,73,77.48,11.58,44.51,5438.60,13.42
19,pro,1636,72,444.80,7.96,49.18,5558.43,12.95
3,free,3885,107,28.87,0.00,45.85,7883.46,13.57
103,enterprise,2982,66,2046.80,23.09,105.34,6046.80,10.91
31,free,3938,99,654.65,4.32,49.97,8337.86,11.87
100,free,1435,77,2028.21,5.55,90.68,7135.85,10.79
57,enterprise,3441,95,1127.76,0.88,58.49,8240.28,11.53
77,pro,2586,87,1517.39,13.70,76.74,7942.93,10.95
86,free,2530,90,1694.27,10.27,81.41,8149.92,11.04
30,pro,2839,110,649.79,4.03,44.50,9545.37,11.52
61,enterprise,1757,100,1222.69,2.63,62.96,9066.23,11.03
79,pro,2315,94,1612.69,15.75,96.79,8676.23,10.83
115,free,1352,95,2378.62,0.91,93.49,8849.96,10.73
75,pro,3924,109,1503.10,28.00,91.04,10026.84,10.87
95,free,3636,108,1867.53,1.81,78.41,10035.95,10.76
120,free,2034,109,2497.42,47.63,137.92,9958.57,10.95
56,free,3502,142,1126.97,1.68,59.29,12515.09,11.35
9,pro,1044,167,189.30,23.03,56.70,13543.61,12.33
12,free,1676,163,257.14,1.89,41.00,14002.17,11.64
22,enterprise,2100,161,510.56,5.63,54.47,14119.87,11.40
60,pro,3609,156,1180.91,5.34,65.80,13824.64,11.28
44,free,2820,171,839.23,4.12,54.10,15272.68,11.20
7,pro,2356,190,89.46,12.84,50.73,16115.47,11.79
48,free,1684,181,881.66,4.81,60.82,16471.16,10.99
27,free,714,196,634.59,4.25,41.79,16824.79,11.65
97,free,855,171,1966.05,27.85,105.53,15493.33,11.04
67,free,3976,181,1413.47,4.14,60.88,16648.65,10.87
52,free,3887,193,1014.23,21.52,67.43,17092.80,11.29
81,pro,910,181,1629.91,5.64,74.62,16515.30,10.96
101,free,3481,182,2029.86,3.90,89.03,17019.10,10.69
25,free,3086,208,557.15,7.88,61.69,18523.84,11.23
126,free,1990,183,2570.55,1.84,91.83,16883.17,10.84
85,pro,1949,197,1690.63,3.00,74.54,17800.02,11.07
17,pro,2097,216,420.81,1.11,48.24,19126.40,11.29
82,pro,2525,193,1642.23,17.78,85.56,17906.68,10.78
15,free,3080,220,373.93,2.47,47.99,19455.08,11.31
87,free,575,202,1721.05,6.75,77.51,18755.19,10.77
55,pro,4011,217,1119.86,8.79,66.40,19383.23,11.20
36,pro,1295,220,687.44,6.86,51.51,19964.48,11.02
73,free,3608,210,1451.55,22.44,99.66,19580.25,10.73
14,free,3203,237,324.92,4.88,45.85,20806.54,11.39
130,free,1166,162,2694.13,3309.10,3402.36,18437.33,8.79
147,pro,3561,77,5073.02,9186.30,9279.07,16345.07,4.71
10,enterprise,3594,242,216.49,4.37,42.54,21295.09,11.36
141,enterprise,1057,110,2906.01,8322.57,8416.47,18691.03,5.89
131,free,1840,151,2705.48,5206.85,5297.76,18981.65,7.96
142,free,1418,111,2910.48,8619.45,8712.82,18971.22,5.85
105,pro,3290,216,2066.86,3.03,85.28,19908.66,10.85
39,free,3542,233,730.05,8.90,56.88,21245.82,10.97
70,enterprise,3904,220,1436.78,37.21,114.43,20539.09,10.71
1,free,957,261,10.23,0.00,16.57,22521.29,11.59
121,free,524,221,2521.15,23.89,114.18,20165.11,10.96
24,free,1557,249,556.88,8.15,61.97,22346.15,11.14
49,free,573,243,962.16,15.38,80.38,22033.70,11.03
8,pro,3932,261,134.09,4.27,45.57,23065.57,11.32
106,pro,538,229,2087.47,18.88,105.51,21399.85,10.70
2,free,3420,271,19.89,0.00,41.20,23562.41,11.50
114,pro,3048,227,2378.25,1.27,93.85,21290.24,10.66
125,free,1906,231,2552.27,20.12,110.11,21375.04,10.81
155,free,3788,68,5285.75,12776.37,12869.22,19146.70,3.55
107,pro,745,240,2092.89,13.46,100.09,22433.55,10.70
46,enterprise,3488,262,874.40,12.07,68.08,24108.52,10.87
74,pro,2529,255,1469.45,4.54,81.75,23794.91,10.72
145,free,2205,128,5030.56,8611.50,8702.35,20317.82,6.30
119,free,819,254,2483.04,3.13,89.35,23488.29,10.81
68,free,3252,273,1421.99,10.76,78.35,25015.01,10.91
159,free,1803,80,5303.16,13777.84,13871.00,21226.64,3.77
149,free,3043,126,5107.59,9897.97,9988.72,21430.44,5.88
28,pro,2551,297,637.91,0.93,38.47,26082.95,11.39
47,free,757,282,876.89,9.59,65.60,25975.69,10.86
161,enterprise,1081,85,5317.26,14173.40,14265.38,21953.87,3.87
5,free,2336,310,56.33,3.64,32.72,27312.54,11.35
21,free,756,297,505.75,4.67,39.78,26911.38,11.04
92,free,3112,282,1765.38,10.30,83.83,25974.15,10.86
150,free,661,125,5176.82,10935.09,11028.12,22645.71,5.52
50,pro,2167,296,962.60,14.94,79.94,26962.34,10.98
26,free,2770,300,607.60,8.19,46.22,27376.36,10.96
58,pro,1483,291,1164.11,2.52,61.22,27008.78,10.77
99,free,1045,283,2017.32,7.38,89.03,26472.44,10.69
109,pro,1634,289,2110.89,8.00,94.87,27100.52,10.66
32,free,1581,317,657.01,1.96,47.61,28791.86,11.01
78,free,3997,302,1587.74,6.40,72.27,28151.08,10.73
4,enterprise,2128,337,53.79,6.18,35.26,29823.45,11.30
11,free,3444,344,240.87,5.13,44.06,29794.85,11.55
162,free,3671,115,5323.76,14223.45,14317.38,24926.91,4.61
65,free,3224,309,1384.06,24.64,89.93,28873.15,10.70
