request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
13,free,593,67,312.84,11.02,46.47,4582.97,14.62
6,free,2548,73,77.48,11.58,44.51,5435.55,13.43
19,pro,1636,72,444.80,7.96,49.18,5558.43,12.95
3,free,3885,107,28.87,0.00,45.85,7876.46,13.58
103,enterprise,2982,66,2046.80,23.09,105.34,6035.57,10.94
31,free,3938,99,654.65,4.32,49.97,8337.01,11.87
100,free,1435,77,2028.21,5.55,90.68,7135.85,10.79
57,enterprise,3441,95,1127.76,0.88,58.49,8229.13,11.54
77,pro,2586,87,1517.39,13.70,76.74,7937.20,10.96
86,free,2530,90,1694.27,10.27,81.41,8126.96,11.07
30,free,2839,110,649.79,4.03,44.50,9544.00,11.53
61,enterprise,1757,100,1222.69,2.63,62.96,9064.37,11.03
79,free,2315,94,1612.69,15.75,96.79,8674.37,10.84
115,free,1352,95,2378.62,0.91,93.49,8838.98,10.75
75,pro,3924,109,1503.10,28.00,91.04,9989.51,10.91
95,free,3636,108,1867.53,1.81,78.41,9993.26,10.81
120,free,2034,109,2497.42,47.63,137.92,9955.15,10.95
56,free,3502,142,1126.97,1.68,59.29,12515.94,11.35
9,free,1044,167,189.30,23.03,56.70,13544.41,12.33
161,enterprise,1081,85,5317.26,685.96,779.20,8554.73,9.94
12,free,1676,163,257.14,1.89,41.00,13967.33,11.67
22,pro,2100,161,510.56,5.63,54.47,14082.99,11.43
60,pro,3609,156,1180.91,5.34,65.80,13837.18,11.27
141,enterprise,1057,110,2906.01,2607.01,2698.64,12703.71,8.66
44,pro,2820,171,839.23,4.12,54.10,15142.55,11.29
7,pro,2356,190,89.46,12.84,50.73,15983.80,11.89
48,free,1684,181,881.66,4.81,60.82,16389.83,11.04
27,free,714,196,634.59,4.25,41.79,16860.52,11.62
97,enterprise,855,171,1966.05,27.85,105.53,15529.05,11.01
67,free,3976,181,1413.47,4.14,60.88,16493.77,10.97
81,pro,910,181,1629.91,5.64,74.62,16474.66,10.99
52,free,3887,193,1014.23,21.52,67.43,17133.05,11.26
101,free,3481,182,2029.86,3.90,89.03,16918.95,10.76
25,free,3086,208,557.15,7.88,61.69,18479.93,11.26
82,pro,2525,193,1642.23,17.78,85.56,17728.88,10.89
126,free,1990,183,2570.55,1.84,91.83,16839.70,10.87
17,pro,2097,216,420.81,1.11,48.24,19083.00,11.32
85,pro,1949,197,1690.63,3.00,74.54,17853.27,11.03
15,pro,3080,220,373.93,2.47,47.99,19409.77,11.33
87,free,575,202,1721.05,6.75,77.51,18567.65,10.88
36,pro,1295,220,687.44,6.86,51.51,19846.67,11.08
