request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
13,free,593,67,312.84,11.02,46.47,4591.45,14.59
6,free,2548,73,77.48,11.58,44.51,5458.26,13.37
19,pro,1636,72,444.80,7.96,49.18,5533.82,13.01
3,free,3885,107,28.87,0.00,45.85,7883.68,13.57
103,enterprise,2982,66,2046.80,23.09,105.34,6102.39,10.82
31,free,3938,99,654.65,4.32,49.97,8315.93,11.90
100,free,1435,77,2028.21,5.55,90.68,7135.85,10.79
57,free,3441,95,1127.76,0.88,58.49,8236.31,11.53
77,pro,2586,87,1517.39,13.70,76.74,7920.39,10.98
86,free,2530,90,1694.27,10.27,81.41,8221.12,10.95
30,pro,2839,110,649.79,4.03,44.50,9543.59,11.53
61,pro,1757,100,1222.69,2.63,62.96,9063.85,11.03
79,pro,2315,94,1612.69,15.75,96.79,8673.85,10.84
115,free,1352,95,2378.62,0.91,93.49,8839.63,10.75
75,pro,3924,109,1503.10,28.00,91.04,9982.34,10.92
95,pro,3636,108,1867.53,1.81,78.41,9989.14,10.81
155,pro,3788,68,5285.75,249.99,343.19,6593.15,10.31
120,free,2034,109,2497.42,47.63,138.24,9949.97,10.95
147,free,3561,77,5073.02,905.60,998.95,8071.27,9.54
56,free,3502,142,1126.97,1.68,59.29,12503.60,11.36
9,pro,1044,167,189.30,23.03,56.70,13531.87,12.34
12,free,1676,163,257.14,1.89,41.00,14144.81,11.52
22,enterprise,2100,161,510.56,5.63,54.47,14265.73,11.29
141,enterprise,1057,110,2906.01,1998.28,2089.28,12002.31,9.16
60,pro,3609,156,1180.91,5.34,65.80,13818.74,11.29
159,enterprise,1803,80,5303.16,2609.39,2700.04,9878.39,8.10
44,free,2820,171,839.23,4.12,54.10,15157.58,11.28
161,enterprise,1081,85,5317.26,2831.93,2924.80,10765.55,7.90
7,pro,2356,190,89.46,12.84,50.73,15999.44,11.88
48,free,1684,181,881.66,4.81,60.82,16450.38,11.00
295,free,2771,76,10278.30,8.24,101.36,7148.46,10.63
27,pro,714,196,634.59,4.25,41.79,16818.35,11.65
97,free,855,171,1966.05,27.85,105.53,15486.88,11.04
175,pro,3261,94,5589.52,3381.06,3474.48,12059.26,7.79
323,free,3088,70,10776.20,442.05,535.79,7026.78,9.96
196,free,2625,94,5997.82,3366.26,3456.78,11914.21,7.89
67,free,3976,181,1413.47,4.14,60.88,16510.07,10.96
188,free,2205,94,5780.80,3383.26,3476.78,12209.16,7.70
52,free,3887,193,1014.23,21.52,67.43,17080.50,11.30
373,pro,779,69,11649.30,207.37,299.28,6547.27,10.54
81,free,910,181,1629.91,5.64,74.62,16709.49,10.83
313,free,2766,77,10593.54,891.90,984.69,7968.00,9.66
223,free,1069,102,6549.87,2887.92,2980.89,12285.13,8.30
101,free,3481,182,2029.86,3.90,89.03,16985.05,10.72
25,free,3086,208,557.15,7.88,61.69,18727.88,11.11
364,enterprise,2916,80,11435.68,443.21,536.53,7943.79,10.07
82,pro,2525,193,1642.23,17.78,85.56,17739.98,10.88
85,pro,1949,197,1690.63,3.00,74.54,17769.84,11.09
126,free,1990,183,2570.55,1.84,92.18,17092.35,10.71
433,enterprise,3060,72,13012.70,131.59,223.45,6731.85,10.70
17,pro,2097,216,420.81,1.11,48.24,19336.65,11.17
332,free,2440,81,10889.37,1558.02,1648.97,8936.82,9.06
15,pro,3080,220,373.93,2.47,47.99,19668.66,11.19
256,pro,3716,110,7343.29,2572.10,2665.50,12888.65,8.53
87,free,575,202,1721.05,6.75,77.51,18563.81,10.88
55,pro,4011,217,1119.86,8.79,66.40,19343.61,11.22
36,pro,1295,220,687.44,6.86,51.51,19915.50,11.05
142,free,1418,111,2910.48,7282.90,7376.06,17692.46,6.27
413,free,2115,78,12665.51,965.05,1055.65,8068.21,9.67
412,free,3271,79,12649.65,1071.52,1162.78,8265.25,9.56
14,pro,3203,237,324.92,4.88,45.85,20596.45,11.51
73,free,3608,210,1451.55,22.44,99.66,19529.94,10.75
193,free,1363,114,5934.77,4351.77,4444.90,15046.72,7.58
10,enterprise,3594,242,216.49,4.37,42.54,21516.11,11.25
39,free,3542,233,730.05,8.90,56.88,21200.44,10.99
70,enterprise,3904,220,1436.78,37.21,114.43,20493.71,10.74
302,free,1789,82,10507.21,3894.74,3988.31,11599.12,7.07
105,pro,3290,216,2066.86,3.03,85.28,20133.18,10.73
394,pro,970,82,12163.68,2744.64,2835.97,10193.59,8.04
497,free,2728,70,15993.89,2.92,95.01,6385.43,10.96
386,free,1130,82,11987.82,2788.47,2881.73,10493.17,7.81
121,free,524,221,2521.15,23.89,114.51,20109.10,10.99
1,free,957,261,10.23,0.00,16.57,22751.98,11.47
356,pro,2511,86,11335.74,3663.91,3754.85,11478.38,7.49
370,free,1146,87,11512.87,3668.68,3759.42,11576.57,7.52
24,free,1557,249,556.88,8.15,61.97,22580.27,11.03
8,enterprise,3932,261,134.09,4.27,45.57,23014.56,11.34
106,pro,538,229,2087.47,18.88,105.51,21116.25,10.84
49,free,573,243,962.16,15.38,80.38,22268.92,10.91
2,pro,3420,271,19.89,0.00,41.20,23276.28,11.64
457,free,2805,77,15357.68,725.13,819.04,7967.93,9.66
114,pro,3048,227,2378.25,1.27,93.85,21238.87,10.69
446,pro,1179,84,15192.68,896.23,987.91,8561.71,9.81
574,pro,1268,64,17710.14,92.84,186.32,6093.92,10.50
125,free,1906,231,2552.27,1.09,93.48,21294.26,10.85
