request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
13,free,593,67,312.84,11.02,46.47,4582.97,14.62
6,free,2548,73,77.48,11.58,44.51,5435.55,13.43
19,pro,1636,72,444.80,7.96,49.18,5558.43,12.95
3,free,3885,107,28.87,0.00,45.85,7864.43,13.61
103,enterprise,2982,66,2046.80,23.09,105.34,6055.99,10.90
31,free,3938,99,654.65,4.32,49.97,8357.82,11.85
100,pro,1435,77,2028.21,5.55,90.68,7135.85,10.79
57,enterprise,3441,95,1127.76,0.88,58.49,8210.41,11.57
77,free,2586,87,1517.39,13.70,76.74,7963.76,10.92
86,free,2530,90,1694.27,10.27,81.41,8156.85,11.03
30,free,2839,110,649.79,4.03,44.50,9547.67,11.52
61,enterprise,1757,100,1222.69,2.63,62.96,9068.58,11.03
79,pro,2315,94,1612.69,15.75,96.79,8678.58,10.83
115,free,1352,95,2378.62,0.91,93.49,8842.90,10.74
75,pro,3924,109,1503.10,28.00,91.04,10040.25,10.86
95,free,3636,108,1867.53,1.81,78.41,10047.75,10.75
120,free,2034,109,2497.42,47.63,137.92,9907.62,11.00
56,free,3502,142,1126.97,1.68,59.29,12457.67,11.40
9,pro,1044,167,189.30,23.03,56.70,13485.20,12.38
12,free,1676,163,257.14,1.89,41.00,14012.64,11.63
22,enterprise,2100,161,510.56,5.63,54.47,14129.81,11.39
141,enterprise,1057,110,2906.01,1989.80,2080.47,11940.14,9.21
60,pro,3609,156,1180.91,5.34,65.80,13755.42,11.34
44,free,2820,171,839.23,4.12,54.10,15238.90,11.22
7,free,2356,190,89.46,12.84,50.73,16081.17,11.82
48,free,1684,181,881.66,4.81,60.82,16408.32,11.03
27,free,714,196,634.59,4.25,41.79,16740.19,11.71
97,free,855,171,1966.05,27.85,105.53,15408.73,11.10
52,free,3887,193,1014.23,21.52,67.43,17005.79,11.35
67,free,3976,181,1413.47,4.14,60.88,16611.67,10.90
81,pro,910,181,1629.91,5.64,74.62,16520.30,10.96
101,pro,3481,182,2029.86,3.90,89.03,16944.05,10.74
25,pro,3086,208,557.15,7.88,61.69,18524.91,11.23
85,pro,1949,197,1690.63,3.00,74.54,17710.16,11.12
126,free,1990,183,2570.55,1.84,91.83,16884.76,10.84
82,pro,2525,193,1642.23,17.78,85.56,17863.91,10.80
17,pro,2097,216,420.81,1.11,48.24,19128.31,11.29
15,pro,3080,220,373.93,2.47,47.99,19456.66,11.31
55,free,4011,217,1119.86,8.79,66.40,19298.24,11.24
87,free,575,202,1721.05,6.75,77.51,18715.78,10.79
154,enterprise,3162,155,5275.47,727.75,821.64,15161.36,10.22
