request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
1,free,163,65,17.06,0.00,8.63,851.44,76.34
4,enterprise,484,62,89.65,5.43,17.71,877.95,70.62
2,free,306,67,33.15,0.00,10.06,1020.93,65.63
6,free,394,59,129.13,24.49,37.75,943.77,62.52
5,free,212,70,93.89,36.19,47.89,1178.25,59.41
16,free,148,47,625.29,6.86,24.98,868.82,54.10
13,pro,449,46,521.41,0.22,19.13,1039.12,44.27
27,free,420,41,1057.65,7.58,27.90,836.95,48.99
11,free,445,61,401.45,120.18,139.09,1688.97,36.12
30,pro,440,35,1082.99,10.47,35.11,1162.34,30.11
15,pro,431,85,623.21,8.95,27.07,1673.96,50.78
22,enterprise,296,46,850.94,4.16,28.32,1476.29,31.16
3,free,321,110,48.12,0.00,10.21,2344.01,46.93
7,pro,162,91,149.10,76.90,88.34,2252.04,40.41
0,free,445,111,15.56,0.00,11.45,2427.77,45.72
19,pro,237,55,741.33,4.97,23.08,1702.01,32.31
33,free,174,40,1100.20,16.85,45.12,1412.43,28.32
52,free,288,33,1690.39,106.53,130.94,858.29,38.45
40,free,409,37,1240.34,1.11,31.79,1313.61,28.17
28,pro,492,75,1063.18,2.05,22.37,1605.98,46.70
43,pro,182,38,1380.77,6.58,41.19,1403.83,27.07
45,free,471,36,1442.59,18.70,47.34,1504.96,23.92
10,free,420,91,360.81,3.07,21.23,2651.51,34.32
44,free,411,37,1398.71,62.58,91.22,1613.62,22.93
17,pro,148,70,701.34,44.96,63.07,2368.25,29.56
8,free,453,95,223.48,140.40,158.56,3031.75,31.34
32,free,502,58,1095.02,22.03,50.30,2189.06,26.50
14,free,239,128,541.53,90.63,108.75,2754.01,46.48
53,free,179,68,1792.49,4.43,28.84,1586.83,42.85
57,free,507,40,1879.60,6.97,47.71,1678.39,23.83
56,free,458,45,1878.28,8.29,49.04,1932.79,23.28
18,free,230,87,721.50,24.80,42.91,3100.39,28.06
20,pro,506,84,823.38,31.72,55.88,3133.20,26.81
72,free,425,57,2417.18,1.20,27.24,1600.05,35.62
23,free,140,78,914.76,16.67,41.18,3162.91,24.66
26,free,186,124,1012.67,52.56,72.88,3101.48,39.98
78,free,423,36,2646.23,20.77,65.47,1610.19,22.36
39,pro,393,74,1216.75,24.71,55.39,3049.57,24.27
74,pro,200,41,2449.09,63.54,102.12,1848.17,22.18
35,free,203,79,1144.88,57.03,91.48,3191.31,24.75
65,free,205,38,2306.77,45.72,94.37,2210.44,17.19
77,pro,452,43,2528.99,138.01,182.70,1992.42,21.58
51,pro,253,95,1649.82,147.10,171.50,2872.18,33.08
12,free,457,115,428.57,93.05,111.96,4100.43,28.05
42,pro,348,74,1352.81,34.53,69.15,3176.19,23.30
84,enterprise,278,35,2815.13,6.04,50.50,1713.87,20.42
70,free,130,68,2394.63,23.76,49.80,2177.88,31.22
68,enterprise,143,47,2369.99,22.14,62.58,2205.46,21.31
31,free,144,89,1091.09,2.36,27.00,3618.00,24.60
98,pro,412,34,3340.63,6.57,38.68,1474.96,23.05
41,free,344,83,1321.43,65.91,100.53,3618.76,22.94
82,pro,251,44,2737.05,84.12,128.59,2203.14,19.97
69,free,389,58,2389.69,2.44,42.88,2684.40,21.61
9,pro,195,124,315.50,48.39,66.54,4784.03,25.92
29,pro,221,100,1076.30,17.15,41.79,4155.52,24.06
25,free,447,97,928.59,2.84,27.35,4454.42,21.78
21,free,142,116,842.91,12.19,36.35,4542.33,25.54
34,free,440,105,1109.32,7.73,36.01,4275.93,24.56
93,free,278,55,3098.55,29.70,57.56,2376.96,23.14
64,pro,473,52,2206.21,146.28,194.93,3314.49,15.69
86,free,401,41,2823.78,63.00,123.77,2696.92,15.20
36,pro,476,105,1145.73,56.17,90.63,4409.01,23.81
38,pro,295,100,1203.38,38.07,68.76,4397.80,22.74
55,enterprise,332,80,1866.43,20.14,60.89,3734.75,21.42
109,pro,490,38,3518.15,235.69,278.24,2109.39,18.01
103,pro,368,48,3411.34,36.08,82.86,2252.25,21.31
24,free,488,102,928.13,3.30,27.81,4786.99,21.31
49,free,359,74,1603.60,1.00,37.36,4111.52,18.00
62,free,271,82,2075.08,130.18,170.82,3814.14,21.50
100,free,371,50,3380.34,19.67,72.32,2644.83,18.90
114,pro,249,42,3963.75,2.96,53.47,2161.64,19.43
105,pro,131,57,3444.77,2.65,49.42,2760.52,20.65
117,free,203,40,4089.78,12.89,67.42,2169.80,18.43
85,pro,270,68,2817.72,3.44,47.91,3504.45,19.40
92,free,488,53,2942.30,5.25,70.03,3380.53,15.68
58,free,419,75,1940.18,28.54,71.14,4441.41,16.89
60,pro,385,75,1968.19,0.53,43.13,4413.40,16.99
37,free,510,119,1197.61,4.29,38.75,5195.21,22.91
131,free,301,32,4509.13,152.38,201.09,1944.11,16.46
81,pro,416,61,2716.52,11.87,64.66,3829.15,15.93
94,pro,251,74,3099.29,28.95,56.81,3461.55,21.38
71,free,239,106,2405.83,12.55,38.59,4225.71,25.08
126,free,471,36,4284.25,26.85,95.54,2378.73,15.13
75,free,405,87,2505.16,7.47,46.05,4181.89,20.80
135,enterprise,344,37,4649.70,11.80,60.51,2093.76,17.67
91,enterprise,470,61,2927.75,19.80,84.58,3870.30,15.76
59,free,466,83,1944.21,24.50,67.10,4922.34,16.86
125,free,177,39,4253.78,57.31,126.00,2612.78,14.93
102,free,457,63,3398.62,1.39,54.04,3479.50,18.11
80,free,268,68,2694.80,33.59,86.38,4308.75,15.78
122,free,315,43,4214.31,34.05,96.78,2861.71,15.03
63,free,196,104,2199.20,6.06,46.71,5009.37,20.76
76,free,344,92,2522.90,144.10,188.79,4685.67,19.63
89,free,421,68,2882.98,3.80,64.57,4334.01,15.69
54,free,310,107,1855.61,30.96,71.70,5522.04,19.38
66,pro,347,83,2348.45,4.04,52.69,5150.35,16.12
151,free,306,40,5131.23,17.81,72.48,2435.06,16.43
106,free,319,77,3479.12,20.96,57.19,4231.49,18.20
90,free,288,74,2887.20,60.35,125.13,4829.10,15.32
138,pro,263,48,4715.88,78.51,127.10,3097.15,15.50
50,pro,293,108,1604.33,0.28,36.64,6329.53,17.06
145,enterprise,428,46,5059.01,15.08,63.64,3044.47,15.11
111,enterprise,448,76,3730.96,22.88,65.44,4416.40,17.21
47,free,168,111,1461.48,143.13,179.49,6690.03,16.59
61,enterprise,493,118,2037.82,167.44,208.09,6179.92,19.09
134,pro,395,61,4649.50,12.00,60.71,3712.86,16.43
162,pro,129,41,5416.47,211.07,265.67,2949.22,13.90
95,free,247,100,3112.55,15.70,43.55,5325.97,18.78
110,pro,497,81,3608.03,145.81,188.36,4903.33,16.52
101,free,222,86,3383.09,16.92,69.57,5156.35,16.68
139,free,391,58,4724.13,70.26,118.85,3815.32,15.20
48,free,200,117,1469.44,135.16,171.53,7117.49,16.44
73,free,214,116,2419.24,93.39,131.97,6232.24,18.61
173,free,390,37,6041.31,23.33,84.08,2615.69,14.15
130,free,382,61,4490.21,27.00,99.75,4169.29,14.63
46,enterprise,159,124,1457.34,3.95,32.59,7274.72,17.05
181,pro,144,35,6329.47,90.00,158.71,2618.99,13.36
123,pro,146,69,4231.61,16.76,79.48,4718.20,14.62
155,pro,221,59,5190.58,13.13,73.64,3822.57,15.43
129,pro,278,67,4425.11,92.09,164.85,4670.00,14.35
187,free,479,37,6449.68,38.49,111.16,2717.68,13.61
147,free,361,60,5086.39,36.25,90.83,4106.37,14.61
148,free,389,60,5091.19,31.45,86.04,4101.58,14.63
178,pro,163,40,6288.04,34.13,100.61,2904.72,13.77
83,free,433,110,2790.48,30.68,75.15,6547.52,16.80
169,pro,290,51,5771.08,176.55,240.95,3603.89,14.15
118,free,326,84,4102.05,0.62,55.15,5308.49,15.82
172,free,448,48,6038.23,26.41,87.16,3420.98,14.03
67,free,192,123,2355.78,36.34,76.78,7127.32,17.26
107,pro,256,102,3488.16,11.92,48.14,6043.97,16.88
174,free,447,49,6063.05,1.59,62.35,3469.09,14.12
132,free,292,78,4539.84,121.67,170.38,5052.25,15.44
171,free,466,55,5936.97,10.66,75.06,3727.49,14.76
96,free,334,109,3208.58,138.63,170.74,6469.08,16.85
191,pro,481,43,6563.44,24.73,97.21,3137.37,13.71
192,free,162,44,6570.90,17.27,89.74,3202.37,13.74
87,free,186,104,2868.41,18.37,79.14,6953.46,14.96
196,pro,294,44,6647.57,15.41,79.93,3174.30,13.86
200,pro,494,44,6709.43,18.06,88.62,3185.18,13.81
214,free,512,38,7156.34,52.23,122.54,2797.49,13.58
221,pro,158,36,7298.24,55.66,128.11,2669.02,13.49
115,free,353,96,3964.36,2.35,52.86,6004.11,15.99
177,free,191,52,6244.02,15.56,78.15,3746.83,13.88
219,pro,414,37,7239.83,109.37,181.72,2786.26,13.28
193,free,249,48,6571.03,17.14,89.62,3492.44,13.74
166,pro,229,64,5733.63,34.79,95.18,4364.75,14.66
210,pro,361,44,6982.93,32.68,96.99,3187.79,13.80
163,pro,432,66,5429.53,198.01,252.62,4757.15,13.87
164,pro,485,66,5622.79,4.76,59.36,4563.89,14.46
88,free,412,111,2879.00,7.77,68.55,7452.10,14.90
140,free,302,83,4789.65,4.73,53.33,5564.62,14.92
121,free,395,97,4201.92,5.24,57.69,6202.71,15.64
127,free,348,90,4297.55,13.55,82.24,6251.91,14.40
184,pro,194,57,6406.21,13.26,81.97,4143.77,13.76
104,free,490,121,3414.96,32.46,79.23,7190.00,16.83
97,free,416,122,3276.76,70.45,102.56,7345.89,16.61
136,free,395,94,4652.18,9.32,58.03,6097.52,15.42
183,free,434,61,6399.60,19.87,88.58,4440.78,13.74
157,free,295,80,5260.62,23.82,82.36,5602.59,14.28
152,pro,353,86,5148.46,0.59,55.25,5745.91,14.97
153,free,158,86,5162.50,41.21,101.71,5802.18,14.82
113,free,438,110,3955.52,11.19,61.70,7025.97,15.66
159,free,451,81,5305.82,37.16,101.70,5698.88,14.21
141,enterprise,293,90,4843.36,158.72,211.28,6206.64,14.50
234,enterprise,240,37,7688.78,676.91,749.73,3361.22,11.01
194,free,265,61,6573.83,89.15,153.66,4485.26,13.60
116,free,337,107,3967.12,135.54,190.08,7106.29,15.06
170,pro,213,75,5926.32,21.31,85.71,5175.08,14.49
218,pro,304,54,7202.50,6.07,76.38,3898.91,13.85
79,free,441,125,2687.81,40.58,93.37,8442.15,14.81
208,free,163,58,6957.69,57.92,122.23,4208.10,13.78
198,free,466,63,6682.69,44.80,115.36,4584.91,13.74
99,free,506,124,3362.20,37.82,90.47,7911.34,15.67
108,enterprise,397,127,3495.24,4.84,41.06,7812.95,16.26
119,enterprise,195,110,4138.40,68.76,121.21,7169.79,15.34
215,pro,287,58,7157.51,51.06,121.36,4195.62,13.82
220,free,449,56,7241.10,112.80,185.25,4160.08,13.46
239,pro,216,39,7938.04,648.89,721.46,3463.14,11.26
124,free,195,104,4232.39,15.98,78.71,7231.60,14.38
