request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
1,free,163,65,17.06,0.00,8.63,801.00,81.15
5,free,212,70,93.89,1.20,12.12,918.78,76.19
6,free,394,59,129.13,0.95,13.56,896.64,65.80
2,free,306,67,33.15,0.00,10.06,1277.64,52.44
4,enterprise,484,62,89.65,4.01,16.99,1252.27,49.51
13,pro,449,46,521.41,4.39,19.50,899.95,51.11
7,pro,162,91,149.10,0.68,13.54,1384.71,65.72
22,enterprise,296,46,850.94,1.36,14.97,884.15,52.03
11,free,445,61,401.45,1.58,16.33,1473.15,41.41
16,free,148,47,625.29,0.04,18.54,1282.26,36.65
27,pro,420,41,1057.65,0.55,18.14,900.65,45.52
19,pro,237,55,741.33,1.34,21.49,1391.18,39.53
3,free,321,110,48.12,0.00,10.21,2145.52,51.27
30,free,440,35,1082.99,1.43,28.62,1154.07,30.33
43,pro,182,38,1380.77,11.36,34.95,1004.28,37.84
0,free,445,111,15.56,0.00,11.45,2419.56,45.88
33,free,174,40,1100.20,11.41,42.39,1334.92,29.96
17,pro,148,70,701.34,6.47,23.01,1846.48,37.91
45,free,471,36,1442.59,3.05,29.50,1141.62,31.53
40,free,409,37,1240.34,4.28,37.36,1414.43,26.16
52,free,288,33,1690.39,9.18,44.17,1068.95,30.87
44,pro,411,37,1398.71,1.25,32.29,1480.00,25.00
23,free,140,78,914.76,5.69,21.03,2067.74,37.72
8,enterprise,453,95,223.48,0.43,15.66,2838.10,33.47
15,pro,431,85,623.21,2.12,20.62,2474.13,34.36
10,pro,420,91,360.81,0.53,17.82,2939.84,30.95
18,free,230,87,721.50,2.86,21.16,2591.69,33.57
32,free,502,58,1095.02,2.08,29.25,2300.77,25.21
20,pro,506,84,823.38,5.98,26.83,2601.16,32.29
57,pro,507,40,1879.60,18.82,48.75,1621.17,24.67
9,pro,195,124,315.50,1.01,13.34,3375.57,36.73
39,free,393,74,1216.75,5.26,29.64,2688.79,27.52
56,free,458,45,1878.28,0.66,37.52,2073.07,21.71
65,free,205,38,2306.77,0.96,31.37,1649.40,23.04
84,enterprise,278,35,2815.13,2.51,33.54,1215.65,28.79
25,pro,447,97,928.59,5.12,30.21,3184.24,30.46
31,free,144,89,1091.09,2.31,21.73,3086.16,28.84
42,pro,348,74,1352.81,15.64,42.09,2857.10,25.90
28,pro,492,75,1063.18,8.86,33.91,3148.68,23.82
24,free,488,102,928.13,5.58,30.67,3398.53,30.01
78,free,423,36,2646.23,6.53,42.88,1721.82,20.91
41,pro,344,83,1321.43,5.66,27.33,3209.03,25.86
35,free,203,79,1144.88,6.57,37.62,3433.90,23.01
74,pro,200,41,2449.09,4.69,42.98,2140.28,19.16
60,free,385,75,1968.19,1.66,34.80,2637.41,28.44
68,enterprise,143,47,2369.99,6.09,50.92,2309.78,20.35
49,enterprise,359,74,1603.60,10.16,42.51,3086.44,23.98
38,free,295,100,1203.38,1.21,34.14,3505.15,28.53
12,free,457,115,428.57,1.99,21.37,4301.67,26.73
34,free,440,105,1109.32,2.29,33.28,3704.19,28.35
64,pro,473,52,2206.21,15.68,47.89,2617.02,19.87
77,pro,452,43,2528.99,1.37,43.75,2294.25,18.74
53,free,179,68,1792.49,7.54,31.09,3085.64,22.04
29,pro,221,100,1076.30,3.64,23.58,3830.34,26.11
86,free,401,41,2823.78,7.37,55.77,2266.24,18.09
98,pro,412,34,3340.63,6.57,55.15,1760.24,19.32
82,pro,251,44,2737.05,5.33,49.72,2405.93,18.29
69,free,389,58,2389.69,11.18,47.39,2806.23,20.67
109,pro,490,38,3518.15,17.02,55.98,1725.01,22.03
72,free,425,57,2417.18,0.24,36.60,2994.64,19.03
80,free,268,68,2694.80,2.44,33.48,2783.47,24.43
103,enterprise,368,48,3411.34,13.21,50.07,2241.68,21.41
55,enterprise,332,80,1866.43,4.29,32.00,3822.06,20.93
58,free,419,75,1940.18,12.49,53.43,3756.52,19.97
92,free,488,53,2942.30,25.76,72.52,2814.79,18.83
14,free,239,128,541.53,5.45,26.55,5275.83,24.26
70,free,130,68,2394.63,6.24,42.45,3449.40,19.71
26,free,186,124,1012.67,0.00,15.17,4844.68,25.60
21,free,142,116,842.91,0.34,23.17,5090.98,22.79
81,pro,416,61,2716.52,11.03,51.52,3264.99,18.68
51,free,253,95,1649.82,14.14,37.84,4374.54,21.72
36,pro,476,105,1145.73,5.72,36.77,4904.69,21.41
93,free,278,55,3098.55,7.71,56.29,2951.88,18.63
59,free,466,83,1944.21,8.45,49.40,4214.56,19.69
114,pro,249,42,3963.75,24.06,67.02,2203.87,19.06
100,free,371,50,3380.34,7.10,63.76,2815.18,17.76
62,free,271,82,2075.08,0.46,43.36,4187.88,19.58
91,free,470,61,2927.75,2.24,54.75,3381.82,18.04
126,free,471,36,4284.25,6.65,65.52,2025.32,17.77
117,free,203,40,4089.78,13.14,67.61,2223.27,17.99
37,free,510,119,1197.61,2.09,24.39,5341.67,22.28
131,free,301,32,4509.13,16.92,71.57,2030.16,15.76
85,pro,270,68,2817.72,13.43,61.83,3780.11,17.99
122,free,315,43,4214.31,19.15,65.74,2390.29,17.99
63,free,196,104,2199.20,2.82,37.86,4471.87,23.26
125,free,177,39,4253.78,6.89,59.58,2422.77,16.10
89,free,421,68,2882.98,10.69,57.26,3860.27,17.62
135,enterprise,344,37,4649.70,4.33,58.83,2150.36,17.21
66,free,347,83,2348.45,2.34,36.60,4455.41,18.63
105,free,131,57,3444.77,4.57,53.21,3363.14,16.95
50,pro,293,108,1604.33,9.44,41.78,5266.33,20.51
47,free,168,111,1461.48,0.57,35.26,5465.81,20.31
48,free,200,117,1469.44,2.65,30.97,5644.26,20.73
90,free,288,74,2887.20,6.46,53.03,4226.49,17.51
102,free,457,63,3398.62,3.96,50.71,3715.07,16.96
94,free,251,74,3099.29,6.97,55.55,4037.03,18.33
75,pro,405,87,2505.16,4.37,42.67,4786.84,18.17
54,free,310,107,1855.61,15.10,42.81,5521.69,19.38
138,pro,263,48,4715.88,14.36,66.73,2852.36,16.83
151,free,306,40,5131.23,2.06,64.69,2661.85,15.03
76,free,344,92,2522.90,7.45,49.84,5286.78,17.40
46,enterprise,159,124,1457.34,4.71,39.39,6400.36,19.37
106,pro,319,77,3479.12,9.66,60.11,4451.03,17.30
162,pro,129,41,5416.47,1.56,61.80,2675.53,15.32
145,enterprise,428,46,5059.01,13.64,74.29,3097.87,14.85
111,free,448,76,3730.96,10.16,62.70,4489.01,16.93
139,free,391,58,4724.13,6.12,58.49,3568.24,16.25
130,free,382,61,4490.21,16.40,64.91,3819.42,15.97
123,pro,146,69,4231.61,1.86,48.45,4223.12,16.34
95,free,247,100,3112.55,13.81,44.71,5414.82,18.47
134,pro,395,61,4649.50,4.54,59.03,3877.87,15.73
173,enterprise,390,37,6041.31,5.56,65.93,2558.55,14.46
61,pro,493,118,2037.82,3.87,33.88,6572.64,17.95
71,free,239,106,2405.83,11.58,47.95,6204.63,17.08
110,pro,497,81,3608.03,1.97,58.65,5002.43,16.19
129,pro,278,67,4425.11,35.02,81.50,4247.18,15.78
101,free,222,86,3383.09,4.35,61.01,5300.11,16.23
181,pro,144,35,6329.47,13.41,75.82,2487.69,14.07
87,free,186,104,2868.41,10.30,54.97,6075.37,17.12
148,free,389,60,5091.19,9.69,64.02,3852.59,15.57
147,free,361,60,5086.39,3.62,56.59,3888.02,15.43
187,pro,479,37,6449.68,9.73,63.83,2566.44,14.42
155,pro,221,59,5190.58,3.43,56.37,3856.66,15.30
73,free,214,116,2419.24,1.67,48.42,6669.19,17.39
178,pro,163,40,6288.04,21.53,76.36,2832.04,14.12
118,free,326,84,4102.05,0.87,55.34,5203.30,16.14
169,pro,290,51,5771.08,2.28,72.95,3550.34,14.36
96,free,334,109,3208.58,10.49,43.37,6188.90,17.61
172,free,448,48,6038.23,8.64,69.01,3359.25,14.29
174,free,447,49,6063.05,16.38,73.47,3421.46,14.32
83,free,433,110,2790.48,18.05,60.61,6749.69,16.30
191,pro,481,43,6563.44,6.21,64.42,3031.06,14.19
67,free,192,123,2355.78,12.77,45.08,7257.19,16.95
132,free,292,78,4539.84,15.28,65.76,5075.08,15.37
107,free,256,102,3488.16,0.62,51.06,6250.85,16.32
88,enterprise,412,111,2879.00,0.55,50.99,6896.79,16.09
171,free,466,55,5936.97,30.35,87.38,3838.82,14.33
192,free,162,44,6570.90,26.92,91.67,3204.89,13.73
163,pro,432,66,5429.53,17.47,79.88,4381.68,15.06
196,pro,294,44,6647.57,15.00,83.65,3200.99,13.75
177,free,191,52,6244.02,6.48,77.22,3660.29,14.21
214,free,512,38,7156.34,12.11,72.90,2747.97,13.83
200,pro,494,44,6709.43,21.78,94.43,3211.87,13.70
115,free,353,96,3964.36,23.45,66.42,6012.84,15.97
219,free,414,37,7239.83,52.17,116.94,2737.38,13.52
221,pro,158,36,7298.24,58.53,131.23,2678.97,13.44
193,pro,249,48,6571.03,26.80,91.54,3495.76,13.73
164,pro,485,66,5622.79,8.72,65.70,4516.79,14.61
166,free,229,64,5733.63,9.85,66.78,4405.95,14.53
210,pro,361,44,6982.93,8.75,81.07,3188.94,13.80
127,free,348,90,4297.55,15.82,70.50,6044.71,14.89
184,pro,194,57,6406.21,3.12,53.21,3982.22,14.31
79,pro,441,125,2687.81,1.30,39.74,7727.42,16.18
97,free,416,122,3276.76,8.07,42.98,7208.18,16.93
140,free,302,83,4789.65,5.71,60.36,5698.49,14.57
157,enterprise,295,80,5260.62,7.31,65.66,5344.69,14.97
104,enterprise,490,121,3414.96,9.58,46.45,7287.41,16.60
121,free,395,97,4201.92,8.00,58.76,6505.10,14.91
116,free,337,107,3967.12,20.69,63.65,6807.65,15.72
183,pro,434,61,6399.60,5.69,70.13,4375.18,13.94
152,pro,353,86,5148.46,6.75,63.10,5745.88,14.97
136,free,395,94,4652.18,1.86,56.35,6267.13,15.00
234,free,240,37,7688.78,603.59,675.92,3277.84,11.29
124,free,195,104,4232.39,1.08,47.67,6759.14,15.39
159,free,451,81,5305.82,13.25,77.83,5693.02,14.23
194,pro,265,61,6573.83,23.99,88.74,4439.36,13.74
170,pro,213,75,5926.32,7.56,65.83,5112.63,14.67
153,free,158,86,5162.50,20.31,80.66,5901.31,14.57
141,enterprise,293,90,4843.36,6.66,63.28,6228.37,14.45
218,free,304,54,7202.50,26.74,89.50,3942.11,13.70
198,free,466,63,6682.69,3.39,63.67,4500.93,14.00
208,free,163,58,6957.69,33.99,106.30,4225.93,13.72
119,free,195,110,4138.40,13.39,54.22,7142.54,15.40
113,free,438,110,3955.52,0.64,51.37,7334.90,15.00
215,pro,287,58,7157.51,10.94,71.72,4205.77,13.79
220,free,449,56,7241.10,50.90,115.67,4122.19,13.59
239,pro,216,39,7938.04,661.82,734.25,3487.70,11.18
99,free,506,124,3362.20,25.25,81.91,8088.13,15.33
156,free,144,92,5249.41,7.12,69.65,6478.03,14.20
168,free,465,84,5767.45,5.90,76.57,5959.99,14.09
254,free,460,33,8504.86,816.56,889.47,3222.59,10.24
217,pro,159,63,7198.30,8.37,80.66,4563.74,13.80
236,free,449,46,7802.78,651.95,724.59,3985.10,11.54
146,pro,154,96,5071.68,0.98,61.62,6728.53,14.27
176,free,484,79,6171.46,10.25,79.04,5628.75,14.04
108,enterprise,397,127,3495.24,2.74,53.41,8377.66,15.16
112,pro,208,120,3850.65,2.22,54.89,8022.25,14.96
142,free,459,105,4850.81,13.10,65.57,7154.20,14.68
223,free,512,64,7328.78,27.99,100.68,4689.44,13.65
128,pro,423,114,4385.77,22.88,83.78,7646.90,14.91
137,free,131,111,4658.52,21.24,71.72,7393.07,15.01
189,pro,378,78,6496.76,16.75,72.89,5554.83,14.04
205,free,390,71,6917.76,9.52,73.91,5133.83,13.83
261,pro,166,34,8760.43,854.49,926.93,3316.84,10.25
120,free,315,119,4162.36,14.89,71.71,7943.12,14.98
133,pro,298,111,4638.66,7.69,66.65,7466.82,14.87
143,enterprise,162,108,4984.87,7.32,61.66,7283.71,14.83
209,free,381,73,6971.51,20.17,92.49,5297.07,13.78
188,free,230,81,6463.09,6.63,73.05,5831.20,13.89
158,free,420,104,5280.16,19.75,74.73,7189.52,14.47
265,free,412,40,8885.44,890.36,963.13,3802.83,10.52
186,free,128,88,6441.18,18.23,72.33,6261.19,14.05
250,pro,336,51,8316.70,730.53,803.38,4444.37,11.48
252,free,239,50,8357.46,762.62,835.48,4403.61,11.35
212,free,218,80,6995.83,9.53,81.90,5805.43,13.78
274,free,391,38,9085.34,981.45,1054.24,3748.48,10.14
149,enterprise,357,112,5116.98,9.39,65.83,7756.70,14.44
150,pro,153,112,5125.74,0.63,57.07,7747.95,14.46
227,free,301,70,7545.31,247.77,320.51,5344.28,13.10
201,free,215,87,6767.27,32.79,99.25,6323.51,13.76
246,free,222,58,8176.83,766.95,839.29,4959.75,11.69
154,free,269,116,5178.68,4.13,64.48,8057.00,14.40
255,enterprise,301,53,8506.90,890.58,963.05,4728.78,11.21
270,pro,506,46,9042.24,879.06,951.80,4227.90,10.88
263,pro,322,49,8850.64,925.15,997.92,4492.22,10.91
264,free,267,49,8875.95,899.84,972.61,4466.90,10.97
253,free,241,56,8419.99,885.36,957.63,4934.04,11.35
278,pro,219,42,9178.66,1163.60,1236.57,4219.85,9.95
228,free,415,77,7573.27,236.41,309.16,5842.32,13.18
285,enterprise,384,38,9478.37,1228.64,1301.59,3992.94,9.52
204,pro,299,91,6913.39,13.89,78.28,6585.69,13.82
277,pro,443,47,9160.73,1011.14,1083.31,4410.87,10.66
202,pro,347,96,6787.01,13.05,79.51,6956.03,13.80
160,pro,307,123,5319.63,6.64,67.00,8469.46,14.52
213,free,458,93,7071.03,15.41,88.11,6780.96,13.71
175,free,191,109,6129.01,7.51,66.52,7795.63,13.98
167,free,191,118,5746.30,10.79,71.06,8187.74,14.41
287,pro,214,44,9560.89,1213.89,1286.15,4399.51,10.00
144,pro,405,127,5003.08,12.88,69.58,8977.59,14.15
161,free,270,124,5327.36,27.53,84.46,8669.99,14.30
185,enterprise,233,105,6418.62,2.67,61.50,7578.72,13.85
237,pro,138,78,7822.63,704.73,777.22,6355.44,12.27
222,enterprise,339,94,7298.46,58.31,131.00,6900.30,13.62
268,pro,488,59,8992.72,911.59,984.48,5206.03,11.33
303,free,437,39,10037.28,1326.01,1398.82,4161.47,9.37
240,pro,355,77,8019.34,591.11,663.86,6196.32,12.43
275,free,215,56,9088.17,1051.40,1124.15,5127.49,10.92
251,free,236,71,8336.78,751.66,823.95,5887.32,12.06
290,free,395,45,9615.99,1350.63,1422.96,4608.11,9.77
165,free,403,121,5703.95,2.75,69.41,8639.87,14.00
230,free,337,89,7622.64,307.51,379.95,6746.53,13.19
266,enterprise,189,63,8960.32,850.89,923.00,5408.85,11.65
180,pro,437,113,6320.63,22.26,84.66,8147.86,13.87
245,free,355,79,8141.32,675.84,748.34,6399.72,12.34
199,pro,197,108,6692.81,38.40,111.04,7886.94,13.69
179,enterprise,130,116,6313.18,8.06,80.73,8320.50,13.94
182,free,494,116,6361.49,2.92,59.80,8363.96,13.87
206,pro,437,108,6925.86,1.43,65.82,7806.32,13.83
256,enterprise,271,74,8534.86,862.62,935.09,6223.83,11.89
284,free,323,56,9407.67,1294.70,1367.10,5351.02,10.47
295,free,473,51,9782.93,1280.88,1353.25,4975.76,10.25
296,free,303,52,9799.18,1272.55,1345.42,5052.10,10.29
276,free,466,65,9151.95,987.63,1060.37,5718.95,11.37
305,free,209,47,10084.76,1365.56,1438.32,4786.14,9.82
207,free,218,110,6934.58,0.38,70.78,7969.15,13.80
231,free,195,94,7639.46,452.54,525.07,7264.26,12.94
229,free,477,100,7608.03,249.67,322.11,7487.07,13.36
249,free,411,85,8266.86,749.26,821.57,6900.81,12.32
315,free,148,44,10406.70,1598.30,1670.57,4787.09,9.19
269,free,433,74,9028.20,876.11,949.00,6258.34,11.82
232,free,216,99,7650.10,506.78,579.49,7708.93,12.84
190,pro,449,123,6524.56,11.58,80.04,8886.97,13.84
331,pro,295,37,10760.07,2001.00,2073.75,4692.72,7.88
224,free,218,112,7330.20,26.57,99.26,8173.93,13.70
271,free,504,77,9045.87,931.33,1003.83,6510.77,11.83
291,pro,466,63,9640.43,1351.10,1423.38,5916.21,10.65
195,free,480,124,6587.07,10.75,75.50,9011.28,13.76
241,free,473,96,8025.88,584.57,657.32,7572.47,12.68
297,free,426,62,9848.54,1296.06,1368.97,5800.76,10.69
211,pro,189,120,6983.60,8.08,80.40,8692.31,13.81
197,free,132,125,6652.40,10.17,78.82,9091.05,13.75
345,pro,404,33,11109.01,2289.51,2362.30,4685.29,7.04
343,free,402,34,11051.93,2290.92,2363.66,4764.04,7.14
267,free,208,83,8960.96,887.61,960.35,6927.56,11.98
289,pro,306,69,9587.00,1332.30,1404.53,6331.77,10.90
340,pro,444,37,10993.45,2242.24,2314.69,4925.33,7.51
247,pro,224,97,8219.79,723.99,796.33,7746.93,12.52
329,free,243,45,10749.34,1953.03,2025.37,5217.38,8.63
243,free,305,101,8093.44,578.85,651.28,7897.71,12.79
203,pro,251,127,6824.41,42.11,110.54,9239.14,13.75
216,pro,375,123,7163.82,4.63,65.41,8920.38,13.79
300,free,291,68,9968.96,1311.98,1384.37,6239.42,10.90
301,free,344,68,10013.61,1276.81,1349.68,6215.54,10.94
347,free,223,38,11153.69,2317.61,2390.35,5075.45,7.49
346,free,369,39,11145.01,2270.58,2343.29,5106.45,7.64
298,free,299,70,9918.44,1265.18,1337.45,6339.27,11.04
225,free,272,121,7486.79,31.98,104.69,8837.30,13.69
226,free,320,121,7512.75,55.50,127.84,8817.74,13.72
324,pro,298,57,10639.11,1629.46,1701.74,5764.17,9.89
286,pro,221,80,9490.24,1284.54,1356.80,7080.19,11.30
238,pro,153,112,7832.20,695.17,767.66,8810.68,12.71
282,pro,457,85,9307.98,1180.16,1253.11,7356.61,11.55
312,free,388,67,10349.86,1450.34,1523.03,6314.73,10.61
294,pro,246,78,9775.62,1263.33,1335.66,6918.69,11.27
318,free,195,64,10520.73,1530.86,1603.18,6173.58,10.37
363,pro,459,35,11502.98,2712.68,2785.48,5256.73,6.66
338,free,511,50,10865.09,2271.49,2343.96,5902.04,8.47
359,pro,242,36,11391.19,2786.88,2859.47,5396.75,6.67
262,pro,131,98,8766.41,972.60,1044.80,8073.49,12.14
320,enterprise,273,66,10541.15,1510.44,1582.76,6298.75,10.48
233,free,248,120,7672.89,547.08,619.48,9239.83,12.99
