request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
2,free,2931,94,66.31,0.00,36.31,7797.40,12.06
4,pro,5679,93,179.31,17.42,67.89,7849.55,11.85
26,free,8046,65,2025.33,115.95,198.43,6703.04,9.70
30,pro,7330,78,2165.98,55.36,126.27,8189.06,9.52
39,free,8083,72,2433.49,213.46,298.45,7921.55,9.09
48,free,6870,76,2938.87,38.50,140.32,8750.79,8.68
35,free,2563,83,2289.76,136.47,228.30,9525.50,8.71
47,free,4488,80,2922.95,54.42,156.24,9273.14,8.63
46,enterprise,7689,81,2914.68,62.70,164.52,9407.63,8.61
22,free,4151,110,1701.88,1.90,74.79,11668.42,9.43
67,free,6762,81,4711.57,50.42,149.14,9481.86,8.54
65,free,4510,84,4613.54,14.42,112.88,9792.31,8.58
18,free,6545,116,1442.99,42.05,125.29,13138.39,8.83
49,free,5394,100,3207.21,119.96,211.50,11433.57,8.75
31,free,4499,118,2182.18,39.16,110.07,12919.97,9.13
50,pro,6263,105,3208.65,118.52,210.06,12007.01,8.74
74,pro,7310,88,4898.17,30.40,141.36,10317.49,8.53
92,free,7258,78,5884.60,361.97,455.39,9709.52,8.03
90,free,3103,84,5774.40,38.65,155.18,9915.30,8.47
9,pro,5735,134,630.99,104.82,188.03,15060.24,8.90
37,free,4015,115,2395.23,31.00,122.84,13417.30,8.57
45,free,7366,109,2885.18,92.19,194.01,12927.34,8.43
5,free,5817,160,187.78,72.79,148.46,15890.83,10.07
89,free,4841,91,5765.95,47.10,163.63,10720.55,8.49
14,free,3159,146,1083.06,186.19,248.24,15627.30,9.34
82,pro,2111,96,5474.09,116.14,227.54,11346.87,8.46
64,pro,4543,106,4412.43,215.53,314.00,12426.81,8.53
36,pro,7916,124,2291.47,134.76,226.59,14575.99,8.51
116,free,6767,72,7934.25,0.59,119.75,8933.21,8.06
100,free,5116,83,6760.69,46.53,148.32,10150.84,8.18
6,pro,7904,167,258.26,62.43,125.64,16900.29,9.88
83,free,4343,103,5580.96,9.26,120.67,12008.48,8.58
112,free,5173,79,7701.30,233.54,352.70,9949.47,7.94
87,free,2926,102,5736.82,76.23,192.76,11960.78,8.53
110,pro,6237,84,7216.06,261.97,381.70,10515.38,7.99
58,free,6859,119,3880.35,13.73,122.76,14100.56,8.44
102,free,4842,94,6797.25,9.97,111.76,11393.64,8.25
12,free,4002,165,857.15,198.92,252.20,17483.33,9.44
43,pro,2482,142,2761.54,39.89,128.90,15790.40,8.99
28,pro,3267,151,2126.36,14.92,97.40,16530.62,9.13
78,free,4358,116,5292.46,125.05,205.46,13576.90,8.54
0,pro,2610,194,31.12,0.00,33.10,19042.29,10.19
20,pro,7786,161,1646.77,57.01,129.90,17426.64,9.24
54,free,2995,141,3711.23,40.74,116.34,15492.59,9.10
77,free,7207,124,5057.98,0.18,106.58,14216.41,8.72
79,pro,6761,122,5375.62,41.89,122.29,14159.52,8.62
85,pro,6320,120,5635.44,23.31,107.26,14007.60,8.57
128,free,6098,97,8771.53,10.26,129.96,10970.17,8.84
81,pro,7486,124,5433.04,157.18,268.59,14329.61,8.65
124,free,3000,100,8464.77,22.21,142.90,11392.41,8.78
134,pro,6875,69,9299.00,2516.26,2643.19,10617.63,6.50
57,enterprise,3037,139,3759.21,134.88,243.91,16367.42,8.49
44,pro,6051,158,2797.42,4.01,93.02,17342.04,9.11
121,free,5935,98,8403.83,32.31,155.44,11766.82,8.33
3,free,7516,201,96.24,0.00,82.16,20384.31,9.86
114,pro,7179,108,7927.51,7.33,126.49,12823.40,8.42
8,free,5518,183,446.96,288.85,372.06,20607.69,8.88
84,enterprise,2473,135,5630.25,28.50,112.45,15552.11,8.68
11,free,4325,195,802.89,253.18,306.46,20437.82,9.54
1,enterprise,8008,197,34.11,0.00,87.08,21615.46,9.11
62,free,4646,159,4150.16,1.22,96.51,17611.32,9.03
94,free,4051,137,6198.58,47.98,141.40,15881.10,8.63
104,free,4485,130,6829.92,79.09,187.94,15249.76,8.52
66,pro,7252,157,4696.90,65.09,163.81,17385.57,9.03
15,free,2476,201,1246.42,22.83,84.87,20927.06,9.60
131,free,5861,109,9018.26,1336.78,1455.76,13238.81,8.23
34,free,3145,192,2218.63,2.71,73.62,20521.64,9.36
32,free,7327,193,2190.04,31.30,102.21,20645.59,9.35
118,free,2666,130,8204.11,88.24,212.97,14978.22,8.68
63,free,2096,169,4398.39,229.56,328.03,18805.37,8.99
113,free,6323,134,7911.05,23.79,142.95,15366.54,8.72
103,free,7138,143,6822.68,86.33,195.18,16518.06,8.66
38,pro,4185,187,2406.76,19.46,111.30,20963.50,8.92
10,enterprise,6900,208,721.63,14.19,97.40,22739.94,9.15
29,pro,2606,201,2152.60,68.74,139.65,21416.60,9.39
132,free,2212,123,9079.67,1275.37,1394.34,14489.53,8.49
136,free,5205,105,9304.36,3017.94,3143.36,14520.12,7.23
40,free,7674,202,2480.69,166.26,251.25,21719.09,9.30
72,pro,3810,177,4834.35,94.23,205.18,19365.42,9.14
16,free,8043,224,1250.59,18.66,80.70,23076.47,9.71
68,free,8028,182,4739.97,22.01,120.73,19679.50,9.25
51,free,6418,197,3299.64,27.53,119.07,21161.38,9.31
59,free,7071,184,3888.43,5.66,114.69,20574.77,8.94
33,free,4119,215,2200.40,20.94,91.85,22609.42,9.51
71,free,2109,185,4811.66,13.24,116.92,19998.15,9.25
