request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
2,pro,2931,94,66.31,0.00,36.31,7267.24,12.93
4,enterprise,5679,93,179.31,17.42,75.45,8512.19,10.93
26,free,8046,65,2025.33,8.76,82.70,6997.49,9.29
39,free,8083,72,2433.49,23.24,111.54,7316.63,9.84
30,pro,7330,78,2165.98,16.02,93.75,8654.68,9.01
48,free,6870,76,2938.87,38.83,122.72,8459.35,8.98
35,free,2563,83,2289.76,48.10,130.71,9359.29,8.87
47,free,4488,80,2922.95,12.12,103.76,9204.97,8.69
46,enterprise,7689,81,2914.68,20.39,112.04,9332.24,8.68
22,enterprise,4151,110,1701.88,8.37,78.36,11784.69,9.33
9,pro,5735,134,630.99,12.89,90.64,13493.92,9.93
18,free,6545,116,1442.99,55.40,120.24,12696.30,9.14
67,free,6762,81,4711.57,21.35,120.90,9754.04,8.30
45,free,7366,109,2885.18,10.66,93.14,11731.23,9.29
65,free,4510,84,4613.54,25.56,119.38,10096.82,8.32
49,free,5394,100,3207.21,2.82,99.41,11636.10,8.59
31,free,4499,118,2182.18,17.91,93.75,13142.52,8.98
50,pro,6263,105,3208.65,1.38,97.97,12220.93,8.59
92,free,7258,78,5884.60,38.59,153.90,9563.47,8.16
37,free,4015,115,2395.23,25.24,110.78,13151.67,8.74
74,pro,7310,88,4898.17,38.91,146.34,10673.09,8.25
90,free,3103,84,5774.40,10.89,103.91,9924.52,8.46
64,pro,4543,106,4412.43,13.88,98.54,12042.26,8.80
36,pro,7916,124,2291.47,46.39,129.00,14193.78,8.74
89,free,4841,91,5765.95,19.34,112.36,10811.37,8.42
100,free,5116,83,6760.69,0.82,101.21,9940.86,8.35
116,free,6767,72,7934.25,4.40,117.59,8767.30,8.21
14,free,3159,146,1083.06,7.90,77.42,15619.78,9.35
5,free,5817,160,187.78,8.94,66.98,16725.96,9.57
82,pro,2111,96,5474.09,0.27,111.25,11681.67,8.22
110,pro,6237,84,7216.06,61.57,170.68,10217.87,8.22
112,free,5173,79,7701.30,11.83,121.54,9761.80,8.09
87,free,2926,102,5736.82,32.36,152.63,12141.95,8.40
58,free,6859,119,3880.35,22.17,113.15,14124.05,8.43
6,free,7904,167,258.26,2.31,88.42,17837.56,9.36
83,free,4343,103,5580.96,4.38,116.98,12543.40,8.21
102,free,4842,94,6797.25,51.54,174.31,11567.15,8.13
12,free,4002,165,857.15,6.40,82.19,17866.82,9.23
78,free,4358,116,5292.46,11.08,104.06,13594.28,8.53
43,pro,2482,142,2761.54,1.15,87.33,16397.40,8.66
28,pro,3267,151,2126.36,3.98,73.73,17073.39,8.84
20,pro,7786,161,1646.77,0.59,76.44,17958.84,8.96
79,free,6761,122,5375.62,20.90,118.14,14358.81,8.50
77,pro,7207,124,5057.98,25.06,138.47,14687.86,8.44
134,pro,6875,69,9299.00,2350.05,2469.75,10446.84,6.60
85,pro,6320,120,5635.44,14.75,133.73,14226.94,8.43
57,enterprise,3037,139,3759.21,49.95,155.27,16334.16,8.51
8,free,5518,183,446.96,2.10,72.25,19714.59,9.28
0,free,2610,194,31.12,0.00,33.10,20368.83,9.52
54,free,2995,141,3711.23,21.85,106.57,16688.72,8.45
81,pro,7486,124,5433.04,41.32,152.30,15087.54,8.22
128,free,6098,97,8771.53,40.77,163.81,11868.40,8.17
124,free,3000,100,8464.77,45.11,163.05,12231.16,8.18
121,free,5935,98,8403.83,102.69,227.00,12335.72,7.94
