request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
2,free,2931,94,66.31,0.00,36.31,7275.02,12.92
4,enterprise,5679,93,179.31,17.42,75.45,8459.08,10.99
26,free,8046,65,2025.33,8.76,82.70,7015.00,9.27
39,free,8083,72,2433.49,23.24,111.54,7417.97,9.71
30,pro,7330,78,2165.98,16.02,93.75,8699.55,8.97
48,free,6870,76,2938.87,38.83,122.72,8371.86,9.08
35,free,2563,83,2289.76,48.10,130.71,9425.49,8.81
47,free,4488,80,2922.95,12.12,103.76,9282.80,8.62
46,enterprise,7689,81,2914.68,20.39,112.04,9413.19,8.60
22,enterprise,4151,110,1701.88,8.37,78.36,11664.78,9.43
9,pro,5735,134,630.99,12.89,90.64,13479.53,9.94
18,free,6545,116,1442.99,55.40,120.24,12819.81,9.05
67,free,6762,81,4711.57,21.35,120.90,9620.07,8.42
65,pro,4510,84,4613.54,25.56,119.38,9956.99,8.44
45,free,7366,109,2885.18,10.66,93.14,11720.81,9.30
49,free,5394,100,3207.21,2.82,99.41,11783.45,8.49
31,free,4499,118,2182.18,17.91,93.75,12986.40,9.09
92,free,7258,78,5884.60,38.59,153.90,9404.61,8.29
74,pro,7310,88,4898.17,38.91,146.34,10511.04,8.37
50,pro,6263,105,3208.65,1.38,97.97,12386.32,8.48
37,free,4015,115,2395.23,25.24,110.78,13320.57,8.63
90,free,3103,84,5774.40,10.89,102.63,10009.84,8.39
64,free,4543,106,4412.43,13.88,98.54,12052.42,8.79
36,pro,7916,124,2291.47,46.39,129.00,14396.73,8.61
116,free,6767,72,7934.25,5.72,127.94,8753.95,8.22
100,free,5116,83,6760.69,0.82,101.21,9951.22,8.34
5,free,5817,160,187.78,8.94,66.98,16541.24,9.67
14,pro,3159,146,1083.06,7.90,77.42,15701.14,9.30
89,free,4841,91,5765.95,3.22,124.10,11041.01,8.24
82,pro,2111,96,5474.09,0.27,111.25,11494.44,8.35
110,pro,6237,84,7216.06,51.36,155.36,10241.24,8.20
112,free,5173,79,7701.30,60.90,179.63,9833.68,8.03
58,free,6859,119,3880.35,22.17,113.15,13933.36,8.54
83,free,4343,103,5580.96,4.38,116.98,12353.83,8.34
87,free,2926,102,5736.82,48.47,140.21,12297.75,8.29
6,free,7904,167,258.26,2.31,88.42,17901.37,9.33
102,free,4842,94,6797.25,43.67,152.47,11610.15,8.10
134,pro,6875,69,9299.00,552.46,675.82,9108.40,7.58
144,enterprise,6125,64,10006.15,859.37,980.73,8587.65,7.45
12,free,4002,165,857.15,6.40,82.19,17920.20,9.21
78,free,4358,116,5292.46,11.08,104.06,13656.47,8.49
28,pro,3267,151,2126.36,3.98,73.73,16892.15,8.94
43,pro,2482,142,2761.54,1.15,87.33,16670.89,8.52
153,free,4613,69,10325.01,985.73,1106.59,9301.81,7.42
20,pro,7786,161,1646.77,0.59,76.44,18002.72,8.94
79,pro,6761,122,5375.62,20.90,118.14,14447.06,8.44
8,pro,5518,183,446.96,2.10,72.25,19547.79,9.36
77,free,7207,124,5057.98,25.06,138.47,14976.80,8.28
85,pro,6320,120,5635.44,14.75,133.73,14518.97,8.27
0,free,2610,194,31.12,0.00,33.10,20209.58,9.60
54,pro,2995,141,3711.23,21.85,106.57,16529.47,8.53
81,pro,7486,124,5433.04,41.32,152.30,14932.48,8.30
57,enterprise,3037,139,3759.21,49.95,155.27,16634.67,8.36
145,pro,6428,72,10118.02,1597.23,1719.84,10275.86,7.01
121,free,5935,98,8403.83,29.76,145.42,12164.46,8.06
124,free,3000,100,8464.77,51.67,173.61,12149.87,8.23
128,free,6098,97,8771.53,16.64,138.83,12046.17,8.05
44,pro,6051,158,2797.42,15.25,107.99,18223.32,8.67
1,free,8008,197,34.11,0.00,87.08,21031.29,9.37
158,free,2845,74,10560.31,1645.44,1767.55,10548.28,7.02
176,pro,2854,64,12342.92,1023.74,1144.33,8771.44,7.30
114,pro,7179,108,7927.51,72.15,194.61,13463.58,8.02
84,enterprise,2473,135,5630.25,19.94,138.92,16316.95,8.27
11,free,4325,195,802.89,28.02,73.41,21265.44,9.17
3,free,7516,201,96.24,0.00,82.16,22026.58,9.13
211,pro,5299,65,13967.19,143.33,267.18,8203.72,7.92
131,free,5861,109,9018.26,22.07,143.68,13171.27,8.28
188,pro,7505,67,12926.19,1336.62,1457.90,9383.80,7.14
170,free,3728,84,11852.65,475.21,596.07,10577.67,7.94
62,free,4646,159,4150.16,17.89,103.96,18509.72,8.59
104,free,4485,130,6829.92,11.00,119.79,16016.87,8.12
94,pro,4051,137,6198.58,46.75,144.72,16769.08,8.17
203,pro,2931,72,13648.82,682.81,802.25,9479.22,7.60
214,free,4997,72,14312.68,257.86,377.45,9066.99,7.94
10,free,6900,208,721.63,0.00,79.84,22673.66,9.17
66,pro,7252,157,4696.90,36.02,135.57,18934.37,8.29
217,pro,7359,74,14396.59,209.40,333.25,9366.89,7.90
224,free,3898,74,14660.41,330.24,451.09,9208.49,8.04
15,pro,2476,201,1246.42,29.47,85.08,22741.87,8.84
63,free,2096,169,4398.39,27.91,112.58,19850.82,8.51
118,free,2666,130,8204.11,9.83,118.31,16045.10,8.10
113,free,6323,134,7911.05,2.12,122.75,16344.67,8.20
38,pro,4185,187,2406.76,13.70,99.24,21943.84,8.52
32,free,7327,193,2190.04,10.06,85.89,22189.81,8.70
202,pro,7742,75,13574.02,1594.56,1715.18,10805.82,6.94
103,enterprise,7138,143,6822.68,18.24,127.04,17591.34,8.13
34,free,3145,192,2218.63,41.09,119.23,22497.33,8.53
225,pro,5362,81,14973.58,315.63,435.64,10261.12,7.89
40,free,7674,202,2480.69,21.11,99.90,23005.63,8.78
29,pro,2606,201,2152.60,29.39,107.12,23539.74,8.54
7,pro,7932,232,298.20,14.60,82.72,25546.55,9.08
59,free,7071,184,3888.43,14.10,105.07,21956.33,8.38
72,enterprise,3810,177,4834.35,15.38,104.29,21020.24,8.42
207,enterprise,7118,88,13869.15,1540.06,1659.99,12335.84,7.13
141,pro,6148,89,9686.71,5908.26,6029.09,16623.22,5.35
233,free,6303,89,15345.78,370.02,491.54,11087.38,8.03
17,pro,3873,221,1402.69,29.38,98.91,25041.49,8.83
68,free,8028,182,4739.97,17.38,125.94,21937.99,8.30
244,free,3112,83,16246.23,218.61,342.14,10464.67,7.93
16,free,8043,224,1250.59,25.30,80.91,25549.75,8.77
51,free,6418,197,3299.64,6.98,106.24,23500.70,8.38
212,free,6753,90,13991.65,1792.60,1917.55,12820.06,7.02
33,free,4119,215,2200.40,3.35,87.67,24850.93,8.65
71,free,2109,185,4811.66,20.81,125.42,22350.80,8.28
289,pro,4561,64,19174.00,258.43,378.88,7988.48,8.01
246,free,2887,90,16353.66,334.54,453.30,11173.37,8.05
69,free,5404,190,4779.37,53.09,157.71,22990.84,8.26
115,free,3088,162,7928.73,70.94,193.39,19962.62,8.12
154,enterprise,2929,93,10357.37,6330.83,6449.59,17538.49,5.30
111,enterprise,4503,167,7461.92,13.51,118.98,20481.83,8.15
41,free,8059,217,2642.87,12.39,92.99,25368.52,8.55
255,enterprise,6261,86,17013.80,443.49,567.74,11053.07,7.78
24,free,6183,229,1856.26,18.67,99.99,26399.25,8.67
227,pro,7321,94,15090.62,1621.29,1745.49,13220.68,7.11
275,free,4750,82,18176.35,231.06,354.36,10199.55,8.04
204,pro,5049,96,13826.78,2902.24,3021.99,14663.48,6.55
101,free,7572,177,6766.19,74.73,183.53,21730.53,8.15
301,free,4529,71,20027.22,7.56,127.19,8605.53,8.25
52,free,7823,217,3380.78,10.06,96.41,25292.97,8.58
198,free,5831,100,13365.38,3441.57,3560.63,15512.11,6.45
25,free,7002,235,1857.18,17.75,99.07,27116.49,8.67
148,free,3519,100,10182.38,6601.82,6726.93,18791.29,5.32
23,free,3490,240,1829.52,10.78,84.24,27206.08,8.82
106,free,4314,181,6958.23,4.06,105.76,22077.37,8.20
108,pro,6577,180,6990.48,70.75,187.55,22102.75,8.14
306,free,6730,71,20272.03,93.49,218.05,8821.63,8.05
13,free,2484,248,1042.81,15.13,58.70,28079.07,8.83
42,free,7098,227,2705.63,16.03,107.05,26506.94,8.56
19,free,5222,241,1482.65,15.74,80.58,27883.91,8.64
93,free,5008,191,6197.10,48.24,146.20,23254.68,8.21
55,enterprise,3432,217,3732.85,0.23,84.94,25844.73,8.40
310,pro,4172,73,20574.75,39.90,164.81,9002.83,8.11
88,free,2217,198,5758.01,27.28,119.03,23934.65,8.27
21,free,5652,241,1685.82,7.14,75.35,28048.16,8.59
136,free,5205,105,9304.36,7664.17,7784.88,20515.52,5.12
283,free,5827,89,18790.20,158.74,283.53,11103.39,8.02
308,pro,7302,76,20543.85,24.44,149.14,9349.74,8.13
61,enterprise,4913,220,4075.63,6.28,92.42,25938.16,8.48
254,free,4340,104,17009.71,525.27,650.15,13170.26,7.90
293,pro,7702,87,19516.90,109.92,232.56,10790.49,8.06
201,free,7950,105,13534.55,4279.16,4400.25,17135.99,6.13
95,free,7212,203,6225.10,20.24,118.20,24683.05,8.22
278,free,5229,103,18357.32,50.08,173.39,12550.83,8.21
