request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
2,free,2931,94,66.31,0.00,36.31,7264.36,12.94
4,enterprise,5679,93,179.31,17.42,75.45,8511.44,10.93
26,free,8046,65,2025.33,8.76,82.70,6991.48,9.30
39,free,8083,72,2433.49,23.24,111.54,7211.74,9.98
30,pro,7330,78,2165.98,16.02,93.75,8645.34,9.02
48,free,6870,76,2938.87,38.83,122.72,8439.80,9.00
35,free,2563,83,2289.76,48.10,130.71,9357.01,8.87
47,free,4488,80,2922.95,12.12,103.76,9206.16,8.69
46,enterprise,7689,81,2914.68,20.39,112.04,9334.96,8.68
22,pro,4151,110,1701.88,8.37,78.36,11749.40,9.36
18,free,6545,116,1442.99,55.40,120.24,12731.82,9.11
9,pro,5735,134,630.99,12.89,90.64,13742.51,9.75
67,free,6762,81,4711.57,21.35,120.90,9711.48,8.34
65,free,4510,84,4613.54,25.56,119.38,10052.94,8.36
45,free,7366,109,2885.18,10.66,93.14,11988.26,9.09
49,free,5394,100,3207.21,2.82,99.41,11686.71,8.56
31,free,4499,118,2182.18,17.91,93.75,13092.64,9.01
92,free,7258,78,5884.60,38.59,153.90,9512.39,8.20
90,free,3103,84,5774.40,10.89,104.38,9685.47,8.67
50,pro,6263,105,3208.65,1.38,97.97,12287.39,8.55
74,free,7310,88,4898.17,38.91,146.34,10620.81,8.29
37,free,4015,115,2395.23,25.24,110.78,13220.82,8.70
89,free,4841,91,5765.95,19.34,112.83,10552.55,8.62
14,free,3159,146,1083.06,7.90,77.42,15358.17,9.51
36,pro,7916,124,2291.47,46.39,129.00,14283.30,8.68
64,free,4543,106,4412.43,13.88,98.54,12331.07,8.60
5,free,5817,160,187.78,8.94,66.98,16672.48,9.60
100,free,5116,83,6760.69,88.10,210.82,10222.15,8.12
116,pro,6767,72,7934.25,32.96,152.93,9057.48,7.95
82,pro,2111,96,5474.09,0.27,111.25,11630.87,8.25
110,free,6237,84,7216.06,57.10,162.24,10087.31,8.33
112,free,5173,79,7701.30,37.94,151.92,9904.97,7.98
87,free,2926,102,5736.82,48.47,141.96,11933.53,8.55
6,free,7904,167,258.26,2.31,88.42,17535.70,9.52
58,enterprise,6859,119,3880.35,22.17,113.15,14087.20,8.45
83,free,4343,103,5580.96,4.38,116.98,12510.11,8.23
12,free,4002,165,857.15,6.40,82.19,17548.01,9.40
102,free,4842,94,6797.25,58.92,162.00,11663.68,8.06
78,free,4358,116,5292.46,11.08,104.06,13897.91,8.35
28,pro,3267,151,2126.36,3.98,73.73,17085.42,8.84
20,free,7786,161,1646.77,0.59,76.44,17621.69,9.14
43,pro,2482,142,2761.54,1.15,87.33,16572.94,8.57
77,free,7207,124,5057.98,25.06,138.47,14877.06,8.33
79,pro,6761,122,5375.62,20.90,118.14,14670.28,8.32
85,pro,6320,120,5635.44,14.75,133.73,14419.53,8.32
8,enterprise,5518,183,446.96,2.10,72.25,19760.48,9.26
57,enterprise,3037,139,3759.21,49.95,155.27,16534.95,8.41
145,enterprise,6428,72,10118.02,1528.75,1649.32,10176.14,7.08
121,free,5935,98,8403.83,40.91,153.15,11967.14,8.19
0,free,2610,194,31.12,0.00,33.10,20424.59,9.50
54,free,2995,141,3711.23,21.85,106.57,16744.48,8.42
134,pro,6875,69,9299.00,2950.63,3070.88,11237.98,6.14
81,pro,7486,124,5433.04,41.32,152.30,15148.52,8.19
44,pro,6051,158,2797.42,15.25,107.99,17817.35,8.87
128,free,6098,97,8771.53,21.61,143.30,11843.24,8.19
124,free,3000,100,8464.77,92.21,208.95,12272.32,8.15
1,free,8008,197,34.11,0.00,87.08,21233.20,9.28
114,pro,7179,108,7927.51,39.70,159.67,13460.57,8.02
141,enterprise,6148,89,9686.71,1124.60,1243.92,11822.92,7.53
3,free,7516,201,96.24,0.00,82.16,21629.89,9.29
84,enterprise,2473,135,5630.25,19.94,138.92,16241.36,8.31
11,free,4325,195,802.89,28.02,73.41,21189.75,9.20
94,pro,4051,137,6198.58,55.06,154.41,16386.86,8.36
62,free,4646,159,4150.16,17.89,103.96,18680.86,8.51
104,free,4485,130,6829.92,26.24,129.32,16001.10,8.12
144,pro,6125,64,10006.15,5268.67,5390.84,13209.00,4.85
10,free,6900,208,721.63,0.00,79.84,22828.45,9.11
66,pro,7252,157,4696.90,36.02,135.57,19142.52,8.20
15,pro,2476,201,1246.42,29.47,85.08,22694.57,8.86
113,free,6323,134,7911.05,14.03,135.29,16153.16,8.30
118,free,2666,130,8204.11,3.06,126.20,16064.67,8.09
38,free,4185,187,2406.76,13.70,99.24,21903.01,8.54
63,free,2096,169,4398.39,27.91,112.58,19991.29,8.45
103,enterprise,7138,143,6822.68,26.10,148.83,17639.24,8.11
32,free,7327,193,2190.04,10.06,85.89,22395.71,8.62
34,free,3145,192,2218.63,41.09,119.23,22459.97,8.55
176,pro,2854,64,12342.92,4648.81,4771.70,12409.41,5.16
166,enterprise,4269,107,11467.26,661.85,782.37,13582.06,7.88
40,free,7674,202,2480.69,21.11,99.90,23127.37,8.73
29,pro,2606,201,2152.60,29.39,107.12,23513.17,8.55
72,free,3810,177,4834.35,15.38,104.29,21140.07,8.37
133,pro,5393,134,9277.32,367.91,488.81,16778.49,7.99
7,pro,7932,232,298.20,14.60,82.72,25762.42,9.01
59,free,7071,184,3888.43,14.10,105.07,22172.20,8.30
188,pro,7505,67,12926.19,5164.88,5289.37,13500.66,4.96
68,free,8028,182,4739.97,17.38,125.94,21913.88,8.31
17,pro,3873,221,1402.69,29.38,98.91,25266.47,8.75
16,free,8043,224,1250.59,25.30,80.91,25526.53,8.78
51,free,6418,197,3299.64,6.98,106.24,23477.48,8.39
33,free,4119,215,2200.40,3.35,87.67,24598.54,8.74
71,free,2109,185,4811.66,20.81,125.42,22591.45,8.19
170,pro,3728,84,11852.65,5130.19,5252.31,15550.46,5.40
111,free,4503,167,7461.92,21.53,128.20,20328.01,8.22
115,free,3088,162,7928.73,38.48,158.45,20005.28,8.10
211,pro,5299,65,13967.19,6087.78,6207.37,14032.83,4.63
69,free,5404,190,4779.37,53.09,157.71,23241.23,8.18
24,free,6183,229,1856.26,18.67,99.99,26180.25,8.75
203,pro,2931,72,13648.82,5562.96,5687.38,14494.30,4.97
41,pro,8059,217,2642.87,12.39,92.99,25623.40,8.47
101,free,7572,177,6766.19,89.98,193.06,21787.05,8.12
160,pro,3472,107,10639.27,4976.78,5096.58,17972.15,5.95
25,free,7002,235,1857.18,17.75,99.07,26917.15,8.73
52,free,7823,217,3380.78,10.06,96.41,25420.43,8.54
209,enterprise,2106,119,13943.01,430.49,555.46,14980.57,7.94
42,pro,7098,227,2705.63,16.03,107.05,26312.74,8.63
13,free,2484,248,1042.81,15.13,58.70,28056.70,8.84
23,free,3490,240,1829.52,10.78,84.24,27341.23,8.78
106,pro,4314,181,6958.23,1.01,108.12,22212.52,8.15
108,free,6577,180,6990.48,75.87,188.00,22180.28,8.12
152,pro,4908,113,10296.91,5199.13,5319.13,18925.95,5.97
93,free,5008,191,6197.10,56.55,155.90,23062.12,8.28
19,pro,5222,241,1482.65,15.74,80.58,27863.92,8.65
217,pro,7359,74,14396.59,5897.57,6018.98,14949.98,4.95
21,free,5652,241,1685.82,7.14,75.35,28032.26,8.60
88,enterprise,2217,198,5758.01,11.17,131.22,23960.07,8.26
248,enterprise,8018,108,16483.18,91.59,211.46,13234.90,8.16
55,enterprise,3432,217,3732.85,0.23,84.94,26124.37,8.31
61,enterprise,4913,220,4075.63,6.28,92.42,26078.34,8.44
225,pro,5362,81,14973.58,5482.14,5607.99,15501.72,5.23
95,free,7212,203,6225.10,28.55,127.89,24469.23,8.30
155,pro,7011,123,10381.15,5137.83,5259.72,20340.78,6.05
27,free,7415,249,2115.30,3.62,88.45,28697.37,8.68
123,pro,6321,182,8463.22,93.76,210.50,22349.45,8.14
204,pro,5049,96,13826.78,5441.67,5564.14,17220.89,5.57
129,pro,3623,182,8850.23,82.04,204.26,22487.05,8.09
244,pro,3112,83,16246.23,5263.40,5384.05,15460.51,5.37
53,free,7484,235,3584.97,19.46,121.82,28246.24,8.32
127,free,3888,191,8595.09,78.63,198.05,23394.10,8.16
227,pro,7321,94,15090.62,5446.37,5567.91,16988.41,5.53
73,free,7979,228,4838.49,11.25,100.16,27395.72,8.32
130,free,2382,192,8980.42,36.39,155.96,23346.25,8.22
299,enterprise,6667,101,19923.30,11.74,131.68,12403.37,8.14
150,pro,7183,138,10251.47,5208.40,5331.03,22092.59,6.25
76,free,5424,230,5045.81,37.24,150.65,27906.17,8.24
122,free,6590,204,8428.63,16.11,128.35,24853.44,8.21
60,pro,4060,243,3936.37,57.13,149.33,29486.87,8.24
75,pro,7275,236,5010.32,17.24,109.22,28432.82,8.30
105,pro,7336,217,6889.54,69.70,176.81,26673.13,8.14
96,free,5324,226,6417.15,35.19,136.40,27214.94,8.30
126,free,2736,205,8568.49,105.23,224.64,25063.60,8.18
218,pro,8079,109,14405.00,5889.16,6010.57,19300.21,5.65
256,enterprise,5606,136,17069.72,35.24,158.44,16845.56,8.07
99,free,4921,222,6724.39,6.18,124.39,27313.05,8.13
302,enterprise,4523,113,20057.06,150.38,274.51,14103.18,8.01
332,enterprise,4698,103,21554.04,172.08,294.81,12669.19,8.13
289,pro,4561,64,19174.00,7252.84,7374.00,15109.26,4.24
206,pro,2572,122,13851.71,5482.77,5602.86,20480.73,5.96
91,free,2965,238,5855.50,23.28,116.98,28486.37,8.35
97,free,4681,231,6553.52,0.04,102.81,27788.35,8.31
107,pro,6316,223,6976.32,90.03,202.16,27419.39,8.13
70,pro,6680,242,4789.25,43.21,147.83,29616.85,8.17
56,free,4578,254,3756.55,52.61,157.93,30702.20,8.27
143,enterprise,5067,189,9969.73,1408.94,1530.78,24682.84,7.66
255,pro,6261,86,17013.80,7254.98,7375.88,17736.92,4.85
86,free,5446,245,5647.56,2.64,121.61,29821.23,8.22
310,pro,4172,73,20574.75,6224.18,6348.02,14968.81,4.88
146,pro,6749,164,10143.35,5253.63,5375.63,25500.70,6.43
178,pro,3478,151,12576.09,4727.29,4849.60,23088.04,6.54
80,free,5253,253,5389.60,6.92,104.16,30548.16,8.28
169,pro,7835,156,11542.16,5318.10,5440.68,24598.89,6.34
266,enterprise,7779,148,17920.64,46.92,170.43,18344.52,8.07
98,pro,2457,242,6681.27,49.30,167.52,29828.47,8.11
191,pro,3061,149,13126.88,5334.05,5455.60,23404.18,6.37
222,enterprise,4324,178,14596.92,69.56,191.21,22036.27,8.08
183,pro,7059,159,12799.19,4871.15,4994.76,24189.09,6.57
117,free,6093,235,8179.56,27.60,150.74,28831.50,8.15
120,free,2850,238,8324.72,12.40,120.02,28904.21,8.23
163,pro,4597,171,10859.05,5582.17,5705.30,26369.88,6.48
260,pro,2142,106,17467.26,6922.42,7043.29,19782.00,5.36
293,pro,7702,87,19516.90,7152.27,7274.57,17853.73,4.87
240,pro,7550,140,16038.69,4576.08,4698.41,21554.88,6.50
109,pro,2065,250,7036.30,30.05,142.17,30572.91,8.18
208,enterprise,4793,192,13915.38,259.43,379.25,23839.74,8.05
361,pro,5161,67,22840.91,6505.66,6629.49,14914.21,4.49
125,free,2867,241,8507.57,49.41,166.15,29328.44,8.22
324,pro,2363,80,21278.22,6742.38,6864.90,16581.57,4.82
349,enterprise,4349,129,22384.82,446.20,566.02,16064.46,8.03
321,enterprise,5400,142,21126.63,261.45,381.64,17442.15,8.14
216,enterprise,7470,196,14327.65,95.40,217.11,24272.82,8.07
363,enterprise,3994,128,23005.96,209.19,334.02,15964.96,8.02
440,enterprise,8081,87,28411.19,142.05,266.03,10637.29,8.18
257,pro,4794,119,17166.35,7143.43,7266.36,21971.47,5.42
162,pro,4989,188,10832.95,5485.56,5608.28,28343.10,6.63
193,pro,6334,166,13142.06,6048.31,6170.50,26143.32,6.35
119,free,7260,256,8276.79,53.51,179.17,31360.91,8.16
287,pro,6739,113,19121.78,6938.85,7060.91,20834.84,5.42
393,pro,4619,77,25283.28,5529.39,5646.89,14752.14,5.22
234,pro,5840,158,15377.56,5204.00,5329.31,24702.54,6.40
210,pro,6356,166,13965.86,6080.05,6202.15,26136.57,6.35
465,enterprise,3017,84,30008.64,145.34,267.62,10210.18,8.23
386,pro,7305,90,24746.67,5110.56,5234.15,16195.40,5.56
291,pro,7291,115,19280.87,7372.98,7496.25,21735.89,5.29
247,pro,3494,152,16439.57,6391.45,6511.27,24711.58,6.15
270,pro,7121,136,18084.48,6667.85,6790.07,23066.67,5.90
286,pro,4706,127,18980.48,7075.32,7199.15,22401.59,5.67
394,pro,6814,91,25313.89,5498.78,5616.28,16437.67,5.54
271,pro,3349,134,18091.75,6957.57,7080.84,23673.87,5.66
276,pro,7316,135,18303.90,7304.16,7426.27,23548.96,5.73
241,pro,7118,177,16051.77,4685.33,4808.92,26188.66,6.76
420,enterprise,7439,122,27181.68,221.43,344.91,15230.84,8.01
219,pro,3924,182,14479.66,5891.31,6013.20,28004.36,6.50
179,enterprise,2430,236,12626.36,824.92,946.35,29907.65,7.89
398,pro,2282,96,25407.49,5929.79,6052.41,17736.69,5.41
441,enterprise,2619,118,28447.65,163.77,285.78,14953.61,7.89
348,pro,2175,120,22366.69,6651.67,6772.10,21092.14,5.69
180,pro,2457,221,12641.25,4965.02,5087.08,31521.97,7.01
501,enterprise,7003,90,32622.15,329.83,455.34,11660.39,7.72
503,enterprise,4777,91,32721.79,560.28,676.95,11598.65,7.85
223,enterprise,6167,245,14657.56,215.87,340.47,29737.29,8.24
340,pro,2869,134,21986.89,6814.31,6936.69,22756.55,5.89
317,enterprise,3645,197,21041.24,226.07,346.84,23819.19,8.27
138,pro,7163,243,9431.76,5462.15,5582.56,35481.15,6.85
339,enterprise,6595,184,21735.27,257.38,379.07,23177.64,7.94
493,enterprise,5819,107,31949.22,39.98,158.26,12985.55,8.24
355,pro,2484,133,22563.54,6607.22,6730.09,22415.16,5.93
313,pro,2245,143,20731.44,6671.67,6795.15,24267.08,5.89
356,pro,6148,126,22630.79,6592.07,6715.78,22406.28,5.62
478,pro,7479,73,30869.58,5271.46,5395.58,14252.81,5.12
362,pro,8077,129,22850.62,6495.95,6619.77,22682.28,5.69
282,pro,4812,164,18615.96,7358.46,7480.86,26957.78,6.08
253,pro,5011,173,16839.98,7224.23,7347.01,28815.21,6.00
485,pro,7364,78,31569.00,4962.05,5082.04,14124.65,5.52
395,pro,5581,122,25325.52,5722.16,5839.81,20472.37,5.96
164,pro,2610,242,11245.57,5497.92,5622.04,34567.32,7.00
319,pro,5083,143,21072.39,6927.64,7049.90,24826.90,5.76
508,pro,4994,74,32864.86,4384.41,4504.38,13068.74,5.66
262,pro,5006,175,17532.82,6929.10,7052.92,28445.41,6.15
239,pro,6181,209,15876.08,4738.69,4861.02,30167.74,6.93
369,enterprise,6728,188,23484.51,65.56,185.32,22568.94,8.33
521,pro,2638,68,33907.27,3847.85,3973.50,12355.73,5.50
328,pro,5596,150,21451.93,6814.34,6936.66,25263.90,5.94
392,pro,6233,130,25240.36,5481.57,5604.62,21475.47,6.05
504,pro,6020,79,32746.99,4481.94,4603.47,14149.58,5.58
351,pro,6886,145,22402.00,6697.51,6820.86,24836.59,5.84
318,pro,7300,164,21041.47,6892.54,7016.37,26443.21,6.20
184,pro,3614,244,12812.41,4981.54,5103.76,34690.07,7.03
359,pro,2302,151,22782.39,6476.83,6596.37,24720.10,6.11
288,pro,5773,176,19129.34,6931.29,7053.35,28565.45,6.16
468,pro,7715,98,30327.64,5141.16,5268.09,17396.04,5.63
189,pro,7448,241,12993.52,5411.64,5534.94,34755.70,6.93
372,enterprise,6126,196,23603.38,236.03,360.51,24334.73,8.05
450,pro,8106,112,29127.82,5278.29,5401.51,19052.31,5.88
541,pro,3095,73,35148.15,3989.67,4114.86,13054.13,5.59
513,pro,6569,87,33341.27,4252.30,4373.51,14898.37,5.84
391,pro,3208,146,25227.08,5467.25,5585.59,23134.88,6.31
335,enterprise,3755,215,21646.75,224.86,345.90,26918.73,7.99
481,pro,2061,105,31092.87,5172.29,5294.57,18049.89,5.82
476,pro,2833,112,30815.68,4848.44,4968.77,18533.34,6.04
469,pro,5339,116,30340.30,5203.26,5323.83,19382.68,5.98
587,enterprise,2700,98,38226.37,222.92,342.41,11744.48,8.34
451,pro,4524,127,29131.01,5327.74,5453.97,21130.04,6.01
433,pro,4010,133,27835.03,6448.23,6571.08,22765.19,5.84
353,pro,2628,182,22485.13,6685.62,6808.49,28325.42,6.43
522,pro,4828,106,33941.55,3894.46,4016.23,16896.64,6.27
342,enterprise,7410,233,22012.95,572.48,696.29,28949.42,8.05
442,enterprise,4062,183,28462.89,311.44,433.45,22499.48,8.13
380,pro,6717,172,24036.41,5681.67,5805.89,27071.90,6.35
406,pro,3064,161,26213.98,6020.22,6141.07,25083.22,6.42
221,pro,6013,251,14596.48,5859.23,5985.08,36731.71,6.83
418,pro,3825,158,27055.54,5288.52,5405.74,24530.12,6.44
437,pro,5444,142,28189.55,6152.32,6272.44,23520.48,6.04
428,pro,7120,146,27666.55,6370.89,6493.68,24267.38,6.02
531,pro,7645,111,34556.85,4043.62,4167.09,17619.37,6.30
