request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
11,free,1153,305,802.89,252.80,276.29,19176.73,15.90
31,free,1298,290,2182.18,10.04,48.78,20225.39,14.34
5,free,1160,389,187.78,81.21,103.79,22714.13,17.13
7,pro,1800,354,298.20,153.60,178.10,24327.20,14.55
54,free,1803,269,3711.23,3.01,57.55,21249.50,12.66
58,free,1623,282,3880.35,65.33,111.18,21457.88,13.14
60,pro,752,304,3936.37,9.31,55.16,23103.37,13.16
0,free,1044,456,31.12,0.00,17.44,27235.44,16.74
39,free,848,337,2433.49,2.04,44.53,25804.16,13.06
30,pro,1096,386,2165.98,26.24,64.99,27609.00,13.98
108,enterprise,1293,283,6990.48,225.90,306.21,23166.75,12.22
32,free,761,396,2190.04,2.18,40.93,28304.96,13.99
110,pro,744,302,7216.06,0.32,80.63,24444.13,12.35
111,enterprise,858,290,7461.92,476.76,554.84,24722.69,11.73
15,pro,669,430,1246.42,14.46,40.71,31229.58,13.77
93,free,1777,330,6197.10,8.25,68.97,26469.20,12.47
50,pro,961,396,3208.65,107.24,147.85,29833.87,13.27
48,free,1461,404,2938.87,7.23,55.16,31620.85,12.78
17,pro,1974,454,1402.69,89.56,127.17,34162.90,13.29
103,free,1279,377,6822.68,18.65,87.21,29248.64,12.89
6,free,786,516,258.26,41.14,63.29,35819.13,14.41
105,pro,831,387,6889.54,88.93,163.48,30009.99,12.90
123,pro,1708,340,8463.22,7.46,89.97,28517.87,11.92
13,free,688,544,1042.81,12.88,36.37,36664.41,14.84
52,free,1499,436,3380.78,333.47,388.01,34823.43,12.52
20,free,829,484,1646.77,61.79,93.97,36697.42,13.19
125,free,1947,363,8507.57,134.20,218.28,29990.85,12.10
90,free,687,434,5774.40,1.88,64.45,32982.92,13.16
126,free,854,393,8568.49,73.27,157.35,32075.96,12.25
4,free,567,640,179.31,9.14,26.24,40501.72,15.80
78,free,1913,433,5292.46,86.06,152.56,35644.88,12.15
94,pro,686,444,6198.58,6.76,67.48,34892.78,12.72
46,enterprise,1143,494,2914.68,31.43,79.36,38289.74,12.90
33,free,1896,542,2200.40,94.35,124.02,39253.82,13.81
8,enterprise,2009,565,446.96,274.89,305.59,41371.27,13.66
23,free,884,578,1829.52,30.44,60.60,40229.67,14.37
112,free,1509,433,7701.30,237.37,315.45,35041.03,12.36
65,free,1395,485,4613.54,83.96,144.75,38256.94,12.68
1,free,1279,616,34.11,0.00,19.79,43022.69,14.32
16,free,1247,564,1250.59,10.29,36.54,41987.27,13.43
35,free,773,570,2289.76,4.99,34.66,41135.21,13.86
99,free,740,480,6724.39,45.47,119.87,37524.63,12.79
