request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
11,free,1153,305,802.89,7.45,33.41,19895.88,15.33
7,free,1800,354,298.20,1.19,28.41,23008.54,15.39
31,free,1298,290,2182.18,2.01,40.67,21287.13,13.62
5,pro,1160,389,187.78,0.66,20.93,23393.91,16.63
54,free,1803,269,3711.23,7.19,56.95,21085.14,12.76
58,free,1623,282,3880.35,2.08,51.37,22201.66,12.70
60,pro,752,304,3936.37,7.19,53.75,23699.33,12.83
39,free,848,337,2433.49,4.37,44.87,25590.14,13.17
0,pro,1044,456,31.12,0.00,17.44,28441.07,16.03
108,enterprise,1293,283,6990.48,2.72,78.98,23582.45,12.00
111,enterprise,858,290,7461.92,11.24,72.92,23979.03,12.09
30,pro,1096,386,2165.98,18.21,56.87,29423.75,13.12
32,free,761,396,2190.04,27.19,61.05,29434.03,13.45
110,pro,744,302,7216.06,5.95,84.04,25221.42,11.97
15,free,669,430,1246.42,11.63,38.70,31277.24,13.75
93,free,1777,330,6197.10,12.54,87.97,27164.82,12.15
48,free,1461,404,2938.87,15.75,56.91,30627.99,13.19
17,pro,1974,454,1402.69,3.42,30.78,32867.99,13.81
50,pro,961,396,3208.65,16.36,63.25,31358.10,12.63
6,free,786,516,258.26,10.73,31.45,34949.75,14.76
123,free,1708,340,8463.22,24.58,101.06,28588.70,11.89
52,free,1499,436,3380.78,6.07,53.41,34777.19,12.54
103,enterprise,1279,377,6822.68,6.18,76.39,31551.17,11.95
20,pro,829,484,1646.77,6.30,37.18,36849.52,13.13
105,pro,831,387,6889.54,4.83,85.90,32028.59,12.08
125,free,1947,363,8507.57,56.71,135.40,30589.47,11.87
78,free,1913,433,5292.46,0.69,57.18,35742.85,12.11
46,free,1143,494,2914.68,1.03,39.95,38221.02,12.92
8,pro,2009,565,446.96,4.84,30.38,41147.59,13.73
90,free,687,434,5774.40,6.81,78.19,35852.95,12.11
126,free,854,393,8568.49,74.47,157.03,33160.81,11.85
13,free,688,544,1042.81,1.33,28.13,40723.28,13.36
94,free,686,444,6198.58,11.05,86.48,36787.06,12.07
65,free,1395,485,4613.54,15.07,64.61,39152.00,12.39
16,free,1247,564,1250.59,7.46,34.53,42586.96,13.24
33,free,1896,542,2200.40,16.83,50.69,41924.48,12.93
1,free,1279,616,34.11,0.00,19.79,44133.37,13.96
112,free,1509,433,7701.30,6.69,82.87,36509.29,11.86
77,free,1330,477,5057.98,18.59,72.72,39409.47,12.10
4,pro,567,640,179.31,9.14,29.40,44688.21,14.32
71,free,1889,498,4811.66,18.37,71.94,40394.56,12.33
99,free,740,480,6724.39,13.47,90.80,39930.25,12.02
23,free,884,578,1829.52,2.22,31.44,44996.05,12.85
14,free,995,628,1083.06,4.96,30.63,46239.83,13.58
35,free,773,570,2289.76,0.64,36.86,45047.25,12.65
85,pro,1557,511,5635.44,0.58,61.14,42592.46,12.00
9,pro,1421,666,630.99,5.63,29.29,48302.25,13.79
131,free,517,302,9018.26,14563.43,14647.46,40168.78,7.52
40,free,866,599,2480.69,10.52,47.23,47197.05,12.69
36,pro,1058,602,2291.47,8.72,49.32,48059.89,12.53
91,free,1356,543,5855.50,4.95,64.55,44771.87,12.13
119,free,1885,523,8276.79,3.42,71.94,44047.17,11.87
53,free,1986,601,3584.97,14.34,57.06,48748.36,12.33
134,pro,969,293,9299.00,18336.70,18421.33,43376.14,6.75
55,enterprise,802,611,3732.85,5.49,48.51,49013.14,12.47
42,pro,1757,625,2705.63,0.96,44.11,50487.72,12.38
95,pro,1734,569,6225.10,16.93,79.76,47817.06,11.90
69,free,1147,619,4779.37,3.80,52.39,51312.59,12.06
76,free,920,614,5045.81,30.77,84.90,51131.63,12.01
89,free,933,617,5765.95,15.26,86.64,51545.67,11.97
29,pro,1128,707,2152.60,1.04,34.88,55163.87,12.82
104,free,1064,600,6829.92,18.85,91.06,50749.41,11.82
64,pro,1744,657,4412.43,26.54,73.93,53580.97,12.26
132,free,1139,394,9079.67,15716.70,15799.26,49098.54,8.02
67,free,605,655,4711.57,16.12,67.29,53619.64,12.22
121,free,1330,594,8403.83,13.44,83.97,50096.20,11.86
34,free,980,720,2218.63,2.58,37.17,57866.86,12.44
49,free,932,701,3207.21,17.81,64.70,57568.82,12.18
138,pro,877,346,9431.76,22009.18,22094.10,51348.94,6.74
86,free,1055,660,5647.56,2.11,67.87,55217.36,11.95
72,free,1696,674,4834.35,25.95,84.08,56461.79,11.94
152,pro,1204,264,10296.91,28621.22,28705.73,51261.83,5.15
70,enterprise,1653,683,4789.25,11.11,71.20,56856.04,12.01
127,free,1473,633,8595.09,47.87,130.43,53455.17,11.84
80,free,852,674,5389.60,10.67,74.94,56684.76,11.89
28,pro,1278,745,2126.36,23.25,57.83,60206.70,12.37
3,free,1836,822,96.24,0.00,25.36,62239.25,13.21
59,free,1672,713,3888.43,10.12,55.14,58620.98,12.16
24,free,950,766,1856.26,4.70,37.40,61251.32,12.51
63,free,1930,712,4398.39,9.48,65.22,59137.99,12.04
62,free,1018,730,4150.16,18.79,63.76,59507.20,12.27
51,free,730,746,3299.64,18.82,58.92,60837.26,12.26
68,enterprise,1507,714,4739.97,2.48,60.39,59478.39,12.00
117,free,1991,665,8179.56,34.35,100.65,56070.66,11.86
2,free,1548,868,66.31,0.00,22.48,64498.79,13.46
82,pro,1176,705,5474.09,45.05,103.49,59176.45,11.91
75,free,909,716,5010.32,15.90,66.25,59810.60,11.97
118,free,1759,678,8204.11,9.81,76.10,57143.76,11.86
44,pro,566,789,2797.42,7.41,44.36,63055.08,12.51
10,free,1296,859,721.63,5.40,28.68,65722.20,13.07
88,enterprise,1122,724,5758.01,23.20,94.58,60754.19,11.92
41,pro,947,812,2642.87,19.50,55.10,64810.48,12.53
26,free,1913,833,2025.33,0.13,32.16,65596.28,12.70
153,free,681,338,10325.01,28772.03,28856.86,57380.47,5.89
25,free,1075,830,1857.18,3.78,36.48,66696.53,12.44
45,free,1373,809,2885.18,5.70,50.73,66263.18,12.21
120,free,1143,715,8324.72,2.12,84.41,60832.91,11.75
96,free,722,747,6417.15,13.38,77.95,63098.69,11.84
73,free,1305,771,4838.49,21.82,79.94,64839.68,11.89
79,pro,1811,763,5375.62,24.65,88.92,64389.07,11.85
171,free,1205,268,11873.95,35448.94,35533.60,58104.93,4.61
19,pro,1874,869,1482.65,5.57,35.83,68547.39,12.68
27,free,719,844,2115.30,1.90,34.32,68684.62,12.29
66,pro,1706,788,4696.90,1.71,55.60,66189.30,11.91
92,free,1385,773,5884.60,30.18,96.56,65430.34,11.81
165,free,1562,325,11407.90,32802.70,32888.31,60589.74,5.36
21,free,726,888,1685.82,6.63,34.47,71284.66,12.46
22,pro,1683,912,1701.88,5.12,34.02,71653.60,12.73
139,free,1266,487,9448.25,22141.47,22226.20,64007.95,7.61
61,pro,1552,838,4075.63,4.04,55.56,70067.68,11.96
98,pro,857,806,6681.27,11.17,79.38,68229.30,11.81
175,free,911,305,12258.01,36929.02,37013.67,62701.51,4.86
155,pro,685,402,10381.15,30754.54,30839.31,64747.81,6.21
101,free,534,809,6766.19,12.29,82.59,68745.40,11.77
137,free,531,526,9317.05,21255.88,21340.56,66451.95,7.92
122,free,652,803,8428.63,59.17,135.65,67801.11,11.84
106,pro,1090,825,6958.23,11.06,83.20,69921.65,11.80
133,pro,2013,597,9277.32,16804.69,16889.17,68036.38,8.77
178,pro,1642,318,12576.09,38051.28,38136.01,64927.49,4.90
183,pro,650,287,12799.19,40394.15,40479.90,65114.76,4.41
56,free,796,895,3756.55,11.63,64.89,74331.14,12.04
37,free,1703,930,2395.23,3.86,42.63,76034.87,12.23
18,free,1468,956,1442.99,4.08,33.48,77070.86,12.40
142,free,1650,543,9701.62,22822.04,22905.82,69154.24,7.85
97,free,866,863,6553.52,6.15,72.53,73069.71,11.81
148,free,1686,505,10182.38,26869.54,26954.64,69617.35,7.25
100,free,1613,861,6760.69,17.79,88.09,73202.79,11.76
185,enterprise,1561,280,12837.25,43254.71,43340.18,67216.01,4.17
107,pro,1449,863,6976.32,16.88,93.14,73411.69,11.76
141,enterprise,1752,559,9686.71,22750.77,22835.82,70785.99,7.90
136,free,1620,614,9304.36,19167.83,19252.48,71175.95,8.63
12,free,684,1009,857.15,5.13,31.08,80290.76,12.57
168,free,1893,425,11534.91,33671.31,33755.86,69624.56,6.10
179,enterprise,652,341,12626.36,39697.61,39781.99,68533.10,4.98
57,enterprise,828,943,3759.21,8.98,62.23,78415.32,12.03
188,pro,770,296,12926.19,44390.29,44474.87,69420.00,4.26
176,pro,1914,385,12342.92,37334.82,37420.34,70285.76,5.48
102,pro,729,906,6797.25,17.95,97.12,76398.98,11.86
38,pro,1002,996,2406.76,13.81,49.12,81080.80,12.28
84,enterprise,731,944,5630.25,4.26,59.68,78589.59,12.01
114,pro,1108,907,7927.51,9.06,91.35,77107.41,11.76
43,pro,1535,1001,2761.54,0.67,43.55,82479.67,12.14
83,free,1050,950,5580.96,4.86,68.71,79915.01,11.89
