request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
11,free,1153,305,802.89,7.45,33.41,19895.88,15.33
7,pro,1800,354,298.20,1.19,28.41,23008.54,15.39
31,free,1298,290,2182.18,2.01,40.67,21287.81,13.62
5,free,1160,389,187.78,0.66,20.93,23393.91,16.63
54,free,1803,269,3711.23,7.19,56.95,21089.99,12.75
58,free,1623,282,3880.35,2.08,51.37,22207.24,12.70
60,pro,752,304,3936.37,7.19,53.75,23699.33,12.83
39,enterprise,848,337,2433.49,4.37,44.87,25614.86,13.16
0,free,1044,456,31.12,0.00,17.44,28444.29,16.03
108,free,1293,283,6990.48,2.72,78.98,23573.71,12.00
111,free,858,290,7461.92,11.24,72.92,23977.91,12.09
30,free,1096,386,2165.98,18.21,56.87,29414.67,13.12
32,free,761,396,2190.04,27.19,61.05,29429.38,13.46
110,pro,744,302,7216.06,5.95,84.04,25210.52,11.98
15,pro,669,430,1246.42,11.63,38.70,31320.60,13.73
93,free,1777,330,6197.10,12.54,87.97,27212.07,12.13
48,free,1461,404,2938.87,15.75,56.91,30625.18,13.19
17,pro,1974,454,1402.69,3.42,30.78,32860.14,13.82
50,pro,961,396,3208.65,16.36,63.25,31338.89,12.64
6,free,786,516,258.26,10.73,31.45,34942.99,14.77
123,pro,1708,340,8463.22,24.58,101.06,28586.51,11.89
52,free,1499,436,3380.78,6.07,53.41,34845.27,12.51
103,enterprise,1279,377,6822.68,6.18,76.39,31545.09,11.95
20,pro,829,484,1646.77,6.30,37.18,36819.82,13.15
105,pro,831,387,6889.54,4.83,85.90,32100.07,12.06
125,free,1947,363,8507.57,56.71,135.40,30589.63,11.87
78,free,1913,433,5292.46,0.69,57.18,35733.78,12.12
46,enterprise,1143,494,2914.68,1.03,39.95,38229.79,12.92
8,enterprise,2009,565,446.96,4.84,30.38,41100.90,13.75
90,free,687,434,5774.40,6.81,78.19,35941.24,12.08
13,free,688,544,1042.81,1.33,28.13,40676.04,13.37
126,free,854,393,8568.49,74.47,157.03,33173.49,11.85
94,pro,686,444,6198.58,11.05,86.48,36886.52,12.04
65,free,1395,485,4613.54,15.07,64.61,39178.34,12.38
16,free,1247,564,1250.59,7.46,34.53,42689.97,13.21
33,free,1896,542,2200.40,16.83,50.69,41911.71,12.93
1,free,1279,616,34.11,0.00,19.79,44085.18,13.97
112,pro,1509,433,7701.30,6.69,82.87,36496.56,11.86
77,free,1330,477,5057.98,18.59,72.72,39396.66,12.11
4,enterprise,567,640,179.31,9.14,29.40,44720.49,14.31
71,free,1889,498,4811.66,18.37,71.94,40429.60,12.32
99,free,740,480,6724.39,13.47,90.80,40042.61,11.99
23,free,884,578,1829.52,2.22,31.44,45109.21,12.81
14,free,995,628,1083.06,4.96,30.63,46285.33,13.57
35,free,773,570,2289.76,0.64,36.86,45163.31,12.62
85,pro,1557,511,5635.44,0.58,61.14,42597.02,12.00
9,pro,1421,666,630.99,5.63,29.29,48360.64,13.77
40,free,866,599,2480.69,10.52,47.23,47213.83,12.69
36,pro,1058,602,2291.47,8.72,49.32,48026.21,12.53
91,free,1356,543,5855.50,4.95,64.55,44847.68,12.11
53,pro,1986,601,3584.97,14.34,57.06,48781.95,12.32
119,free,1885,523,8276.79,3.42,71.94,44142.07,11.85
55,enterprise,802,611,3732.85,5.49,48.51,49112.67,12.44
42,pro,1757,625,2705.63,0.96,44.11,50472.18,12.38
95,free,1734,569,6225.10,16.93,79.76,47862.73,11.89
69,free,1147,619,4779.37,3.80,52.39,51368.79,12.05
76,free,920,614,5045.81,30.77,84.90,51188.10,11.99
179,enterprise,652,341,12626.36,15009.35,15093.88,44207.26,7.71
29,pro,1128,707,2152.60,1.04,34.88,55307.91,12.78
89,free,933,617,5765.95,15.26,86.64,51722.78,11.93
104,free,1064,600,6829.92,18.85,91.06,50762.13,11.82
64,pro,1744,657,4412.43,26.54,73.93,53732.36,12.23
67,free,605,655,4711.57,16.12,67.29,53774.22,12.18
121,free,1330,594,8403.83,13.44,83.97,50252.06,11.82
34,pro,980,720,2218.63,2.58,37.17,58053.85,12.40
49,enterprise,932,701,3207.21,17.81,64.70,57592.78,12.17
86,free,1055,660,5647.56,2.11,67.87,55409.13,11.91
72,free,1696,674,4834.35,25.95,84.08,56487.28,11.93
70,enterprise,1653,683,4789.25,11.11,71.20,57050.62,11.97
80,free,852,674,5389.60,10.67,74.94,56710.20,11.88
127,free,1473,633,8595.09,47.87,130.43,53631.61,11.80
28,pro,1278,745,2126.36,23.25,57.83,60232.18,12.37
3,free,1836,822,96.24,0.00,25.36,62437.98,13.17
59,free,1672,713,3888.43,10.12,55.14,58710.77,12.14
24,free,950,766,1856.26,4.70,37.40,61455.10,12.46
63,free,1930,712,4398.39,9.48,65.22,59344.36,12.00
62,free,1018,730,4150.16,18.79,63.76,59690.49,12.23
51,free,730,746,3299.64,18.82,58.92,60933.80,12.24
68,free,1507,714,4739.97,2.48,60.39,59689.51,11.96
117,free,1991,665,8179.56,34.35,100.65,56256.06,11.82
2,free,1548,868,66.31,0.00,22.48,64598.67,13.44
82,pro,1176,705,5474.09,45.05,103.49,59277.00,11.89
75,pro,909,716,5010.32,15.90,66.25,59912.78,11.95
118,free,1759,678,8204.11,9.81,76.10,57329.75,11.83
44,pro,566,789,2797.42,7.41,44.36,63241.12,12.48
10,free,1296,859,721.63,5.40,28.68,65832.00,13.05
88,enterprise,1122,724,5758.01,23.20,94.58,60985.32,11.87
41,pro,947,812,2642.87,19.50,55.10,64991.87,12.49
26,enterprise,1913,833,2025.33,0.13,32.16,65777.38,12.66
25,free,1075,830,1857.18,3.78,36.48,66949.53,12.40
120,free,1143,715,8324.72,2.12,84.41,60879.50,11.74
45,free,1373,809,2885.18,5.70,50.73,66521.70,12.16
96,free,722,747,6417.15,13.38,77.95,63221.81,11.82
73,free,1305,771,4838.49,21.82,79.94,64887.66,11.88
79,pro,1811,763,5375.62,24.65,88.92,64437.13,11.84
423,enterprise,1516,362,27416.34,11680.85,11766.04,42474.99,8.52
223,enterprise,1307,459,14657.56,15906.62,15991.27,55414.12,8.28
19,pro,1874,869,1482.65,5.57,35.83,68672.19,12.65
27,free,719,844,2115.30,1.90,34.32,68731.29,12.28
299,enterprise,960,439,19923.30,13640.76,13725.58,50972.06,8.61
66,pro,1706,788,4696.90,1.71,55.60,66235.77,11.90
366,enterprise,1130,380,23359.87,15007.90,15093.51,47650.39,7.97
141,enterprise,1752,559,9686.71,13620.04,13702.98,61347.95,9.11
92,free,1385,773,5884.60,30.18,96.56,65475.99,11.81
21,free,726,888,1685.82,6.63,34.47,71569.38,12.41
22,free,1683,912,1701.88,5.12,34.02,71791.95,12.70
61,enterprise,1552,838,4075.63,4.04,55.56,70108.75,11.95
349,enterprise,1951,426,22384.82,15841.22,15926.02,52494.22,8.12
98,pro,857,806,6681.27,11.17,79.38,68361.48,11.79
687,enterprise,1920,289,44713.35,5989.83,6075.52,30454.73,9.49
101,free,534,809,6766.19,12.29,82.59,68784.34,11.76
122,free,652,803,8428.63,59.17,135.65,67911.96,11.82
599,enterprise,1387,376,38958.25,5941.55,6026.90,37802.13,9.95
106,pro,1090,825,6958.23,11.06,83.20,70068.13,11.77
209,enterprise,1039,575,13943.01,14105.33,14188.75,63326.83,9.08
56,free,796,895,3756.55,11.63,64.89,74622.13,11.99
18,free,1468,956,1442.99,4.08,33.48,77099.12,12.40
37,free,1703,930,2395.23,3.86,42.63,76325.40,12.18
97,free,866,863,6553.52,6.15,72.53,73227.82,11.79
100,free,1613,861,6760.69,17.79,88.09,73235.19,11.76
625,enterprise,1926,380,40457.30,6995.76,7081.70,39710.85,9.57
107,pro,1449,863,6976.32,16.88,93.14,73445.86,11.75
12,pro,684,1009,857.15,5.13,31.08,80331.48,12.56
302,enterprise,1882,556,20057.06,14205.77,14291.03,61966.30,8.97
57,enterprise,828,943,3759.21,8.98,62.23,78703.78,11.98
568,enterprise,1967,455,37028.78,7083.32,7169.08,46196.47,9.85
102,free,729,906,6797.25,17.95,97.12,76684.98,11.81
38,pro,1002,996,2406.76,13.81,49.12,81247.11,12.26
234,enterprise,1057,620,15377.56,16062.27,16147.12,68614.29,9.04
84,enterprise,731,944,5630.25,4.26,59.68,78615.54,12.01
114,free,1108,907,7927.51,9.06,91.35,77269.53,11.74
43,pro,1535,1001,2761.54,0.67,43.55,82757.18,12.10
83,free,1050,950,5580.96,4.86,68.71,80191.63,11.85
47,free,1129,1016,2922.95,9.36,47.93,83648.61,12.15
152,pro,1204,264,10296.91,54132.57,54218.14,76658.96,3.44
81,free,737,969,5433.04,28.89,90.83,81776.91,11.85
124,free,1506,935,8464.77,23.03,99.50,78997.27,11.84
134,pro,969,293,9299.00,53235.21,53321.52,78250.09,3.74
881,enterprise,602,309,58411.07,2910.56,2996.99,29427.18,10.50
321,enterprise,1400,619,21126.63,14074.62,14160.03,67249.17,9.20
109,pro,948,963,7036.30,5.13,79.16,81940.21,11.75
266,enterprise,1790,661,17920.64,14646.38,14730.55,71238.97,9.28
501,enterprise,1642,569,32622.15,9093.50,9179.01,57889.37,9.83
565,enterprise,1456,544,36771.60,7168.97,7254.46,53823.99,10.11
74,pro,1435,1016,4898.17,20.26,80.45,85863.30,11.83
87,free,1414,1019,5736.82,8.56,66.09,85034.85,11.98
672,enterprise,1346,490,43734.86,5959.66,6045.72,48079.32,10.19
138,pro,877,346,9431.76,53167.44,53253.36,82898.77,4.17
149,enterprise,1907,793,10233.97,14567.26,14650.33,82210.51,9.65
175,pro,911,305,12258.01,54295.61,54381.14,80503.10,3.79
183,pro,650,287,12799.19,56007.52,56093.23,80401.17,3.57
185,pro,1561,280,12837.25,56569.62,56655.21,80363.11,3.48
116,free,1583,1004,7934.25,2.32,84.61,85603.47,11.73
113,free,1685,1007,7911.05,14.17,94.48,85858.83,11.73
662,enterprise,1922,535,42829.38,6162.25,6247.73,51423.05,10.40
206,pro,1414,277,13851.71,57158.55,57244.12,80976.27,3.42
115,free,1546,1021,7928.73,7.84,90.14,87070.96,11.73
188,pro,770,296,12926.19,56799.96,56886.57,82127.32,3.60
424,enterprise,1150,633,27432.99,13593.26,13678.80,67994.94,9.31
622,enterprise,2036,569,40315.49,7052.90,7138.24,55209.90,10.31
135,enterprise,1564,885,9299.41,11399.37,11483.18,87209.90,10.15
155,pro,685,402,10381.15,54054.47,54138.89,87932.06,4.57
204,pro,828,321,13826.78,57105.88,57191.44,84561.84,3.80
144,enterprise,695,883,10006.15,13575.54,13659.62,88391.69,9.99
320,enterprise,1366,744,21082.31,13465.24,13550.21,77391.74,9.61
505,enterprise,1507,662,32763.23,8955.62,9041.22,65880.89,10.05
