request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
11,free,1153,305,802.89,7.45,33.41,19895.88,15.33
7,pro,1800,354,298.20,1.19,28.41,23008.54,15.39
31,free,1298,290,2182.18,2.01,40.67,21284.10,13.63
5,free,1160,389,187.78,0.66,20.93,23393.91,16.63
54,pro,1803,269,3711.23,7.19,56.95,21086.91,12.76
58,free,1623,282,3880.35,2.08,51.37,22190.79,12.71
60,pro,752,304,3936.37,7.19,53.75,23699.33,12.83
39,free,848,337,2433.49,4.37,44.87,25590.31,13.17
0,free,1044,456,31.12,0.00,17.44,28457.33,16.02
108,enterprise,1293,283,6990.48,2.72,78.98,23543.88,12.02
111,enterprise,858,290,7461.92,11.24,72.92,24004.45,12.08
30,pro,1096,386,2165.98,18.21,56.87,29379.34,13.14
32,free,761,396,2190.04,27.19,61.05,29430.87,13.46
110,pro,744,302,7216.06,5.95,84.04,25172.63,12.00
15,pro,669,430,1246.42,11.63,38.70,31277.20,13.75
93,free,1777,330,6197.10,12.54,87.97,27165.45,12.15
48,free,1461,404,2938.87,15.75,56.91,30657.66,13.18
17,pro,1974,454,1402.69,3.42,30.78,32857.03,13.82
50,pro,961,396,3208.65,16.36,63.25,31290.69,12.66
6,free,786,516,258.26,10.73,31.45,34936.76,14.77
123,pro,1708,340,8463.22,24.58,101.06,28623.31,11.88
52,free,1499,436,3380.78,6.07,53.41,34754.45,12.55
103,enterprise,1279,377,6822.68,6.18,76.39,31528.57,11.96
20,pro,829,484,1646.77,6.30,37.18,36755.63,13.17
105,pro,831,387,6889.54,4.83,85.90,32001.39,12.09
125,free,1947,363,8507.57,56.71,135.40,30620.11,11.85
78,free,1913,433,5292.46,0.69,57.18,35716.06,12.12
46,enterprise,1143,494,2914.68,1.03,39.95,38247.97,12.92
8,enterprise,2009,565,446.96,4.84,30.38,41020.24,13.77
90,free,687,434,5774.40,6.81,78.19,35811.81,12.12
13,pro,688,544,1042.81,1.33,28.13,40594.49,13.40
126,free,854,393,8568.49,74.47,157.03,33187.44,11.84
94,free,686,444,6198.58,11.05,86.48,36738.55,12.09
152,pro,1204,264,10296.91,10401.86,10485.56,32704.71,8.07
16,free,1247,564,1250.59,7.46,34.53,42531.24,13.26
65,free,1395,485,4613.54,15.07,64.61,39175.92,12.38
1,free,1279,616,34.11,0.00,19.79,43989.13,14.00
33,free,1896,542,2200.40,16.83,50.69,41893.02,12.94
112,free,1509,433,7701.30,6.69,82.87,36477.67,11.87
77,pro,1330,477,5057.98,18.59,72.72,39377.34,12.11
4,enterprise,567,640,179.31,9.14,29.40,44714.55,14.31
71,free,1889,498,4811.66,18.37,71.94,40423.24,12.32
171,free,1205,268,11873.95,11432.80,11515.57,33852.67,7.92
99,free,740,480,6724.39,13.47,90.80,39848.53,12.05
228,free,1089,273,15146.55,8319.73,8403.61,31434.93,8.68
23,free,884,578,1829.52,2.22,31.44,44912.42,12.87
206,pro,1414,277,13851.71,9729.97,9814.29,33250.06,8.33
386,pro,692,267,24746.67,51.47,133.99,22418.73,11.91
35,free,773,570,2289.76,0.64,36.86,44960.40,12.68
14,free,995,628,1083.06,4.96,30.63,46272.82,13.57
85,free,1557,511,5635.44,0.58,61.14,42570.61,12.00
371,free,1149,269,23602.02,2469.12,2553.08,25290.54,10.64
9,pro,1421,666,630.99,5.63,29.29,48332.61,13.78
40,free,866,599,2480.69,10.52,47.23,47186.93,12.69
36,free,1058,602,2291.47,8.72,49.32,47887.51,12.57
91,free,1356,543,5855.50,4.95,64.55,44795.79,12.12
259,pro,754,278,17438.92,10196.79,10281.35,33953.30,8.19
361,pro,1684,278,22840.91,5182.89,5265.95,28579.83,9.73
185,enterprise,1561,280,12837.25,15651.20,15736.11,39415.89,7.10
119,free,1885,523,8276.79,3.42,71.94,44060.35,11.87
53,free,1986,601,3584.97,14.34,57.06,48757.19,12.33
55,enterprise,802,611,3732.85,5.49,48.51,49021.72,12.46
42,pro,1757,625,2705.63,0.96,44.11,50312.93,12.42
95,free,1734,569,6225.10,16.93,79.76,47836.65,11.89
183,pro,650,287,12799.19,17735.16,17819.35,42194.39,6.80
441,enterprise,582,287,28447.65,3018.72,3103.80,27324.95,10.50
69,pro,1147,619,4779.37,3.80,52.39,51340.69,12.06
76,free,920,614,5045.81,30.77,84.90,51160.19,12.00
443,free,1418,292,28532.15,3013.17,3097.47,27922.40,10.46
134,pro,969,293,9299.00,22321.91,22406.88,47421.73,6.18
89,free,933,617,5765.95,15.26,86.64,51367.94,12.01
29,pro,1128,707,2152.60,1.04,34.88,55134.78,12.82
104,free,1064,600,6829.92,18.85,91.06,50569.97,11.86
188,pro,770,296,12926.19,19462.50,19546.81,44731.83,6.62
307,pro,1877,300,20344.70,12178.91,12262.76,37561.35,7.99
64,pro,1744,657,4412.43,26.54,73.93,53546.94,12.27
530,free,1419,269,34526.98,668.04,753.16,23740.18,11.33
67,free,605,655,4711.57,16.12,67.29,53583.31,12.22
121,free,1330,594,8403.83,13.44,83.97,50059.20,11.87
525,free,1450,283,34149.55,110.17,195.14,24375.92,11.61
131,free,517,302,9018.26,24344.29,24427.74,49915.39,6.05
298,free,538,302,19836.87,13759.66,13844.58,39297.43,7.68
556,free,771,262,36174.01,912.52,997.45,23044.36,11.37
34,free,980,720,2218.63,2.58,37.17,57658.57,12.49
476,free,1575,302,30815.68,3683.66,3768.28,29519.01,10.23
49,free,932,701,3207.21,17.81,64.70,57387.05,12.22
86,free,1055,660,5647.56,2.11,67.87,55000.37,12.00
72,free,1696,674,4834.35,25.95,84.08,56277.38,11.98
70,enterprise,1653,683,4789.25,11.11,71.20,56629.66,12.06
80,free,852,674,5389.60,10.67,74.94,56497.16,11.93
127,free,1473,633,8595.09,47.87,130.43,53398.73,11.85
3,free,1836,822,96.24,0.00,25.36,62006.26,13.26
28,free,1278,745,2126.36,23.25,57.83,60018.16,12.41
59,free,1672,713,3888.43,10.12,55.14,58679.18,12.15
24,free,950,766,1856.26,4.70,37.40,61011.88,12.55
63,free,1930,712,4398.39,9.48,65.22,58893.88,12.09
593,free,1393,288,38696.62,194.31,278.39,24680.12,11.67
62,free,1018,730,4150.16,18.79,63.76,59443.57,12.28
504,free,1635,302,32746.99,5388.24,5472.17,31052.48,9.73
631,free,1189,266,40736.14,272.38,357.89,23122.50,11.50
68,free,1507,714,4739.97,2.48,60.39,59227.85,12.06
117,free,1991,665,8179.56,34.35,100.65,56003.36,11.87
51,enterprise,730,746,3299.64,18.82,58.92,60902.67,12.25
346,enterprise,1894,304,22290.03,16061.23,16146.80,42170.55,7.21
175,free,911,305,12258.01,26144.38,26229.34,52295.56,5.83
2,free,1548,868,66.31,0.00,22.48,64565.49,13.44
82,pro,1176,705,5474.09,45.05,103.49,59242.80,11.90
75,pro,909,716,5010.32,15.90,66.25,59876.03,11.96
240,pro,718,308,16038.69,23088.99,23173.67,49065.86,6.28
118,free,1759,678,8204.11,9.81,76.10,57068.69,11.88
44,pro,566,789,2797.42,7.41,44.36,62979.38,12.53
88,enterprise,1122,724,5758.01,23.20,94.58,60474.11,11.97
10,free,1296,859,721.63,5.40,28.68,65770.17,13.06
391,free,1030,309,25227.08,15935.57,16020.30,41977.56,7.36
41,pro,947,812,2642.87,19.50,55.10,64730.01,12.54
26,free,1913,833,2025.33,0.13,32.16,65515.87,12.71
585,free,1704,309,38208.82,3258.38,3343.43,29793.70,10.37
25,free,1075,830,1857.18,3.78,36.48,66389.80,12.50
680,pro,1845,278,44204.84,230.48,315.97,24059.74,11.55
217,pro,1012,315,14396.59,27189.62,27273.97,53934.37,5.84
250,pro,670,318,16633.40,25122.53,25207.15,51914.72,6.13
45,free,1373,809,2885.18,5.70,50.73,65949.52,12.27
120,free,1143,715,8324.72,2.12,84.41,60628.44,11.79
178,pro,1642,318,12576.09,29061.22,29146.41,56377.07,5.64
727,free,790,261,47029.02,72.75,157.44,22022.29,11.85
687,enterprise,1920,289,44713.35,180.51,265.75,24506.04,11.79
73,free,1305,771,4838.49,21.82,79.94,64631.39,11.93
96,free,722,747,6417.15,13.38,77.95,63110.45,11.84
79,pro,1811,763,5375.62,24.65,88.92,64180.13,11.89
19,pro,1874,869,1482.65,5.57,35.83,68549.95,12.68
204,pro,828,321,13826.78,29110.35,29194.78,56347.46,5.70
27,free,719,844,2115.30,1.90,34.32,68469.77,12.33
66,pro,1706,788,4696.90,1.71,55.60,65974.13,11.94
267,pro,591,324,17921.91,25079.71,25164.79,52920.31,6.12
92,free,1385,773,5884.60,30.18,96.56,65214.66,11.85
746,pro,1276,260,48580.65,311.91,397.60,22689.12,11.46
165,free,1562,325,11407.90,32373.93,32458.38,59939.95,5.42
617,free,2001,328,39888.88,3900.58,3985.47,31506.90,10.41
748,free,717,267,48587.52,376.08,460.37,22808.27,11.71
710,pro,643,299,46170.69,402.23,486.74,25762.50,11.61
552,free,1667,331,35974.49,8048.76,8133.89,36488.88,9.07
629,free,1415,332,40545.28,3548.13,3633.69,31921.74,10.40
21,free,726,888,1685.82,6.63,34.47,70916.04,12.52
520,free,1541,333,33843.10,10335.87,10421.31,38792.11,8.58
22,enterprise,1683,912,1701.88,5.12,34.02,71535.17,12.75
153,free,681,338,10325.01,34909.89,34994.64,63328.98,5.34
734,free,1974,300,47556.44,649.62,735.51,26254.06,11.43
61,enterprise,1552,838,4075.63,4.04,55.56,69837.38,12.00
205,free,1186,338,13835.52,31891.09,31975.67,60520.50,5.58
98,free,857,806,6681.27,11.17,79.38,68135.26,11.83
744,free,1693,295,48534.89,1132.72,1218.86,26281.63,11.22
784,enterprise,946,280,51294.35,97.87,184.18,23941.46,11.70
101,pro,534,809,6766.19,12.29,82.59,68511.34,11.81
310,pro,1926,338,20574.75,26167.19,26251.87,54783.64,6.17
731,free,1003,334,47279.95,75.92,160.45,28127.13,11.87
285,enterprise,1478,338,18956.73,27624.74,27710.21,56661.58,5.97
436,free,1089,338,28128.38,19037.02,19121.78,47647.71,7.09
605,pro,1670,339,39367.93,7882.24,7967.11,36575.17,9.27
122,free,652,803,8428.63,59.17,135.65,67648.20,11.87
106,pro,1090,825,6958.23,11.06,83.20,69789.04,11.82
56,free,796,895,3756.55,11.63,64.89,73854.11,12.12
761,free,1809,323,49270.42,908.56,994.45,28642.89,11.28
37,free,1703,930,2395.23,3.86,42.63,75549.22,12.31
18,free,1468,956,1442.99,4.08,33.48,76809.21,12.45
745,free,1030,335,48535.34,2115.96,2200.17,30227.89,11.08
97,free,866,863,6553.52,6.15,72.53,72888.48,11.84
100,free,1613,861,6760.69,17.79,88.09,72925.22,11.81
838,pro,1030,287,55477.42,295.18,379.25,24380.17,11.77
107,free,1449,863,6976.32,16.88,93.14,73130.08,11.80
