request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
11,free,1153,305,802.89,7.45,33.41,19895.88,15.33
7,pro,1800,354,298.20,1.19,28.41,23008.54,15.39
31,free,1298,290,2182.18,2.01,40.67,21287.81,13.62
5,free,1160,389,187.78,0.66,20.93,23393.91,16.63
54,free,1803,269,3711.23,7.19,56.95,21089.99,12.75
58,enterprise,1623,282,3880.35,2.08,51.37,22199.42,12.70
60,pro,752,304,3936.37,7.19,53.75,23699.33,12.83
39,free,848,337,2433.49,4.37,44.87,25599.44,13.16
0,free,1044,456,31.12,0.00,17.44,28466.26,16.02
108,enterprise,1293,283,6990.48,2.72,78.98,23571.51,12.01
111,enterprise,858,290,7461.92,11.24,72.92,24018.78,12.07
30,free,1096,386,2165.98,18.21,56.87,29414.20,13.12
32,free,761,396,2190.04,27.19,61.05,29430.49,13.46
110,free,744,302,7216.06,5.95,84.04,25213.16,11.98
15,pro,669,430,1246.42,11.63,38.70,31277.31,13.75
93,free,1777,330,6197.10,12.54,87.97,27164.27,12.15
48,free,1461,404,2938.87,15.75,56.91,30679.46,13.17
17,pro,1974,454,1402.69,3.42,30.78,32860.41,13.82
50,free,961,396,3208.65,16.36,63.25,31347.65,12.63
6,free,786,516,258.26,10.73,31.45,34941.80,14.77
123,pro,1708,340,8463.22,24.58,101.06,28660.36,11.86
52,free,1499,436,3380.78,6.07,53.41,34766.57,12.54
103,enterprise,1279,377,6822.68,6.18,76.39,31539.91,11.95
20,pro,829,484,1646.77,6.30,37.18,36845.91,13.14
105,free,831,387,6889.54,4.83,85.90,32015.20,12.09
125,free,1947,363,8507.57,56.71,135.40,30667.50,11.84
78,free,1913,433,5292.46,0.69,57.18,35732.55,12.12
46,enterprise,1143,494,2914.68,1.03,39.95,38310.81,12.89
8,enterprise,2009,565,446.96,4.84,30.38,41135.72,13.74
90,free,687,434,5774.40,6.81,78.19,35831.37,12.11
13,free,688,544,1042.81,1.33,28.13,40711.25,13.36
126,free,854,393,8568.49,74.47,157.03,33255.78,11.82
94,free,686,444,6198.58,11.05,86.48,36765.68,12.08
16,free,1247,564,1250.59,7.46,34.53,42565.64,13.25
65,free,1395,485,4613.54,15.07,64.61,39267.54,12.35
33,free,1896,542,2200.40,16.83,50.69,41924.07,12.93
1,free,1279,616,34.11,0.00,19.79,44122.59,13.96
112,free,1509,433,7701.30,6.69,82.87,36509.05,11.86
77,pro,1330,477,5057.98,18.59,72.72,39409.79,12.10
4,enterprise,567,640,179.31,9.14,29.40,44816.80,14.28
71,free,1889,498,4811.66,18.37,71.94,40527.99,12.29
99,free,740,480,6724.39,13.47,90.80,39897.44,12.03
23,free,884,578,1829.52,2.22,31.44,44962.94,12.86
35,free,773,570,2289.76,0.64,36.86,45014.93,12.66
14,free,995,628,1083.06,4.96,30.63,46401.56,13.53
85,pro,1557,511,5635.44,0.58,61.14,42603.57,11.99
9,pro,1421,666,630.99,5.63,29.29,48481.71,13.74
40,enterprise,866,599,2480.69,10.52,47.23,47214.40,12.69
36,pro,1058,602,2291.47,8.72,49.32,48070.82,12.52
91,free,1356,543,5855.50,4.95,64.55,44972.25,12.07
53,free,1986,601,3584.97,14.34,57.06,48765.23,12.32
185,enterprise,1561,280,12837.25,15660.14,15745.20,39623.90,7.07
119,free,1885,523,8276.79,3.42,71.94,44270.27,11.81
55,enterprise,802,611,3732.85,5.49,48.51,49243.16,12.41
42,pro,1757,625,2705.63,0.96,44.11,50516.11,12.37
95,free,1734,569,6225.10,16.93,79.76,47838.15,11.89
69,free,1147,619,4779.37,3.80,52.39,51334.08,12.06
76,free,920,614,5045.81,30.77,84.90,51153.29,12.00
179,enterprise,652,341,12626.36,15406.57,15489.47,44291.19,7.70
89,free,933,617,5765.95,15.26,86.64,51496.69,11.98
29,pro,1128,707,2152.60,1.04,34.88,55465.47,12.75
104,enterprise,1064,600,6829.92,18.85,91.06,50815.95,11.81
64,pro,1744,657,4412.43,26.54,73.93,53894.40,12.19
67,free,605,655,4711.57,16.12,67.29,53937.98,12.14
121,free,1330,594,8403.83,13.44,83.97,50416.97,11.78
34,free,980,720,2218.63,2.58,37.17,57808.52,12.45
86,free,1055,660,5647.56,2.11,67.87,55159.48,11.97
49,free,932,701,3207.21,17.81,64.70,57651.87,12.16
72,free,1696,674,4834.35,25.95,84.08,56545.78,11.92
70,enterprise,1653,683,4789.25,11.11,71.20,56796.96,12.03
80,free,852,674,5389.60,10.67,74.94,56769.01,11.87
3,free,1836,822,96.24,0.00,25.36,62179.43,13.22
127,free,1473,633,8595.09,47.87,130.43,53813.47,11.76
28,pro,1278,745,2126.36,23.25,57.83,60291.16,12.36
59,free,1672,713,3888.43,10.12,55.14,58686.87,12.15
24,free,950,766,1856.26,4.70,37.40,61192.85,12.52
63,free,1930,712,4398.39,9.48,65.22,59079.15,12.05
62,free,1018,730,4150.16,18.79,63.76,59878.90,12.19
68,free,1507,714,4739.97,2.48,60.39,59418.35,12.02
51,free,730,746,3299.64,18.82,58.92,60915.16,12.25
285,enterprise,1478,338,18956.73,16243.33,16328.62,45258.07,7.47
117,enterprise,1991,665,8179.56,34.35,100.65,56446.99,11.78
2,free,1548,868,66.31,0.00,22.48,64578.42,13.44
82,pro,1176,705,5474.09,45.05,103.49,59256.06,11.90
75,pro,909,716,5010.32,15.90,66.25,59890.78,11.96
118,free,1759,678,8204.11,9.81,76.10,57526.22,11.79
44,pro,566,789,2797.42,7.41,44.36,63439.98,12.44
88,pro,1122,724,5758.01,23.20,94.58,60696.60,11.93
10,free,1296,859,721.63,5.40,28.68,65801.65,13.05
41,pro,947,812,2642.87,19.50,55.10,65200.73,12.45
26,enterprise,1913,833,2025.33,0.13,32.16,65987.50,12.62
25,free,1075,830,1857.18,3.78,36.48,66642.07,12.45
45,free,1373,809,2885.18,5.70,50.73,66208.84,12.22
120,free,1143,715,8324.72,2.12,84.41,60916.31,11.74
96,free,722,747,6417.15,13.38,77.95,63178.93,11.82
73,free,1305,771,4838.49,21.82,79.94,64921.66,11.88
79,pro,1811,763,5375.62,24.65,88.92,64471.02,11.83
19,pro,1874,869,1482.65,5.57,35.83,68625.24,12.66
141,enterprise,1752,559,9686.71,13620.04,13702.98,61022.46,9.16
27,pro,719,844,2115.30,1.90,34.32,68766.67,12.27
66,pro,1706,788,4696.90,1.71,55.60,66271.13,11.89
223,enterprise,1307,459,14657.56,16922.61,17007.47,56482.02,8.13
92,free,1385,773,5884.60,30.18,96.56,65512.33,11.80
21,free,726,888,1685.82,6.63,34.47,71227.93,12.47
22,enterprise,1683,912,1701.88,5.12,34.02,72062.61,12.66
61,enterprise,1552,838,4075.63,4.04,55.56,70143.64,11.95
366,enterprise,1130,380,23359.87,18394.19,18479.87,51200.68,7.42
299,enterprise,960,439,19923.30,17200.28,17285.64,54688.08,8.03
423,enterprise,1516,362,27416.34,16464.74,16550.45,47364.23,7.64
98,pro,857,806,6681.27,11.17,79.38,68281.90,11.80
101,free,534,809,6766.19,12.29,82.59,68819.66,11.76
122,free,652,803,8428.63,59.17,135.65,68215.63,11.77
300,enterprise,1490,454,19937.92,18209.43,18293.54,56976.93,7.97
106,pro,1090,825,6958.23,11.06,83.20,69965.54,11.79
56,free,796,895,3756.55,11.63,64.89,74263.97,12.05
349,enterprise,1951,426,22384.82,19220.95,19305.78,55635.69,7.66
37,free,1703,930,2395.23,3.86,42.63,75963.38,12.24
18,free,1468,956,1442.99,4.08,33.48,77139.93,12.39
145,enterprise,1237,643,10118.02,13351.97,13436.01,68550.29,9.38
97,free,866,863,6553.52,6.15,72.53,73102.73,11.81
100,free,1613,861,6760.69,17.79,88.09,73273.77,11.75
245,enterprise,1998,562,16282.65,16241.07,16324.79,64098.34,8.77
107,pro,1449,863,6976.32,16.88,93.14,73483.00,11.74
12,free,684,1009,857.15,5.13,31.08,80362.58,12.56
57,pro,828,943,3759.21,8.98,62.23,78300.00,12.04
102,free,729,906,6797.25,17.95,97.12,76268.75,11.88
38,pro,1002,996,2406.76,13.81,49.12,81106.84,12.28
84,enterprise,731,944,5630.25,4.26,59.68,79013.14,11.95
784,enterprise,946,280,51294.35,9564.72,9651.54,33570.10,8.34
114,pro,1108,907,7927.51,9.06,91.35,77130.46,11.76
43,pro,1535,1001,2761.54,0.67,43.55,82315.75,12.16
83,free,1050,950,5580.96,4.86,68.71,79746.31,11.91
234,enterprise,1057,620,15377.56,17051.66,17136.62,70336.77,8.81
302,enterprise,1882,556,20057.06,18305.53,18391.27,65945.45,8.43
47,free,1129,1016,2922.95,9.36,47.93,83508.16,12.17
81,pro,737,969,5433.04,28.89,90.83,81305.14,11.92
172,enterprise,1788,720,12076.46,14003.31,14087.62,75761.38,9.50
124,free,1506,935,8464.77,23.03,99.50,79433.00,11.77
216,enterprise,1430,673,14327.65,16234.34,16319.13,74019.91,9.09
109,pro,948,963,7036.30,5.13,79.16,81787.81,11.77
313,enterprise,833,587,20731.44,17761.23,17846.89,68209.60,8.61
152,pro,1204,264,10296.91,56226.37,56311.55,78783.57,3.35
568,enterprise,1967,455,37028.78,13798.96,13884.84,52578.54,8.65
134,pro,969,293,9299.00,55602.10,55687.39,80634.62,3.63
131,pro,517,302,9018.26,55626.47,55711.89,81428.89,3.71
500,enterprise,1302,533,32603.41,12392.70,12478.57,57854.30,9.21
74,pro,1435,1016,4898.17,20.26,80.45,85827.35,11.84
87,free,1414,1019,5736.82,8.56,66.09,85487.35,11.92
149,enterprise,1907,793,10233.97,13347.72,13432.19,80990.21,9.79
266,enterprise,1790,661,17920.64,16635.66,16721.01,73398.40,9.01
321,enterprise,1400,619,21126.63,18048.44,18133.76,70857.95,8.74
820,enterprise,935,351,54102.40,8315.13,8401.11,38314.40,9.16
116,enterprise,1583,1004,7934.25,2.32,84.61,85428.68,11.75
778,enterprise,1885,398,50786.35,9240.81,9327.42,42880.46,9.28
113,free,1685,1007,7911.05,14.17,94.48,85774.44,11.74
417,enterprise,553,588,27007.89,16808.34,16893.20,66742.74,8.81
803,enterprise,1606,374,52735.42,9540.25,9626.14,41099.05,9.10
501,enterprise,1642,569,32622.15,12717.51,12803.18,61221.31,9.29
115,free,1546,1021,7928.73,7.84,90.14,86889.40,11.75
138,pro,877,346,9431.76,56298.56,56383.05,85675.98,4.04
183,pro,650,287,12799.19,58082.77,58168.83,82489.05,3.48
135,enterprise,1564,885,9299.41,11399.37,11483.18,87085.98,10.16
188,pro,770,296,12926.19,58470.74,58556.10,83627.45,3.54
248,enterprise,1678,747,16483.18,16878.19,16961.87,80208.64,9.31
522,enterprise,905,567,33941.55,14297.47,14383.04,62842.65,9.02
178,pro,1642,318,12576.09,57270.56,57356.78,84314.91,3.77
