request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
6,enterprise,2548,73,193.69,55.54,89.94,3590.31,20.33
19,enterprise,1636,72,1111.99,4.33,51.44,3959.78,18.18
3,enterprise,3885,107,72.18,0.00,45.85,5139.85,20.82
13,enterprise,593,67,782.11,7.36,50.16,4619.27,14.50
31,enterprise,3938,99,1636.64,16.19,75.41,8521.32,11.62
103,free,2982,66,5117.01,13.53,81.12,5791.92,11.40
30,enterprise,2839,110,1624.48,28.35,87.57,9528.52,11.54
57,pro,3441,95,2819.41,10.76,91.04,8510.24,11.16
77,enterprise,2586,87,3793.49,258.87,326.18,8169.44,10.65
100,enterprise,1435,77,5070.52,48.39,141.51,7165.80,10.75
61,pro,1757,100,3056.72,255.25,342.19,9218.66,10.85
86,enterprise,2530,90,4235.67,24.46,103.33,8269.04,10.88
79,enterprise,2315,94,4031.72,20.64,87.95,8560.41,10.98
22,enterprise,2100,161,1276.41,12.81,46.59,11619.98,13.86
75,enterprise,3924,109,3757.74,28.87,96.84,9410.05,11.58
7,enterprise,2356,190,223.65,114.69,152.60,13032.06,14.58
9,enterprise,1044,167,473.25,85.72,124.11,13319.18,12.54
12,enterprise,1676,163,642.86,146.60,189.40,13315.15,12.24
95,enterprise,3636,108,4668.82,0.73,90.58,9805.43,11.01
115,enterprise,1352,95,5946.55,3.00,84.95,8597.94,11.05
56,enterprise,3502,142,2817.41,12.75,93.03,12438.14,11.42
44,enterprise,2820,171,2098.07,71.71,129.23,13586.21,12.59
60,enterprise,3609,156,2952.28,3.59,48.18,13020.98,11.98
120,enterprise,2034,109,6243.54,115.86,207.58,9904.41,11.01
48,enterprise,1684,181,2204.16,8.09,54.53,14521.99,12.46
25,enterprise,3086,208,1392.88,6.20,57.51,16233.07,12.81
15,enterprise,3080,220,934.81,4.22,48.53,16863.24,13.05
17,enterprise,2097,216,1052.02,64.31,111.41,16746.04,12.90
27,enterprise,714,196,1586.47,17.88,66.36,16508.23,11.87
52,enterprise,3887,193,2535.58,262.01,301.57,16111.41,11.98
36,enterprise,1295,220,1718.60,10.51,50.72,17193.50,12.80
67,enterprise,3976,181,3533.67,2.74,54.26,15506.06,11.67
14,enterprise,3203,237,812.29,126.74,171.05,18375.89,12.90
1,enterprise,957,261,25.58,0.00,16.57,19313.09,13.51
2,enterprise,3420,271,49.73,0.00,41.20,19339.27,14.01
10,pro,3594,242,541.22,17.74,56.13,19179.47,12.62
81,enterprise,910,181,4074.78,112.21,185.35,15799.61,11.46
97,enterprise,855,171,4915.14,96.29,156.63,14988.18,11.41
131,enterprise,1840,151,6763.69,12.00,103.63,13373.65,11.29
82,enterprise,2525,193,4105.57,81.42,154.56,16663.02,11.58
24,enterprise,1557,249,1392.19,6.89,58.20,19507.19,12.76
101,enterprise,3481,182,5074.64,55.90,123.49,15824.74,11.50
130,enterprise,1166,162,6735.31,40.38,132.01,14235.95,11.38
55,enterprise,4011,217,2799.64,30.52,110.80,18251.81,11.89
8,pro,3932,261,335.22,223.74,262.13,20787.43,12.56
85,enterprise,1949,197,4226.58,33.54,112.42,16904.20,11.65
39,enterprise,3542,233,1825.12,5.39,72.09,19365.86,12.03
73,enterprise,3608,210,3628.86,10.61,69.56,17713.64,11.86
87,enterprise,575,202,4302.61,28.06,101.54,17091.72,11.82
70,pro,3904,220,3591.94,10.97,72.19,18334.46,12.00
49,enterprise,573,243,2405.40,85.66,138.51,19667.63,12.36
126,enterprise,1990,183,6426.37,176.64,262.97,15883.35,11.52
5,enterprise,2336,310,140.83,68.92,109.04,22356.71,13.87
46,pro,3488,262,2186.01,26.24,72.68,20825.17,12.58
105,enterprise,3290,216,5167.16,98.57,173.25,18241.94,11.84
21,enterprise,756,297,1264.36,24.85,58.63,22443.47,13.23
106,enterprise,538,229,5218.67,47.05,121.73,19051.85,12.02
47,enterprise,757,282,2192.21,20.03,66.48,22200.75,12.70
74,enterprise,2529,255,3673.63,112.98,180.95,20921.59,12.19
121,enterprise,524,221,6302.87,56.52,148.24,18357.71,12.04
114,enterprise,3048,227,5945.63,3.92,85.87,18779.50,12.09
107,enterprise,745,240,5232.24,33.49,108.17,19756.07,12.15
4,pro,2128,337,134.48,7.30,31.76,24876.67,13.55
125,enterprise,1906,231,6380.67,100.94,193.56,18692.58,12.36
28,enterprise,2551,297,1594.77,9.58,58.06,23544.54,12.61
26,enterprise,2770,300,1519.00,85.35,133.83,23805.69,12.60
68,enterprise,3252,273,3554.98,47.93,109.15,22004.39,12.41
50,enterprise,2167,296,2406.49,84.58,137.42,23281.86,12.71
58,enterprise,1483,291,2910.27,45.60,90.20,22806.91,12.76
119,enterprise,819,254,6207.60,148.46,240.99,19889.00,12.77
32,enterprise,1581,317,1642.53,10.30,69.52,24755.00,12.81
11,enterprise,3444,344,602.17,187.29,230.09,26225.73,13.12
92,enterprise,3112,282,4413.45,4.45,88.32,22435.37,12.57
99,enterprise,1045,283,5043.29,75.61,168.73,22348.94,12.66
65,enterprise,3224,309,3460.15,76.26,127.78,24177.56,12.78
64,enterprise,592,316,3309.32,2.66,89.60,24416.82,12.94
78,enterprise,3997,302,3969.34,83.01,150.32,23791.12,12.69
72,enterprise,1674,317,3625.77,13.71,72.66,24609.92,12.88
63,enterprise,1150,328,3298.80,13.18,100.12,25150.29,13.04
0,enterprise,2524,400,23.34,0.00,32.24,28444.14,14.06
109,enterprise,1634,289,5277.23,361.99,442.26,23190.26,12.46
33,enterprise,2323,357,1650.30,2.53,61.75,27167.97,13.14
34,enterprise,1079,374,1663.97,65.14,105.34,27922.28,13.39
88,pro,2721,324,4318.51,12.17,85.65,25267.75,12.82
35,enterprise,3537,377,1717.32,11.79,52.00,28064.37,13.43
113,enterprise,1742,305,5933.29,16.26,98.21,23848.41,12.79
83,enterprise,4062,345,4185.72,1.27,74.40,26242.93,13.15
53,enterprise,1073,379,2688.73,108.87,148.42,28095.52,13.49
122,enterprise,1024,318,6321.47,37.92,129.64,24615.92,12.92
90,enterprise,1047,351,4330.80,87.09,170.97,26633.84,13.18
124,enterprise,4034,319,6348.58,10.82,102.54,24652.86,12.94
89,enterprise,2300,347,4324.46,6.21,79.69,26738.69,12.98
91,enterprise,849,355,4391.63,26.27,110.14,26816.98,13.24
69,enterprise,2543,369,3584.53,18.38,79.60,28167.47,13.10
38,enterprise,2214,402,1805.07,25.44,92.14,29968.88,13.41
76,enterprise,1668,371,3784.36,2.25,70.22,28280.07,13.12
45,enterprise,515,410,2163.88,5.90,63.41,30164.92,13.59
108,enterprise,3136,364,5242.86,22.87,97.55,27587.86,13.19
96,enterprise,2933,370,4812.86,198.56,258.91,28143.53,13.15
20,enterprise,700,454,1235.08,54.14,87.92,32603.70,13.92
94,enterprise,2930,403,4648.94,20.61,110.46,29768.81,13.54
123,enterprise,2990,373,6347.41,11.98,103.70,28078.91,13.28
141,enterprise,1057,110,7265.03,20495.43,20554.80,27215.20,4.04
84,pro,2717,411,4222.69,37.44,116.31,30385.31,13.53
51,free,3587,440,2474.73,16.34,69.18,32475.87,13.55
142,enterprise,1418,111,7276.21,20959.48,21018.57,27767.91,4.00
