request_id,tier,context_tokens,output_tokens,arrival_ms,queue_delay_ms,ttft_ms,total_latency_ms,tokens_per_sec
6,enterprise,2548,73,193.69,6.29,39.24,3740.05,19.52
13,enterprise,593,67,782.11,1.82,35.47,3433.99,19.51
19,enterprise,1636,72,1111.99,2.90,43.71,3918.73,18.37
3,enterprise,3885,107,72.18,0.00,45.85,6087.77,17.58
31,enterprise,3938,99,1636.64,24.28,75.76,8150.60,12.15
57,pro,3441,95,2819.41,35.67,95.69,7705.98,12.33
30,enterprise,2839,110,1624.48,36.43,87.92,9202.26,11.95
103,free,2982,66,5117.01,31.85,113.79,6109.53,10.80
77,enterprise,2586,87,3793.49,23.18,87.15,7468.93,11.65
9,enterprise,1044,167,473.25,2.37,29.28,11142.77,14.99
12,enterprise,1676,163,642.86,1.85,36.64,11150.18,14.62
61,enterprise,1757,100,3056.72,4.74,71.01,9093.79,11.00
100,enterprise,1435,77,5070.52,0.93,78.34,7103.69,10.84
79,enterprise,2315,94,4031.72,43.79,115.82,8249.29,11.39
86,enterprise,2530,90,4235.67,15.98,101.20,8485.85,10.61
75,enterprise,3924,109,3757.74,1.06,65.14,9648.94,11.30
115,enterprise,1352,95,5946.55,38.85,121.54,8426.63,11.27
95,enterprise,3636,108,4668.82,29.21,102.31,9965.07,10.84
22,free,2100,161,1276.41,5.00,47.13,13537.38,11.89
56,enterprise,3502,142,2817.41,37.66,97.69,12053.16,11.78
7,enterprise,2356,190,223.65,9.28,44.97,14780.90,12.85
44,enterprise,2820,171,2098.07,4.70,56.89,13533.48,12.64
120,enterprise,2034,109,6243.54,77.40,165.36,9749.17,11.18
60,enterprise,3609,156,2952.28,13.73,68.94,13574.88,11.49
27,enterprise,714,196,1586.47,29.29,76.65,15406.15,12.72
48,enterprise,1684,181,2204.16,0.29,49.92,15056.08,12.02
17,enterprise,2097,216,1052.02,20.25,62.87,16948.17,12.74
25,enterprise,3086,208,1392.88,3.80,48.62,17024.04,12.22
15,enterprise,3080,220,934.81,10.22,55.34,17671.48,12.45
14,enterprise,3203,237,812.29,5.28,43.17,18107.52,13.09
36,enterprise,1295,220,1718.60,20.10,63.86,18219.05,12.08
52,enterprise,3887,193,2535.58,8.49,73.13,17733.52,10.88
81,enterprise,910,181,4074.78,0.72,72.76,16233.28,11.15
67,enterprise,3976,181,3533.67,4.09,76.31,17023.03,10.63
8,pro,3932,261,335.22,3.12,48.92,20346.28,12.83
1,enterprise,957,261,25.58,0.00,16.57,20815.41,12.54
10,enterprise,3594,242,541.22,13.23,53.53,20299.77,11.92
97,enterprise,855,171,4915.14,4.18,80.24,15959.63,10.71
2,enterprise,3420,271,49.73,0.00,41.20,20908.63,12.96
131,enterprise,1840,151,6763.69,10.12,104.62,14301.32,10.56
39,enterprise,3542,233,1825.12,1.11,48.35,19501.43,11.95
55,pro,4011,217,2799.64,1.09,55.43,18893.83,11.49
101,enterprise,3481,182,5074.64,31.63,111.04,16618.83,10.95
82,enterprise,2525,193,4105.57,37.86,103.76,17812.00,10.84
130,enterprise,1166,162,6735.31,38.49,133.00,15370.79,10.54
24,enterprise,1557,249,1392.19,4.49,49.31,20903.44,11.91
142,enterprise,1418,111,7276.21,5004.80,5097.15,15237.80,7.28
73,enterprise,3608,210,3628.86,7.26,68.59,19138.97,10.97
49,enterprise,573,243,2405.40,10.69,65.94,20388.31,11.92
85,enterprise,1949,197,4226.58,25.07,110.29,18683.90,10.54
126,enterprise,1990,183,6426.37,67.87,155.38,16907.36,10.82
